file,exists,bytes,rows,cols
daily_watch_selection.json,True,477,,
holdings_us.csv,True,3180,11,59.0
data/holdings_us.csv,True,3180,11,59.0
data/holdings_kr.csv,True,2069,2,61.0
reports/v92_symbol_snapshot_kr.csv,True,1373,5,16.0
reports/v92_symbol_snapshot_us.csv,True,1334,5,16.0
reports/v92_news_summary_kr.csv,True,12640,20,9.0
reports/v92_news_summary_us.csv,True,12042,20,9.0
reports/v91_news_summary_kr.csv,True,12640,20,9.0
reports/v91_news_summary_us.csv,True,12042,20,9.0
reports/operational_news_narrative_kr.csv,True,12640,20,9.0
reports/operational_news_narrative_us.csv,True,12042,20,9.0
