symbol,name,theme,group,type,sector_proxy,risk_level,current_price,last_price,현재가,quote_fallback_price,실시간현재가,quote_source,quote_source_label,data_status,price_data_status,current_price_source
005930,삼성전자,AI 반도체·메모리,반도체 핵심,core,반도체,중,299500.0,299500.0,"299,500원",299500.0,"299,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
000660,SK하이닉스,HBM·AI 메모리,반도체 핵심,core,반도체,중,2064000.0,2064000.0,"2,064,000원",2064000.0,"2,064,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
042700,한미반도체,HBM 장비,반도체 장비,growth,반도체 장비,높음,323500.0,323500.0,"323,500원",323500.0,"323,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
007660,이수페타시스,AI 서버 PCB,AI 부품,growth,반도체 부품,높음,141300.0,141300.0,"141,300원",141300.0,"141,300원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
403870,HPSP,반도체 장비,반도체 장비,growth,반도체 장비,높음,63000.0,63000.0,"63,000원",63000.0,"63,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
058470,리노공업,반도체 테스트소켓,반도체 부품,growth,반도체 부품,중,109200.0,109200.0,"109,200원",109200.0,"109,200원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
095340,ISC,반도체 테스트소켓,반도체 부품,growth,반도체 부품,중,245000.0,245000.0,"245,000원",245000.0,"245,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
067310,하나마이크론,반도체 후공정,반도체 후공정,growth,반도체 후공정,높음,51700.0,51700.0,"51,700원",51700.0,"51,700원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
036930,주성엔지니어링,반도체·디스플레이 장비,반도체 장비,growth,반도체 장비,높음,235500.0,235500.0,"235,500원",235500.0,"235,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
000990,DB하이텍,파운드리·전력반도체,반도체,watch,반도체,중,210500.0,210500.0,"210,500원",210500.0,"210,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
009150,삼성전기,AI 기기·MLCC,IT부품,core,IT부품,중,1575000.0,1575000.0,"1,575,000원",1575000.0,"1,575,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
011070,LG이노텍,AI 기기·전장,IT부품,watch,IT부품,중,1077000.0,1077000.0,"1,077,000원",1077000.0,"1,077,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
267260,HD현대일렉트릭,변압기·전력기기,AI 전력 인프라,core,전력기기,중,1154000.0,1154000.0,"1,154,000원",1154000.0,"1,154,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
010120,LS ELECTRIC,전력기기·자동화,AI 전력 인프라,core,전력기기,중,281500.0,281500.0,"281,500원",281500.0,"281,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
298040,효성중공업,전력기기·변압기,AI 전력 인프라,growth,전력기기,중,3888000.0,3888000.0,"3,888,000원",3888000.0,"3,888,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
006260,LS,전선·전력 인프라,AI 전력 인프라,core,전력/전선,중,581000.0,581000.0,"581,000원",581000.0,"581,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
001440,대한전선,전선·전력망,AI 전력 인프라,growth,전력/전선,높음,53700.0,53700.0,"53,700원",53700.0,"53,700원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
103590,일진전기,전선·전력기기,AI 전력 인프라,growth,전력/전선,높음,107300.0,107300.0,"107,300원",107300.0,"107,300원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
034020,두산에너빌리티,원전·전력,전력/원전,core,전력/원전,높음,111300.0,111300.0,"111,300원",111300.0,"111,300원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
012450,한화에어로스페이스,방산·항공우주,방산 핵심,core,방산,중,1251000.0,1251000.0,"1,251,000원",1251000.0,"1,251,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
047810,한국항공우주,항공우주·방산,방산/우주,core,방산,중,166200.0,166200.0,"166,200원",166200.0,"166,200원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
079550,LIG넥스원,방산·유도무기,방산 핵심,core,방산,중,914000.0,914000.0,"914,000원",914000.0,"914,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
064350,현대로템,방산·철도,방산,core,방산,중,210000.0,210000.0,"210,000원",210000.0,"210,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
272210,한화시스템,방산·우주·위성,방산/우주,growth,방산,중,113900.0,113900.0,"113,900원",113900.0,"113,900원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
009540,HD한국조선해양,조선 지주,조선,core,조선,중,431000.0,431000.0,"431,000원",431000.0,"431,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
329180,HD현대중공업,조선·방산선박,조선,core,조선,중,712000.0,712000.0,"712,000원",712000.0,"712,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
010140,삼성중공업,조선·해양플랜트,조선,growth,조선,높음,30050.0,30050.0,"30,050원",30050.0,"30,050원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
042660,한화오션,조선·방산선박,조선/방산,growth,조선,높음,130000.0,130000.0,"130,000원",130000.0,"130,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
277810,레인보우로보틱스,휴머노이드·로봇,로봇,growth,로봇,높음,774000.0,774000.0,"774,000원",774000.0,"774,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
454910,두산로보틱스,협동로봇,로봇,growth,로봇,높음,108500.0,108500.0,"108,500원",108500.0,"108,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
108490,로보티즈,로봇,로봇,growth,로봇,높음,312000.0,312000.0,"312,000원",312000.0,"312,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
090360,로보스타,로봇,로봇,growth,로봇,높음,86900.0,86900.0,"86,900원",86900.0,"86,900원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
003490,대한항공,항공·여객·화물,항공,cyclical,항공,중,27450.0,27450.0,"27,450원",27450.0,"27,450원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
005380,현대차,자동차·전기차,자동차,core,자동차,중,682000.0,682000.0,"682,000원",682000.0,"682,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
000270,기아,자동차·전기차,자동차,core,자동차,중,166700.0,166700.0,"166,700원",166700.0,"166,700원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
012330,현대모비스,자동차 부품,자동차,core,자동차,중,653000.0,653000.0,"653,000원",653000.0,"653,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
015760,한국전력,전력·유틸리티,전력,defensive,전력/원전,중,40700.0,40700.0,"40,700원",40700.0,"40,700원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
035420,NAVER,AI·플랫폼,인터넷,core,인터넷/AI,중,201000.0,201000.0,"201,000원",201000.0,"201,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
035720,카카오,플랫폼·AI,인터넷,watch,인터넷/AI,높음,41350.0,41350.0,"41,350원",41350.0,"41,350원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
018260,삼성에스디에스,AI·클라우드·IT서비스,IT서비스,core,인터넷/AI,중,199200.0,199200.0,"199,200원",199200.0,"199,200원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
402340,SK스퀘어,반도체 지주·투자,지주/반도체,watch,반도체,중,1195000.0,1195000.0,"1,195,000원",1195000.0,"1,195,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
207940,삼성바이오로직스,바이오 CDMO,바이오,core,바이오,중,1419000.0,1419000.0,"1,419,000원",1419000.0,"1,419,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
068270,셀트리온,바이오시밀러,바이오,core,바이오,중,196900.0,196900.0,"196,900원",196900.0,"196,900원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
196170,알테오젠,바이오 플랫폼,바이오,growth,바이오,높음,373500.0,373500.0,"373,500원",373500.0,"373,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
