symbol,corp_code,corp_name,stock_name,industryCode,industryName,establishedDate,ceo,homepage,address,businessSummary,updatedAt
000100,00145109,(주)유한양행,유한양행,212,의료용 물질·의약품 제조,19260620,대표이사 조욱제,www.yuhan.co.kr,서울특별시 동작구  노량진로 74,의료용 물질·의약품 제조 · 1926년 설립,2026-08-03 06:52:55
000270,00106641,기아(주),기아,30121,자동차·트레일러 제조,19441210,"송호성, 송민수(각자 대표이사)",www.kia.co.kr,서울특별시 서초구 헌릉로 12 기아자동차,자동차·트레일러 제조 · 1944년 설립,2026-08-03 06:52:55
000660,00164779,에스케이하이닉스(주),SK하이닉스,2612,전자부품·컴퓨터·통신장비 제조,19491015,곽노정,www.skhynix.com,경기도 이천시  부발읍 경충대로 2091,전자부품·컴퓨터·통신장비 제조 · 1949년 설립,2026-08-03 06:52:55
000720,00164478,현대건설(주),현대건설,41221,종합 건설,19500110,이한우,www.hdec.kr,서울특별시 종로구  율곡로 75,종합 건설 · 1950년 설립,2026-08-03 06:52:55
000810,00139214,삼성화재해상보험(주),삼성화재해상보험,65121,보험업,19520126,이문화,www.samsungfire.com,서울특별시 서초구 서초대로74길 14 (서초동),보험업 · 1952년 설립,2026-08-03 06:52:55
000990,00160843,주식회사 DB하이텍,DB하이텍,2611,전자부품·컴퓨터·통신장비 제조,19530428,조기석,www.dbhitek.co.kr,경기도 부천시 수도로 90 (주)DB하이텍,전자부품·컴퓨터·통신장비 제조 · 1953년 설립,2026-08-03 06:52:55
001440,00113207,대한전선(주),대한전선,28302,전기장비 제조,19550221,송종민,www.taihan.com,경기도 안양시 동안구 관양동 1746-2 대한스마트타워,전기장비 제조 · 1955년 설립,2026-08-03 06:52:55
002100,00101433,(주)경농,경농,2032,화학물질·화학제품 제조,19570712,"이병만,이용진",www.knco.co.kr,서울특별시 서초구 효령로77길 28 동오빌딩,화학물질·화학제품 제조 · 1957년 설립,2026-08-03 06:52:55
003490,00113526,(주)대한항공,대한항공,511,항공 운송,19620619,"조원태, 우기홍",www.koreanair.com,서울특별시 강서구 하늘길 260,항공 운송 · 1962년 설립,2026-08-03 06:52:55
003550,00120021,(주)LG,LG,64992,금융업,19470105,"구광모, 권봉석",www.lg.co.kr,서울특별시 영등포구  여의대로 128,금융업 · 1947년 설립,2026-08-03 06:52:55
003620,00138242,케이지모빌리티(주),KG모빌리티,301,자동차·트레일러 제조,19621206,"곽재선, 황기영 (각자대표이사)",www.kg-mobility.com,경기도 평택시  동삭로 455-12,자동차·트레일러 제조 · 1962년 설립,2026-08-03 06:52:55
003670,00155276,(주)포스코퓨처엠,포스코퓨처엠,282,전기장비 제조,19710513,엄기천,www.poscofuturem.com,경상북도 포항시 남구 신항로 110,전기장비 제조 · 1971년 설립,2026-08-03 06:52:55
004020,00145880,현대제철(주),현대제철,2411,1차 금속 제조,19530610,이보룡,www.hyundai-steel.com,인천광역시 동구  중봉대로 63,1차 금속 제조 · 1953년 설립,2026-08-03 06:52:55
005070,00129989,코스모신소재(주),코스모신소재,204,화학물질·화학제품 제조,19730628,홍동환,www.cosmoamt.com,충청북도 충주시 충주호수로 36 (목행동) 코스모신소재 주식회사,화학물질·화학제품 제조 · 1973년 설립,2026-08-03 06:52:55
005380,00164742,현대자동차(주),현대자동차,30121,자동차·트레일러 제조,19671229,"정의선, 무뇨스 바르셀로 호세 안토니오, 최영일(각자 대표이사)",www.hyundai.com,서울특별시 서초구  헌릉로 12,자동차·트레일러 제조 · 1967년 설립,2026-08-03 06:52:55
005490,00155319,포스코홀딩스(주),POSCO홀딩스,2411,1차 금속 제조,19680401,"대표이사 회장  장인화, 대표이사 사장  이주태",www.posco-inc.com,경상북도 포항시 남구 동해안로 6261 -,1차 금속 제조 · 1968년 설립,2026-08-03 06:52:55
005930,00126380,삼성전자(주),삼성전자,264,전자부품·컴퓨터·통신장비 제조,19690113,"전영현, 노태문",www.samsung.com/sec,경기도 수원시 영통구  삼성로 129 (매탄동),전자부품·컴퓨터·통신장비 제조 · 1969년 설립,2026-08-03 06:52:55
006260,00105952,(주)LS,LS,64992,금융업,19620515,명노현,www.lsholdings.co.kr,서울특별시 용산구 한강대로 92 LS용산타워 -,금융업 · 1962년 설립,2026-08-03 06:52:55
006340,00260392,대원전선(주),대원전선,28302,전기장비 제조,19691129,서명환,www.daewoncable.co.kr,충청남도 예산군  고덕면 호음덕령길 92,전기장비 제조 · 1969년 설립,2026-08-03 06:52:55
006360,00120030,지에스건설(주),GS건설,4111,종합 건설,19691219,"허윤홍, 김태진(각자 대표이사)",www.gsenc.com,서울특별시 종로구 종로 33 그랑서울,종합 건설 · 1969년 설립,2026-08-03 06:52:55
006400,00126362,삼성SDI(주),삼성SDI,28202,전기장비 제조,19700120,최주선,www.samsungsdi.co.kr,경기도 용인시 기흥구  공세로 150-20,전기장비 제조 · 1970년 설립,2026-08-03 06:52:55
007660,00107613,(주)이수페타시스,이수페타시스,2622,전자부품·컴퓨터·통신장비 제조,19720204,최창복,www.petasys.com,대구광역시 달성군  논공읍 논공로53길 36 이수페타시스,전자부품·컴퓨터·통신장비 제조 · 1972년 설립,2026-08-03 06:52:55
009150,00126371,삼성전기(주),삼성전기,2622,전자부품·컴퓨터·통신장비 제조,19730808,장덕현,www.sem.samsung.co.kr,경기도 수원시 영통구  매영로 150,전자부품·컴퓨터·통신장비 제조 · 1973년 설립,2026-08-03 06:52:55
