ticker,market,name,avg_price,quantity,current_price,memo,holding_type,symbol,code,종목코드,stock_name,종목명,종목,시장,현재가,last_price,관찰 기준가,active_scenario_pullback_price,조건부 진입가,매수가,entry,entry_price,buy_price,손절가,stop,stop_loss,1차 목표가,목표가,tp1,target_price,2차 목표가,tp2,손익비,rr,risk_reward,기대수익률,expected_return,수급점수,수급 점수,supply_score,flow_score,실적점수,실적 점수,earnings_score,밸류에이션점수,밸류에이션 점수,벨류에이션점수,valuation_score,차트점수,차트 점수,chart_score,실적상태,earnings_data_status,밸류상태,valuation_data_status,수급상태,flow_data_status,price_data_status,quote_fallback_price,실시간현재가,quote_source,quote_source_label,data_status,current_price_source
SNDK,미국주식,샌디스크,791.589,5,1478.69,보유종목,core,SNDK,SNDK,SNDK,SanDisk,SanDisk,SanDisk,미국주식,"$1,478.69",1478.69,,,,,,,,"$1,049.83","$1,049.83","$1,049.83","$1,440.56","$1,440.56","$1,440.56","$1,440.56",,,1:1.40,1:1.40,1:1.40,,,0.0,0.0,0.0,0.0,15.6,15.6,15.6,8.0,8.0,8.0,8.0,0.0,0.0,0.0,partial,partial,ok,ok,success,success,success,1478.69,"$1,478.69",KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,KIS 해외 현재가
NBIS,미국주식,네비우스 그룹,159.0,22,214.77,보유종목,core,NBIS,NBIS,NBIS,Nebius,Nebius,Nebius,미국주식,$214.77,214.77,,,,,,,,$163.84,$163.84,$163.84,$230.02,$230.02,$230.02,$230.02,,,1:2.64,1:2.64,1:2.64,,,0.0,0.0,0.0,0.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,partial,partial,ok,ok,success,success,success,214.77,$214.77,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,KIS 해외 현재가
CRCL,미국주식,써클 인터넷 그룹,94.55,30,113.12,보유종목,core,CRCL,CRCL,CRCL,Circle,Circle,Circle,미국주식,$113.12,113.12,,,,,,,,$103.04,$103.04,$103.04,$118.85,$118.85,$118.85,$118.85,,,1:1.35,1:1.35,1:1.35,,,0.0,0.0,0.0,0.0,3.4,3.4,3.4,2.0,2.0,2.0,2.0,0.0,0.0,0.0,partial,partial,ok,ok,success,success,success,113.12,$113.12,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,KIS 해외 현재가
BMNR,미국주식,비트마인 이머전 테크놀로지스,22.7463,211,18.88,보유종목,core,BMNR,BMNR,BMNR,BMNR,BMNR,BMNR,미국주식,$18.88,18.88,,,,,,,,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,,,1:1.45,1:1.45,1:1.45,,,0.0,0.0,0.0,0.0,62.0,62.0,62.0,36.0,36.0,36.0,36.0,0.0,0.0,0.0,partial,partial,ok,ok,success,success,success,18.88,$18.88,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,KIS 해외 현재가
ASTS,미국주식,ASTS,81.9264,34,105.86,?? ????,core,ASTS,ASTS,ASTS,ASTS,ASTS,ASTS,미국주식,$105.86,105.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,success,105.86,$105.86,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,KIS 해외 현재가
CAT,미국주식,CAT,782.78,5,879.89,?? ????,core,CAT,CAT,CAT,CAT,CAT,CAT,미국주식,$879.89,879.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,success,879.89,$879.89,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,KIS 해외 현재가
INTC,미국주식,INTC,55.29,65,119.84,?? ????,core,INTC,INTC,INTC,INTC,INTC,INTC,미국주식,$119.84,119.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,success,119.84,$119.84,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,KIS 해외 현재가
LITE,미국주식,LITE,869.0,5,946.9,?? ????,core,LITE,LITE,LITE,LITE,LITE,LITE,미국주식,$946.90,946.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,success,946.9,$946.90,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,KIS 해외 현재가
RKLB,미국주식,RKLB,67.5,21,135.76,?? ????,core,RKLB,RKLB,RKLB,RKLB,RKLB,RKLB,미국주식,$135.76,135.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,success,135.76,$135.76,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,KIS 해외 현재가
AAOI,미국주식,AAOI,174.64,11,181.49,?? ????,core,AAOI,AAOI,AAOI,AAOI,AAOI,AAOI,미국주식,$181.49,181.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,success,181.49,$181.49,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,KIS 해외 현재가
SIMO,미국주식,SIMO,244.21,9,276.14,?? ????,core,SIMO,SIMO,SIMO,SIMO,SIMO,SIMO,미국주식,$276.14,276.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,success,276.14,$276.14,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,KIS 해외 현재가
