symbol,name,dept,asOf
140410,메지온,투자주의환기종목(소속부없음),2026-08-25
052020,에스티큐브,투자주의환기종목(소속부없음),2026-08-25
092190,서울바이오시스,투자주의환기종목(소속부없음),2026-08-25
067630,HLB생명과학,투자주의환기종목(소속부없음),2026-08-25
309710,아이티켐,관리종목(소속부없음),2026-08-25
182400,엔케이젠바이오텍코리아,관리종목(소속부없음),2026-08-25
180400,DXVX,관리종목(소속부없음),2026-08-25
121800,비덴트,관리종목(소속부없음),2026-08-25
377460,큐에이드,관리종목(소속부없음),2026-08-25
380540,옵티코어,관리종목(소속부없음),2026-08-25
016790,현대사료,관리종목(소속부없음),2026-08-25
245620,EDGC,관리종목(소속부없음),2026-08-25
066410,버킷스튜디오,투자주의환기종목(소속부없음),2026-08-25
046070,코다코,관리종목(소속부없음),2026-08-25
007330,푸른저축은행,투자주의환기종목(소속부없음),2026-08-25
035610,솔본,투자주의환기종목(소속부없음),2026-08-25
041520,이엘씨,투자주의환기종목(소속부없음),2026-08-25
036690,코맥스,관리종목(소속부없음),2026-08-25
041590,플래스크,관리종목(소속부없음),2026-08-25
297090,씨에스베어링,투자주의환기종목(소속부없음),2026-08-25
091440,한울소재과학,투자주의환기종목(소속부없음),2026-08-25
246720,아스타,관리종목(소속부없음),2026-08-25
066790,씨씨에스,관리종목(소속부없음),2026-08-25
068240,다원시스,관리종목(소속부없음),2026-08-25
270520,앱튼,투자주의환기종목(소속부없음),2026-08-25
049180,셀루메드,투자주의환기종목(소속부없음),2026-08-25
183490,엔지켐생명과학,관리종목(소속부없음),2026-08-25
058820,CMG제약,관리종목(소속부없음),2026-08-25
175250,아이큐어,관리종목(소속부없음),2026-08-25
412540,제일엠앤에스,관리종목(소속부없음),2026-08-25
331380,포커스에이아이,투자주의환기종목(소속부없음),2026-08-25
073640,테라사이언스,관리종목(소속부없음),2026-08-25
234920,자이글,관리종목(소속부없음),2026-08-25
196490,디에이테크놀로지,투자주의환기종목(소속부없음),2026-08-25
168330,내츄럴엔도텍,투자주의환기종목(소속부없음),2026-08-25
221800,지구홀딩스,투자주의환기종목(소속부없음),2026-08-25
001840,이화공영,관리종목(소속부없음),2026-08-25
294090,이오플로우,관리종목(소속부없음),2026-08-25
203400,에이비온,관리종목(소속부없음),2026-08-25
099520,DGI,관리종목(소속부없음),2026-08-25
175140,아고스,투자주의환기종목(소속부없음),2026-08-25
065170,비엘팜텍,투자주의환기종목(소속부없음),2026-08-25
340930,성원에너텍,관리종목(소속부없음),2026-08-25
294140,레몬,관리종목(소속부없음),2026-08-25
217480,에스디생명공학,투자주의환기종목(소속부없음),2026-08-25
096610,알에프세미,투자주의환기종목(소속부없음),2026-08-25
179900,유티아이,투자주의환기종목(소속부없음),2026-08-25
393970,대진첨단소재,관리종목(소속부없음),2026-08-25
033340,좋은사람들,관리종목(소속부없음),2026-08-25
