symbol,asOf,signalScore,foreign5d,institution5d,foreign20d,institution20d
000100,2026-09-02,0,-56028.0,-17167.0,2300.0,462655.0
000270,2026-09-02,-1,-300343.0,-337378.0,877933.0,-1240867.0
000660,2026-09-02,-4,-1121227.0,-1688511.0,-3243727.0,-2110740.0
000720,2026-09-02,2,-359884.0,49339.0,-1165470.0,1257750.0
000810,2026-09-02,2,-23001.0,21143.0,-42271.0,65122.0
000990,2026-09-02,2,196431.0,-193497.0,353832.0,-697859.0
001440,2026-09-02,-1,-28573.0,-43877.0,-1684738.0,347230.0
002100,2026-09-02,-1,4693.0,-7775.0,-10299.0,-9423.0
003490,2026-09-02,4,2936605.0,1220494.0,4411481.0,3504687.0
003550,2026-09-02,3,-152992.0,63246.0,82481.0,291431.0
003620,2026-09-02,-4,-347896.0,-91585.0,-1330824.0,-44804.0
003670,2026-09-02,3,2616.0,232962.0,-197961.0,271358.0
004020,2026-09-02,2,-363501.0,615380.0,-1028838.0,1239634.0
005070,2026-09-02,4,11664.0,5608.0,124066.0,26919.0
005380,2026-09-02,-4,-311361.0,-858185.0,-479903.0,-1243943.0
005490,2026-09-02,3,-111063.0,175747.0,6439.0,133227.0
005930,2026-09-02,-4,-2576734.0,-7417457.0,-3945145.0,-12765269.0
006260,2026-09-02,0,40471.0,18570.0,-110765.0,-167618.0
006340,2026-09-02,2,-257362.0,1566.0,-1123955.0,106498.0
006360,2026-09-02,3,239383.0,-339798.0,1375058.0,4353065.0
006400,2026-09-02,2,-208837.0,529674.0,-519313.0,1172486.0
007660,2026-09-02,3,4789.0,302073.0,-1169462.0,2121715.0
009150,2026-09-02,3,206200.0,160298.0,-968152.0,100229.0
009540,2026-09-02,-1,-42340.0,-13251.0,92946.0,-160108.0
010120,2026-09-02,3,95106.0,17713.0,342762.0,-306670.0
010130,2026-09-02,2,4362.0,-32033.0,-108179.0,130085.0
010140,2026-09-02,-4,-172157.0,-759054.0,-618751.0,-2709526.0
010950,2026-09-02,3,17711.0,164647.0,-256445.0,583496.0
011070,2026-09-02,-4,-19921.0,-120375.0,-245920.0,-176452.0
011200,2026-09-02,0,-47877.0,-14702.0,2575428.0,1892593.0
012330,2026-09-02,-1,-24650.0,-473524.0,142122.0,-785579.0
012450,2026-09-02,-1,-34276.0,-14932.0,9870.0,-46076.0
015760,2026-09-02,-4,-1018599.0,-1103500.0,-1343451.0,-5204447.0
017670,2026-09-02,-1,-189785.0,-895552.0,-2808128.0,491037.0
018260,2026-09-02,3,-2518.0,138021.0,259998.0,229703.0
018880,2026-09-02,2,-1940722.0,157305.0,-1242401.0,1472141.0
028670,2026-09-02,2,138111.0,-599389.0,-688476.0,2720385.0
030200,2026-09-02,2,-12001.0,160490.0,-18015.0,168536.0
032640,2026-09-02,2,-493539.0,766644.0,-1112090.0,1503147.0
032830,2026-09-02,2,-97386.0,106809.0,-316936.0,35274.0
034020,2026-09-02,2,-1302804.0,893015.0,-3589867.0,2626235.0
034730,2026-09-02,2,81290.0,-55733.0,303779.0,-170509.0
035420,2026-09-02,-1,-353.0,-288301.0,-120233.0,497295.0
035720,2026-09-02,-1,-37667.0,-234349.0,1177468.0,-2489463.0
035900,2026-09-02,-1,-111450.0,5347.0,-957836.0,-1036320.0
036930,2026-09-02,2,325159.0,-203039.0,375249.0,-291315.0
039030,2026-09-02,2,48200.0,-34376.0,-186307.0,185066.0
039440,2026-09-02,2,-15450.0,221.0,-6622.0,17841.0
041510,2026-09-02,-1,-48042.0,-79016.0,62791.0,-218602.0
042660,2026-09-02,2,13205.0,-122290.0,1682447.0,-1597764.0
042700,2026-09-02,3,-145304.0,150272.0,374393.0,73165.0
047810,2026-09-02,-4,-100099.0,-316549.0,-683990.0,-598693.0
051910,2026-09-02,2,-28359.0,79841.0,-68793.0,141767.0
