date,open,high,low,close,volume,source,updated_at
2026-06-23,9420.0,9825.0,8620.0,8650.0,949860.0,KIS 국내주식기간별시세,2026-07-20 15:45:54 KST
2026-06-24,8595.0,8640.0,8190.0,8430.0,562780.0,KIS 국내주식기간별시세,2026-07-20 15:45:54 KST
2026-06-25,8695.0,8765.0,8285.0,8335.0,578616.0,KIS 국내주식기간별시세,2026-07-20 15:45:54 KST
2026-06-26,8265.0,8265.0,7415.0,7705.0,726783.0,KIS 국내주식기간별시세,2026-07-20 15:45:54 KST
2026-06-29,7900.0,8315.0,7790.0,8290.0,766816.0,KIS 국내주식기간별시세,2026-07-20 15:45:54 KST
2026-06-30,8550.0,8655.0,8170.0,8535.0,993294.0,KIS 국내주식기간별시세,2026-07-20 15:45:54 KST
2026-07-01,8940.0,9385.0,8905.0,9190.0,1091386.0,KIS 국내주식기간별시세,2026-07-20 15:45:54 KST
2026-07-02,8885.0,9115.0,8440.0,8545.0,1294629.0,KIS 국내주식기간별시세,2026-07-20 15:45:54 KST
2026-07-03,8715.0,8720.0,7785.0,8370.0,1170247.0,KIS 국내주식기간별시세,2026-07-20 15:45:54 KST
2026-07-06,8375.0,8375.0,7755.0,7970.0,791810.0,KIS 국내주식기간별시세,2026-07-20 15:45:54 KST
2026-07-07,7860.0,7860.0,7395.0,7570.0,993984.0,KIS 국내주식기간별시세,2026-07-20 15:45:54 KST
2026-07-08,7305.0,7310.0,6760.0,6915.0,1016312.0,KIS 국내주식기간별시세,2026-07-20 15:45:54 KST
2026-07-09,7000.0,7210.0,6700.0,6920.0,1252631.0,KIS 국내주식기간별시세,2026-07-20 15:45:54 KST
2026-07-10,7160.0,7510.0,7160.0,7360.0,831288.0,KIS 국내주식기간별시세,2026-07-20 15:45:54 KST
2026-07-13,7445.0,7485.0,6755.0,6845.0,958513.0,KIS 국내주식기간별시세,2026-07-20 15:45:54 KST
2026-07-14,6810.0,6865.0,6435.0,6785.0,1101971.0,KIS 국내주식기간별시세,2026-07-20 15:45:54 KST
2026-07-15,7050.0,7200.0,6915.0,7185.0,919601.0,KIS 국내주식기간별시세,2026-07-20 15:45:54 KST
2026-07-16,6995.0,7115.0,6700.0,6820.0,1006161.0,KIS 국내주식기간별시세,2026-07-20 15:45:54 KST
2026-07-20,6610.0,6660.0,6300.0,6360.0,993971.0,KIS 국내주식기간별시세,2026-07-20 15:45:54 KST
