date,open,high,low,close,volume,amount,market,symbol,source,fetched_at
20251224,347500,349000,342500,346000,105513,36443013000,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20251226,343000,346000,335000,336000,145837,49257352000,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20251229,326000,339000,325000,338500,139537,46843058250,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20251230,334000,334500,330000,333000,193822,64314072500,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260102,331000,331000,319500,322500,246623,79651701750,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260105,318500,330000,318500,330000,222585,72943315500,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260106,334000,334500,324500,328500,282451,92941793000,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260107,326000,328500,315000,319500,282239,90085199750,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260108,316500,317500,311000,315000,416599,130701622750,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260109,317000,320000,307500,312500,280530,87461240250,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260112,311000,322500,310000,321500,342118,109201358750,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260113,323000,343000,318000,342500,461945,154124557500,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260114,340500,341500,327500,330500,244657,81124046250,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260115,331000,342500,330500,336000,270726,91110435250,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260116,337000,343000,330500,333500,239548,80434886500,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260119,329000,338500,323500,337500,289896,95783641500,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260120,334000,345000,333000,339000,267761,90931712750,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260121,334000,336500,323500,331000,212312,70007780250,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260122,332000,357000,331000,350500,664481,231197398500,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260123,359500,369000,350500,358000,541858,194132066750,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260126,356000,358000,344500,349500,400048,139338659000,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260127,345000,355000,341000,344000,308673,106465150500,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260128,349500,366500,348500,354000,456693,162333172750,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260129,357500,357500,336000,343000,435702,149081709500,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260130,341000,342500,310500,310500,963226,309845361500,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260202,312000,312500,294000,296500,492954,148535650500,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260203,302000,307500,296500,306500,349494,105780735250,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260204,305500,319000,305500,318000,351475,110924939000,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260205,315500,320000,307500,312000,310333,97249209250,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260206,303500,305500,297000,304000,266373,80465080250,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260209,313000,315000,305000,310500,259118,80386620000,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260210,312000,324500,310500,321000,413203,131281123688,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260211,324000,327000,318000,322500,393723,127373064391,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260212,325500,340000,324000,336500,576686,193138690750,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260213,331000,336000,324000,324500,386073,127004700750,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260219,326500,336500,326000,334500,383082,127218471000,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260220,333500,341500,331500,337000,236523,79742253000,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
20260223,339000,340000,332000,332500,232539,77698464000,kr,051910,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:20 KST
