date,market,symbol,open,high,low,close,volume,tradingValue,source,updatedAt
2014-04-28,kr,078930,48450,48900,48250,48250,104628,nan,FinanceDataReader,2026-07-22T22:30:41
2014-04-29,kr,078930,48300,48650,48200,48300,65275,0.0010362694300518616,FinanceDataReader,2026-07-22T22:30:41
2014-04-30,kr,078930,48350,48500,47900,48100,150930,-0.0041407867494823725,FinanceDataReader,2026-07-22T22:30:41
2014-05-02,kr,078930,48100,48500,47900,48400,102159,0.006237006237006293,FinanceDataReader,2026-07-22T22:30:41
2014-05-07,kr,078930,48950,49000,47450,47800,188136,-0.012396694214875992,FinanceDataReader,2026-07-22T22:30:41
2014-05-08,kr,078930,47550,47800,46500,46800,311527,-0.02092050209205021,FinanceDataReader,2026-07-22T22:30:41
2014-05-09,kr,078930,46750,46800,44850,45000,585224,-0.038461538461538436,FinanceDataReader,2026-07-22T22:30:41
2014-05-12,kr,078930,45000,45000,44550,44650,448904,-0.007777777777777772,FinanceDataReader,2026-07-22T22:30:41
2014-05-13,kr,078930,45100,45450,44600,45100,415657,0.010078387458006821,FinanceDataReader,2026-07-22T22:30:41
2014-05-14,kr,078930,45200,45550,45000,45350,277580,0.005543237250554389,FinanceDataReader,2026-07-22T22:30:41
2014-05-15,kr,078930,45450,45500,45050,45300,186844,-0.0011025358324145973,FinanceDataReader,2026-07-22T22:30:41
2014-05-16,kr,078930,45050,45700,45000,45550,327450,0.0055187637969094094,FinanceDataReader,2026-07-22T22:30:41
2014-05-19,kr,078930,45600,46550,45600,46100,394549,0.01207464324917673,FinanceDataReader,2026-07-22T22:30:41
2014-05-20,kr,078930,46000,46300,45200,45450,218720,-0.014099783080260275,FinanceDataReader,2026-07-22T22:30:41
2014-05-21,kr,078930,45400,45700,45100,45500,159826,0.0011001100110010764,FinanceDataReader,2026-07-22T22:30:41
2014-05-22,kr,078930,45550,46150,45500,45750,309875,0.005494505494505475,FinanceDataReader,2026-07-22T22:30:41
2014-05-23,kr,078930,45850,45900,45450,45450,180594,-0.006557377049180357,FinanceDataReader,2026-07-22T22:30:41
2014-05-26,kr,078930,45450,45950,45400,45450,186164,0.0,FinanceDataReader,2026-07-22T22:30:41
2014-05-27,kr,078930,45700,46150,45400,45700,233409,0.005500550055005604,FinanceDataReader,2026-07-22T22:30:41
2014-05-28,kr,078930,45500,45950,45350,45500,199170,-0.004376367614879695,FinanceDataReader,2026-07-22T22:30:41
2014-05-29,kr,078930,45450,45450,43850,44100,558323,-0.03076923076923077,FinanceDataReader,2026-07-22T22:30:41
2014-05-30,kr,078930,44100,44200,43150,43350,422398,-0.017006802721088454,FinanceDataReader,2026-07-22T22:30:41
2014-06-02,kr,078930,43500,43750,43000,43250,187993,-0.0023068050749711633,FinanceDataReader,2026-07-22T22:30:41
2014-06-03,kr,078930,43150,43150,42500,42950,334269,-0.006936416184971095,FinanceDataReader,2026-07-22T22:30:41
2014-06-05,kr,078930,43000,43000,41600,42250,460856,-0.016298020954598424,FinanceDataReader,2026-07-22T22:30:41
2014-06-09,kr,078930,42000,43150,42000,42450,240108,0.004733727810650956,FinanceDataReader,2026-07-22T22:30:41
2014-06-10,kr,078930,42800,43200,42500,42900,208005,0.010600706713780994,FinanceDataReader,2026-07-22T22:30:41
2014-06-11,kr,078930,43050,43050,42300,42650,146831,-0.005827505827505797,FinanceDataReader,2026-07-22T22:30:41
2014-06-12,kr,078930,42500,42650,41900,42350,330784,-0.007033997655334079,FinanceDataReader,2026-07-22T22:30:41
2014-06-13,kr,078930,42700,42950,42200,42500,286078,0.0035419126328217754,FinanceDataReader,2026-07-22T22:30:41
2014-06-16,kr,078930,42900,43600,42700,43200,472078,0.016470588235294015,FinanceDataReader,2026-07-22T22:30:41
2014-06-17,kr,078930,43400,43400,42650,42900,188516,-0.00694444444444442,FinanceDataReader,2026-07-22T22:30:41
2014-06-18,kr,078930,43000,43000,42400,42650,178558,-0.005827505827505797,FinanceDataReader,2026-07-22T22:30:41
2014-06-19,kr,078930,42650,42800,42200,42500,180022,-0.003516998827667095,FinanceDataReader,2026-07-22T22:30:41
2014-06-20,kr,078930,42450,42500,41250,41600,430016,-0.02117647058823524,FinanceDataReader,2026-07-22T22:30:41
2014-06-23,kr,078930,41600,42250,41350,42100,272412,0.012019230769230838,FinanceDataReader,2026-07-22T22:30:41
2014-06-24,kr,078930,41750,43300,41750,43000,299306,0.0213776722090262,FinanceDataReader,2026-07-22T22:30:41
