date,market,symbol,open,high,low,close,volume,tradingvalue,source,updatedat
2019-02-11,kr,278280.0,52500,53000,47300,47300,2503503,,FinanceDataReader,2026-07-22T22:31:03
2019-02-12,kr,278280.0,47850,49150,47300,48500,737515,0.025369978858351,FinanceDataReader,2026-07-22T22:31:03
2019-02-13,kr,278280.0,48600,49900,46050,49300,585364,0.0164948453608246,FinanceDataReader,2026-07-22T22:31:03
2019-02-14,kr,278280.0,49900,51600,49500,50300,668382,0.0202839756592292,FinanceDataReader,2026-07-22T22:31:03
2019-02-15,kr,278280.0,50000,50100,47700,49400,359835,-0.0178926441351888,FinanceDataReader,2026-07-22T22:31:03
2019-02-18,kr,278280.0,50300,50800,49300,49600,167075,0.0040485829959513,FinanceDataReader,2026-07-22T22:31:03
2019-02-19,kr,278280.0,49300,52400,48400,50800,504325,0.0241935483870967,FinanceDataReader,2026-07-22T22:31:03
2019-02-20,kr,278280.0,51500,55000,51000,54300,612471,0.0688976377952756,FinanceDataReader,2026-07-22T22:31:03
2019-02-21,kr,278280.0,54300,56800,53200,54000,339047,-0.005524861878453,FinanceDataReader,2026-07-22T22:31:03
2019-02-22,kr,278280.0,53500,55300,52300,54100,283855,0.0018518518518517,FinanceDataReader,2026-07-22T22:31:03
2019-02-25,kr,278280.0,54200,56800,53500,56500,246209,0.0443622920517559,FinanceDataReader,2026-07-22T22:31:03
2019-02-26,kr,278280.0,55800,57000,54400,54700,237816,-0.031858407079646,FinanceDataReader,2026-07-22T22:31:03
2019-02-27,kr,278280.0,54600,55200,53400,55000,170669,0.0054844606946984,FinanceDataReader,2026-07-22T22:31:03
2019-02-28,kr,278280.0,55800,58900,54900,55600,357268,0.0109090909090909,FinanceDataReader,2026-07-22T22:31:03
2019-03-04,kr,278280.0,56900,59300,56300,58800,237726,0.0575539568345324,FinanceDataReader,2026-07-22T22:31:03
2019-03-05,kr,278280.0,58800,60900,57500,59600,260027,0.0136054421768707,FinanceDataReader,2026-07-22T22:31:03
2019-03-06,kr,278280.0,60300,60300,58300,59100,172016,-0.0083892617449664,FinanceDataReader,2026-07-22T22:31:03
2019-03-07,kr,278280.0,59600,68500,59100,64000,539862,0.0829103214890016,FinanceDataReader,2026-07-22T22:31:03
2019-03-08,kr,278280.0,64000,67800,63400,64700,263162,0.0109375,FinanceDataReader,2026-07-22T22:31:03
2019-03-11,kr,278280.0,63600,68400,63500,68400,228527,0.0571870170015456,FinanceDataReader,2026-07-22T22:31:03
2019-03-12,kr,278280.0,68900,70600,66500,67600,229460,-0.0116959064327485,FinanceDataReader,2026-07-22T22:31:03
2019-03-13,kr,278280.0,67900,70900,66600,69100,256053,0.022189349112426,FinanceDataReader,2026-07-22T22:31:03
2019-03-14,kr,278280.0,70000,75000,69900,73800,249292,0.0680173661360348,FinanceDataReader,2026-07-22T22:31:03
2019-03-15,kr,278280.0,76400,83300,75400,77500,401112,0.0501355013550135,FinanceDataReader,2026-07-22T22:31:03
2019-03-18,kr,278280.0,80000,82500,78500,80900,269727,0.0438709677419355,FinanceDataReader,2026-07-22T22:31:03
2019-03-19,kr,278280.0,81800,82800,78000,78000,239394,-0.0358467243510506,FinanceDataReader,2026-07-22T22:31:03
2019-03-20,kr,278280.0,78800,79900,73400,77200,295087,-0.0102564102564102,FinanceDataReader,2026-07-22T22:31:03
2019-03-21,kr,278280.0,79100,79900,75000,77900,253324,0.0090673575129534,FinanceDataReader,2026-07-22T22:31:03
2019-03-22,kr,278280.0,78600,78600,75400,75700,123873,-0.0282413350449294,FinanceDataReader,2026-07-22T22:31:03
2019-03-25,kr,278280.0,74000,74200,70600,72000,223999,-0.0488771466314399,FinanceDataReader,2026-07-22T22:31:03
2019-03-26,kr,278280.0,73200,76800,70700,76800,121169,0.0666666666666666,FinanceDataReader,2026-07-22T22:31:03
2019-03-27,kr,278280.0,77200,78400,75300,77300,97901,0.0065104166666667,FinanceDataReader,2026-07-22T22:31:03
2019-03-28,kr,278280.0,77000,77300,71500,71500,187885,-0.07503234152652,FinanceDataReader,2026-07-22T22:31:03
2019-03-29,kr,278280.0,71800,72000,66900,70200,242265,-0.0181818181818181,FinanceDataReader,2026-07-22T22:31:03
2019-04-01,kr,278280.0,69600,72800,69500,71600,96326,0.0199430199430199,FinanceDataReader,2026-07-22T22:31:03
2019-04-02,kr,278280.0,71900,74200,71900,72300,112251,0.0097765363128492,FinanceDataReader,2026-07-22T22:31:03
2019-04-03,kr,278280.0,73000,74700,71700,74500,92517,0.0304287690179805,FinanceDataReader,2026-07-22T22:31:03
2019-04-04,kr,278280.0,74500,75300,72400,73800,78653,-0.0093959731543624,FinanceDataReader,2026-07-22T22:31:03
2019-04-05,kr,278280.0,74900,74900,72300,72900,62326,-0.0121951219512195,FinanceDataReader,2026-07-22T22:31:03
