date,open,high,low,close,volume,source
2024-06-24,852.27,852.48,841.43,841.52,700,yfinance/fdr
2024-06-25,839.5,844.54,836.12,841.99,700,yfinance/fdr
2024-06-26,845.91,846.76,839.34,842.12,700,yfinance
2024-06-27,841.12,844.62,837.8,838.65,800,yfinance
2024-06-28,840.11,842.36,838.29,840.44,700,yfinance
2024-07-01,840.59,847.97,840.4,847.15,600,yfinance
2024-07-02,846.86,847.39,828.49,829.91,700,yfinance
2024-07-03,832.98,838.89,829.5,836.1,800,yfinance
2024-07-04,838.9,844.1,838.9,840.81,700,yfinance
2024-07-05,842.5,849.25,841.98,847.49,800,yfinance
2024-07-08,848.59,859.27,848.59,859.27,700,yfinance
2024-07-09,860.18,864.11,857.6,860.42,1100,yfinance
2024-07-10,859.01,860.82,854.6,858.55,900,yfinance
2024-07-11,861.73,862.61,851.72,852.42,800,yfinance
2024-07-12,848.04,855.03,845.03,850.37,800,yfinance
2024-07-15,852.62,852.93,847.68,852.88,800,yfinance
2024-07-16,850.96,851.2,837.29,839.61,900,yfinance
2024-07-17,841.28,843.1,829.09,829.41,800,yfinance
2024-07-18,820.14,824.96,812.9,822.48,900,yfinance
2024-07-19,820.29,828.82,819.13,828.72,900,yfinance
2024-07-22,827.98,828.09,806.79,809.96,900,yfinance
2024-07-23,816.3,821.93,808.79,812.12,900,yfinance
2024-07-24,809.45,819.81,807.55,814.25,800,yfinance
2024-07-25,802.28,803.55,794.23,797.29,1000,yfinance
2024-07-26,799.97,802.06,795.02,797.56,800,yfinance
2024-07-29,800.64,808.73,800.39,807.99,700,yfinance
2024-07-30,805.17,807.38,800.36,803.78,800,yfinance
2024-07-31,802.0,804.17,795.18,803.15,800,yfinance
2024-08-01,807.52,815.28,807.5,813.53,600,yfinance
2024-08-02,799.45,799.97,778.39,779.33,800,yfinance
2024-08-05,765.57,765.57,672.57,691.28,1200,yfinance
2024-08-06,709.04,738.77,707.72,732.87,1100,yfinance
2024-08-07,731.82,754.41,731.44,748.54,900,yfinance
2024-08-08,738.29,751.51,732.74,745.28,1000,yfinance
2024-08-09,759.91,768.21,759.91,764.43,800,yfinance
2024-08-12,767.21,775.31,767.21,772.72,900,yfinance
2024-08-13,771.98,773.9,757.19,764.86,1200,yfinance
2024-08-14,775.11,778.66,774.17,776.83,1100,yfinance
2024-08-16,787.34,788.86,783.88,786.33,1100,yfinance
2024-08-19,787.32,788.79,776.71,777.47,1100,yfinance
2024-08-20,783.73,787.95,783.35,787.44,1000,yfinance
2024-08-21,783.98,784.92,775.3,779.87,1100,yfinance
2024-08-22,782.59,783.89,768.48,773.47,1000,yfinance
2024-08-23,765.49,774.2,764.83,773.26,900,yfinance
2024-08-26,776.94,777.91,764.46,766.79,800,yfinance
2024-08-27,765.1,767.37,757.08,764.95,800,yfinance
2024-08-28,766.32,767.28,761.06,762.5,900,yfinance
2024-08-29,756.33,758.99,754.0,756.04,800,yfinance
2024-08-30,758.19,768.31,757.87,767.66,800,yfinance
2024-09-02,769.85,770.01,764.15,769.21,700,yfinance
2024-09-03,769.68,773.15,760.07,760.37,800,yfinance
2024-09-04,738.59,741.52,729.32,731.75,1000,yfinance
2024-09-05,736.96,740.23,718.25,725.28,1000,yfinance
2024-09-06,725.88,726.48,705.67,706.59,900,yfinance
2024-09-09,696.25,716.11,693.86,714.46,800,yfinance
2024-09-10,717.97,719.4,706.12,706.2,900,yfinance
2024-09-11,709.5,718.65,706.93,709.42,1000,yfinance
2024-09-12,719.29,733.81,719.29,731.03,900,yfinance
2024-09-13,733.36,734.35,726.37,733.2,1000,yfinance
2024-09-19,738.41,740.31,729.93,739.51,1100,yfinance
2024-09-20,746.13,750.75,745.32,748.33,900,yfinance
2024-09-23,749.24,757.85,747.83,755.12,700,yfinance
2024-09-24,757.37,767.37,757.23,767.35,900,yfinance
2024-09-25,769.87,771.77,758.02,759.3,1200,yfinance
2024-09-26,764.33,779.18,764.15,779.18,1100,yfinance
2024-09-27,777.72,780.91,773.36,774.49,1000,yfinance
2024-09-30,777.06,777.2,762.67,763.88,1000,yfinance
2024-10-02,757.3,769.69,754.38,762.13,1000,yfinance
2024-10-04,763.73,775.05,763.2,768.98,900,yfinance
2024-10-07,774.77,781.56,771.11,781.01,800,yfinance
2024-10-08,776.37,782.85,776.2,778.24,1000,yfinance
2024-10-10,781.91,784.03,772.7,775.48,700,yfinance
2024-10-11,779.0,781.12,769.68,770.98,900,yfinance
2024-10-14,770.85,771.75,765.27,770.26,800,yfinance
2024-10-15,773.37,777.0,768.13,773.81,1000,yfinance
2024-10-16,769.19,769.69,764.97,765.79,900,yfinance
2024-10-17,768.15,769.69,763.21,765.06,900,yfinance
2024-10-18,765.71,765.71,749.53,753.22,900,yfinance
2024-10-21,754.35,761.62,749.64,759.95,800,yfinance
2024-10-22,758.72,758.72,738.33,738.34,1077000,yfinance
2024-10-23,740.93,748.33,729.28,745.19,1100,yfinance
2024-10-24,742.7,742.7,734.26,734.59,900,yfinance
2024-10-25,739.05,739.62,725.27,727.41,800,yfinance
2024-10-28,729.75,740.67,729.75,740.48,600,yfinance
2024-10-29,740.05,744.18,733.28,744.18,800,yfinance
2024-10-30,743.53,746.23,738.13,738.19,800,yfinance
2024-10-31,734.25,743.22,728.34,743.06,800,yfinance
2024-11-01,735.67,736.26,729.05,729.05,700,yfinance
2024-11-04,730.5,755.0,728.11,754.08,800,yfinance
2024-11-05,752.17,756.6,750.17,751.81,900,yfinance
2024-11-06,757.23,761.01,737.77,743.31,1100,yfinance
2024-11-07,743.47,743.47,727.1,733.52,800,yfinance
2024-11-08,739.91,746.89,739.66,743.38,800,yfinance
2024-11-11,744.86,745.42,727.04,728.84,800,yfinance
2024-11-12,728.72,729.07,707.96,710.52,900,yfinance
2024-11-13,708.52,712.83,689.64,689.65,900,yfinance
