date,market,symbol,open,high,low,close,volume,source,updatedAt
2011-08-01,kr,KOSPI,2160.09,2173.28,2158.24,2172.31,262800,yfinance/fdr,2026-08-03T23:05:42
2011-08-02,kr,KOSPI,2152.85,2155.44,2114.75,2121.27,350300,yfinance/fdr,2026-08-03T23:05:42
2011-08-03,kr,KOSPI,2079.19,2080.76,2056.53,2066.26,434500,yfinance/fdr,2026-08-03T23:05:42
2011-08-04,kr,KOSPI,2067.17,2071.03,2015.23,2018.47,356400,yfinance/fdr,2026-08-03T23:05:42
2011-08-05,kr,KOSPI,1937.17,1966.73,1920.67,1943.75,481000,yfinance/fdr,2026-08-03T23:05:42
2011-08-08,kr,KOSPI,1916.57,1939.92,1800.0,1869.45,571100,yfinance/fdr,2026-08-03T23:05:42
2011-08-09,kr,KOSPI,1807.88,1828.63,1684.68,1801.35,685000,yfinance/fdr,2026-08-03T23:05:42
2011-08-10,kr,KOSPI,1877.4,1877.4,1802.29,1806.24,486300,yfinance/fdr,2026-08-03T23:05:42
2011-08-11,kr,KOSPI,1733.92,1832.48,1733.92,1817.44,438900,yfinance/fdr,2026-08-03T23:05:42
2011-08-12,kr,KOSPI,1844.13,1847.12,1788.97,1793.31,468900,yfinance/fdr,2026-08-03T23:05:42
2011-08-16,kr,KOSPI,1850.53,1879.87,1848.82,1879.87,423500,yfinance/fdr,2026-08-03T23:05:42
2011-08-17,kr,KOSPI,1868.85,1906.61,1868.6,1892.67,431000,yfinance/fdr,2026-08-03T23:05:42
2011-08-18,kr,KOSPI,1891.82,1894.94,1833.34,1860.58,503400,yfinance/fdr,2026-08-03T23:05:42
2011-08-19,kr,KOSPI,1789.78,1797.18,1744.86,1744.88,503800,yfinance/fdr,2026-08-03T23:05:42
2011-08-22,kr,KOSPI,1756.59,1763.64,1704.54,1710.7,420300,yfinance/fdr,2026-08-03T23:05:42
2011-08-23,kr,KOSPI,1735.23,1781.92,1719.97,1776.68,428500,yfinance/fdr,2026-08-03T23:05:42
2011-08-24,kr,KOSPI,1788.39,1799.11,1744.07,1754.78,412600,yfinance/fdr,2026-08-03T23:05:42
2011-08-25,kr,KOSPI,1791.08,1803.77,1762.79,1764.58,398200,yfinance/fdr,2026-08-03T23:05:42
2011-08-26,kr,KOSPI,1754.39,1782.9,1754.39,1778.95,311000,yfinance/fdr,2026-08-03T23:05:42
2011-08-29,kr,KOSPI,1807.6,1836.66,1787.29,1829.5,339100,yfinance/fdr,2026-08-03T23:05:42
2011-08-30,kr,KOSPI,1853.77,1863.51,1835.65,1843.82,493200,yfinance/fdr,2026-08-03T23:05:42
2011-08-31,kr,KOSPI,1846.89,1880.11,1837.82,1880.11,410400,yfinance/fdr,2026-08-03T23:05:42
2011-09-01,kr,KOSPI,1887.21,1928.4,1877.4,1880.7,500400,yfinance/fdr,2026-08-03T23:05:42
2011-09-02,kr,KOSPI,1872.62,1890.86,1853.7,1867.75,442600,yfinance/fdr,2026-08-03T23:05:42
2011-09-05,kr,KOSPI,1829.3,1829.75,1785.82,1785.83,414000,yfinance/fdr,2026-08-03T23:05:42
2011-09-06,kr,KOSPI,1752.98,1790.47,1744.03,1766.71,505300,yfinance/fdr,2026-08-03T23:05:42
2011-09-07,kr,KOSPI,1811.6,1833.54,1798.79,1833.46,417900,yfinance/fdr,2026-08-03T23:05:42
2011-09-08,kr,KOSPI,1858.05,1858.05,1826.44,1846.64,416700,yfinance/fdr,2026-08-03T23:05:42
2011-09-09,kr,KOSPI,1817.1,1847.05,1812.9,1812.93,331900,yfinance/fdr,2026-08-03T23:05:42
2011-09-14,kr,KOSPI,1804.09,1807.47,1743.78,1749.16,339700,yfinance/fdr,2026-08-03T23:05:42
2011-09-15,kr,KOSPI,1797.18,1806.63,1742.91,1774.08,392100,yfinance/fdr,2026-08-03T23:05:42
