date,symbol,name,open,high,low,close,volume,source
2025-12-01,CRCL,Circle,77.48999786376953,79.83999633789062,75.2300033569336,75.94000244140625,18852700,Yahoo Finance CRCL
2025-12-02,CRCL,Circle,78.4000015258789,80.7300033569336,77.18000030517578,77.44000244140625,16567100,Yahoo Finance CRCL
2025-12-03,CRCL,Circle,78.38999938964844,86.58999633789062,75.97000122070312,86.29000091552734,21053700,Yahoo Finance CRCL
2025-12-04,CRCL,Circle,83.9800033569336,88.2699966430664,83.19999694824219,87.45999908447266,14235400,Yahoo Finance CRCL
2025-12-05,CRCL,Circle,86.08999633789062,86.66000366210938,83.13999938964844,85.62000274658203,10474100,Yahoo Finance CRCL
2025-12-08,CRCL,Circle,86.94499969482422,87.41000366210938,81.33999633789062,83.95999908447266,10024600,Yahoo Finance CRCL
2025-12-09,CRCL,Circle,83.2300033569336,89.9800033569336,81.76000213623047,88.87999725341797,14570000,Yahoo Finance CRCL
2025-12-10,CRCL,Circle,87.33999633789062,89.55000305175781,85.05000305175781,88.41000366210938,9329300,Yahoo Finance CRCL
2025-12-11,CRCL,Circle,85.8499984741211,89.26000213623047,83.33000183105469,88.56999969482422,11154500,Yahoo Finance CRCL
2025-12-12,CRCL,Circle,89.52999877929688,91.3000030517578,82.02999877929688,83.47000122070312,13858000,Yahoo Finance CRCL
2025-12-15,CRCL,Circle,83.8499984741211,84.18000030517578,74.73400115966797,75.45999908447266,15025000,Yahoo Finance CRCL
2025-12-16,CRCL,Circle,77.86000061035156,83.5,77.33000183105469,83.0,15029100,Yahoo Finance CRCL
2025-12-17,CRCL,Circle,82.87999725341797,85.73999786376953,79.08000183105469,79.19999694824219,10977800,Yahoo Finance CRCL
2025-12-18,CRCL,Circle,82.73999786376953,84.47000122070312,80.08000183105469,80.98999786376953,10406200,Yahoo Finance CRCL
2025-12-19,CRCL,Circle,82.43499755859375,86.30000305175781,82.43000030517578,86.12999725341797,13856900,Yahoo Finance CRCL
2025-12-22,CRCL,Circle,87.73999786376953,91.1999969482422,86.43000030517578,87.0,10721200,Yahoo Finance CRCL
2025-12-23,CRCL,Circle,84.80000305175781,85.56999969482422,81.0199966430664,82.7300033569336,9394700,Yahoo Finance CRCL
2025-12-24,CRCL,Circle,82.72000122070312,83.04499816894531,79.86000061035156,82.63999938964844,6401500,Yahoo Finance CRCL
2025-12-26,CRCL,Circle,82.38999938964844,82.5,79.70999908447266,81.2699966430664,6140600,Yahoo Finance CRCL
2025-12-29,CRCL,Circle,79.24500274658203,83.03600311279297,79.12300109863281,80.51000213623047,7400500,Yahoo Finance CRCL
2025-12-30,CRCL,Circle,80.18000030517578,82.88999938964844,79.6500015258789,79.88999938964844,7561700,Yahoo Finance CRCL
2025-12-31,CRCL,Circle,79.95999908447266,80.38999938964844,78.7699966430664,79.30000305175781,5754000,Yahoo Finance CRCL
2026-01-02,CRCL,Circle,80.83999633789062,84.58000183105469,79.62000274658203,83.47000122070312,8382500,Yahoo Finance CRCL
2026-01-05,CRCL,Circle,84.57499694824219,88.05999755859375,84.0999984741211,84.80000305175781,9112400,Yahoo Finance CRCL
2026-01-06,CRCL,Circle,86.0,86.19999694824219,81.947998046875,84.8499984741211,7456700,Yahoo Finance CRCL
2026-01-07,CRCL,Circle,83.19000244140625,83.5999984741211,80.52999877929688,80.58999633789062,6610400,Yahoo Finance CRCL
2026-01-08,CRCL,Circle,79.9000015258789,82.72000122070312,78.8499984741211,81.79000091552734,5375000,Yahoo Finance CRCL
2026-01-09,CRCL,Circle,82.19999694824219,84.33000183105469,79.44999694824219,82.9000015258789,7686400,Yahoo Finance CRCL
2026-01-12,CRCL,Circle,81.13999938964844,83.12000274658203,79.8499984741211,82.9000015258789,6863200,Yahoo Finance CRCL
2026-01-13,CRCL,Circle,83.23500061035156,84.27999877929688,80.29000091552734,83.45999908447266,8436100,Yahoo Finance CRCL
2026-01-14,CRCL,Circle,84.98999786376953,88.45999908447266,81.75,84.80000305175781,14373600,Yahoo Finance CRCL
2026-01-15,CRCL,Circle,83.47000122070312,83.79000091552734,76.11000061035156,76.5999984741211,16933700,Yahoo Finance CRCL
2026-01-16,CRCL,Circle,76.73999786376953,80.0199966430664,75.58000183105469,78.61000061035156,9931600,Yahoo Finance CRCL
2026-01-20,CRCL,Circle,75.69999694824219,77.47000122070312,72.62000274658203,72.69999694824219,12061500,Yahoo Finance CRCL
2026-01-21,CRCL,Circle,72.9000015258789,74.58999633789062,70.41999816894531,72.63999938964844,8343200,Yahoo Finance CRCL
2026-01-22,CRCL,Circle,73.55000305175781,73.80999755859375,70.76000213623047,71.3499984741211,7345900,Yahoo Finance CRCL
2026-01-23,CRCL,Circle,70.86000061035156,72.55000305175781,69.87999725341797,71.33000183105469,7506200,Yahoo Finance CRCL
2026-01-26,CRCL,Circle,70.01000213623047,72.43000030517578,69.8499984741211,70.9000015258789,7238000,Yahoo Finance CRCL
2026-01-27,CRCL,Circle,70.37999725341797,70.53800201416016,67.5,69.95999908447266,10213400,Yahoo Finance CRCL
2026-01-28,CRCL,Circle,72.86000061035156,77.0,71.91000366210938,72.83999633789062,16300600,Yahoo Finance CRCL
2026-01-29,CRCL,Circle,70.30500030517578,70.5999984741211,65.75,67.55000305175781,16968100,Yahoo Finance CRCL
2026-01-30,CRCL,Circle,66.5999984741211,66.91000366210938,61.8849983215332,63.93000030517578,15737900,Yahoo Finance CRCL
2026-02-02,CRCL,Circle,61.5,61.869998931884766,58.40999984741211,58.86000061035156,14468200,Yahoo Finance CRCL
2026-02-03,CRCL,Circle,60.16600036621094,60.16600036621094,53.7599983215332,56.15999984741211,16819300,Yahoo Finance CRCL
2026-02-04,CRCL,Circle,56.185001373291016,56.290000915527344,51.52000045776367,55.04999923706055,14496000,Yahoo Finance CRCL
2026-02-05,CRCL,Circle,53.630001068115234,54.47800064086914,49.900001525878906,50.22999954223633,15489000,Yahoo Finance CRCL
2026-02-06,CRCL,Circle,53.80500030517578,57.79999923706055,53.619998931884766,57.040000915527344,17508700,Yahoo Finance CRCL
2026-02-09,CRCL,Circle,56.33000183105469,60.880001068115234,55.7599983215332,60.09999847412109,10755400,Yahoo Finance CRCL
2026-02-10,CRCL,Circle,58.540000915527344,62.0,58.29999923706055,59.75,7515500,Yahoo Finance CRCL
2026-02-11,CRCL,Circle,59.11000061035156,59.16999816894531,55.88999938964844,57.86000061035156,8585500,Yahoo Finance CRCL
2026-02-12,CRCL,Circle,58.75,58.75,55.310001373291016,56.630001068115234,8567200,Yahoo Finance CRCL
2026-02-13,CRCL,Circle,58.43999862670898,62.20000076293945,57.22999954223633,60.040000915527344,12023900,Yahoo Finance CRCL
2026-02-17,CRCL,Circle,59.27000045776367,62.900001525878906,57.02000045776367,61.619998931884766,9686900,Yahoo Finance CRCL
2026-02-18,CRCL,Circle,62.125,64.69999694824219,61.20000076293945,63.150001525878906,7462500,Yahoo Finance CRCL
2026-02-19,CRCL,Circle,62.26499938964844,62.84999847412109,59.79999923706055,61.91999816894531,6951600,Yahoo Finance CRCL
2026-02-20,CRCL,Circle,62.25,65.5,61.5,63.02000045776367,9415100,Yahoo Finance CRCL
2026-02-23,CRCL,Circle,62.095001220703125,63.130001068115234,59.83000183105469,61.16999816894531,8797200,Yahoo Finance CRCL
2026-02-24,CRCL,Circle,60.38999938964844,62.95000076293945,59.459999084472656,61.369998931884766,8283500,Yahoo Finance CRCL
2026-02-25,CRCL,Circle,73.7699966430664,83.3499984741211,71.19000244140625,83.13999938964844,63849900,Yahoo Finance CRCL
