date,open,high,low,close,adj_close,volume,symbol,market,source,fetched_at
2025-09-05,137.89999389648438,142.57000732421875,136.24000549316406,140.82000732421875,140.82000732421875,7243000,CRDO,us,Yahoo chart,2026-05-26 16:01:30 KST
2025-09-08,144.27000427246094,149.0800018310547,140.99000549316406,147.52999877929688,147.52999877929688,7085100,CRDO,us,Yahoo chart,2026-05-26 16:01:30 KST
2025-09-09,149.4499969482422,151.72000122070312,147.22000122070312,149.02999877929688,149.02999877929688,4277000,CRDO,us,Yahoo chart,2026-05-26 16:01:30 KST
2025-09-10,156.10400390625,164.05999755859375,154.5800018310547,163.9600067138672,163.9600067138672,7452600,CRDO,us,Yahoo chart,2026-05-26 16:01:30 KST
2025-09-11,168.22999572753906,168.4199981689453,158.61000061035156,159.32000732421875,159.32000732421875,6295600,CRDO,us,Yahoo chart,2026-05-26 16:01:30 KST
2025-09-12,160.02999877929688,164.97999572753906,158.89999389648438,161.99000549316406,161.99000549316406,3549200,CRDO,us,Yahoo chart,2026-05-26 16:01:30 KST
2025-09-15,161.5,167.9149932861328,159.50999450683594,163.97999572753906,163.97999572753906,4301000,CRDO,us,Yahoo chart,2026-05-26 16:01:30 KST
2025-09-16,163.50999450683594,168.13999938964844,160.60000610351562,164.4199981689453,164.4199981689453,4137400,CRDO,us,Yahoo chart,2026-05-26 16:01:30 KST
2025-09-17,163.92999267578125,167.14999389648438,157.77000427246094,164.44000244140625,164.44000244140625,3599600,CRDO,us,Yahoo chart,2026-05-26 16:01:30 KST
2025-09-18,173.10000610351562,176.6999969482422,170.6999969482422,172.30999755859375,172.30999755859375,5338300,CRDO,us,Yahoo chart,2026-05-26 16:01:30 KST
2025-09-19,172.83999633789062,174.0,167.32000732421875,169.55999755859375,169.55999755859375,12625100,CRDO,us,Yahoo chart,2026-05-26 16:01:30 KST
2025-09-22,167.85000610351562,176.5,159.55999755859375,164.10000610351562,164.10000610351562,6067900,CRDO,us,Yahoo chart,2026-05-26 16:01:30 KST
2025-09-23,163.4199981689453,164.0500030517578,155.2100067138672,162.25999450683594,162.25999450683594,4831600,CRDO,us,Yahoo chart,2026-05-26 16:01:30 KST
2025-09-24,158.99000549316406,158.99000549316406,146.8000030517578,149.3800048828125,149.3800048828125,7768900,CRDO,us,Yahoo chart,2026-05-26 16:01:30 KST
2025-09-25,139.8350067138672,148.58099365234375,138.0,144.94000244140625,144.94000244140625,6634600,CRDO,us,Yahoo chart,2026-05-26 16:01:30 KST
2025-09-26,146.30499267578125,147.0,139.25,142.92999267578125,142.92999267578125,4861800,CRDO,us,Yahoo chart,2026-05-26 16:01:30 KST
2025-09-29,148.4499969482422,152.75,145.72999572753906,146.00999450683594,146.00999450683594,5283200,CRDO,us,Yahoo chart,2026-05-26 16:01:30 KST
2025-09-30,146.8699951171875,150.25999450683594,142.57000732421875,145.61000061035156,145.61000061035156,3625700,CRDO,us,Yahoo chart,2026-05-26 16:01:30 KST
2025-10-01,144.77000427246094,145.66000366210938,140.50999450683594,144.91000366210938,144.91000366210938,4274400,CRDO,us,Yahoo chart,2026-05-26 16:01:30 KST
2025-10-02,152.4600067138672,155.58999633789062,145.77999877929688,149.6300048828125,149.6300048828125,6126500,CRDO,us,Yahoo chart,2026-05-26 16:01:30 KST
2025-10-03,155.27999877929688,156.88999938964844,141.5,143.8699951171875,143.8699951171875,6153700,CRDO,us,Yahoo chart,2026-05-26 16:01:30 KST
2025-10-06,152.83999633789062,156.75,143.75,147.4199981689453,147.4199981689453,6451300,CRDO,us,Yahoo chart,2026-05-26 16:01:30 KST
