date,market,symbol,name,open,high,low,close,volume,source
2025-12-01,,DDOG,Datadog,159.08999633789062,160.35000610351562,157.1300048828125,157.89999389648438,3577200,Yahoo Finance DDOG
2025-12-02,,DDOG,Datadog,161.67999267578125,163.42999267578125,155.8800048828125,156.47999572753906,5757700,Yahoo Finance DDOG
2025-12-03,,DDOG,Datadog,156.13999938964844,156.38999938964844,153.19000244140625,155.8300018310547,3728900,Yahoo Finance DDOG
2025-12-04,,DDOG,Datadog,155.17999267578125,155.72000122070312,151.66000366210938,153.0,3657500,Yahoo Finance DDOG
2025-12-05,,DDOG,Datadog,153.0,153.0500030517578,150.0749969482422,151.41000366210938,6441200,Yahoo Finance DDOG
2025-12-08,,DDOG,Datadog,152.8350067138672,156.10000610351562,152.52000427246094,154.27999877929688,3896500,Yahoo Finance DDOG
2025-12-09,,DDOG,Datadog,153.2100067138672,153.69900512695312,151.3800048828125,152.57000732421875,2824600,Yahoo Finance DDOG
2025-12-10,,DDOG,Datadog,152.1999969482422,153.22500610351562,150.63999938964844,151.1999969482422,2281600,Yahoo Finance DDOG
2025-12-11,,DDOG,Datadog,150.11000061035156,151.10499572753906,148.6219940185547,149.89999389648438,2692400,Yahoo Finance DDOG
2025-12-12,,DDOG,Datadog,150.0,150.17599487304688,144.97000122070312,146.0,3725100,Yahoo Finance DDOG
2025-12-15,,DDOG,Datadog,146.39500427246094,147.43800354003906,141.75999450683594,142.0500030517578,3823900,Yahoo Finance DDOG
2025-12-16,,DDOG,Datadog,140.72000122070312,142.5500030517578,138.8300018310547,140.0500030517578,4047300,Yahoo Finance DDOG
2025-12-17,,DDOG,Datadog,140.38999938964844,140.85000610351562,136.3699951171875,136.7100067138672,3790000,Yahoo Finance DDOG
2025-12-18,,DDOG,Datadog,140.4499969482422,141.57000732421875,137.41000366210938,138.2899932861328,4380200,Yahoo Finance DDOG
2025-12-19,,DDOG,Datadog,138.83999633789062,141.25,137.7100067138672,140.38999938964844,6302900,Yahoo Finance DDOG
2025-12-22,,DDOG,Datadog,142.17999267578125,143.41000366210938,140.6269989013672,141.83999633789062,3049000,Yahoo Finance DDOG
2025-12-23,,DDOG,Datadog,141.74000549316406,142.47999572753906,138.3300018310547,141.22999572753906,3084500,Yahoo Finance DDOG
2025-12-24,,DDOG,Datadog,139.64999389648438,139.64999389648438,135.11000061035156,138.0399932861328,2005400,Yahoo Finance DDOG
2025-12-26,,DDOG,Datadog,138.0,138.4499969482422,137.4530029296875,138.31500244140625,1256400,Yahoo Finance DDOG
2025-12-29,,DDOG,Datadog,137.52999877929688,138.5500030517578,137.02999877929688,137.94000244140625,2095800,Yahoo Finance DDOG
2025-12-30,,DDOG,Datadog,137.25999450683594,138.8300018310547,137.2100067138672,137.47999572753906,1615000,Yahoo Finance DDOG
2025-12-31,,DDOG,Datadog,136.9499969482422,137.52999877929688,135.9199981689453,135.99000549316406,1603900,Yahoo Finance DDOG
2026-01-02,,DDOG,Datadog,137.25,137.35000610351562,132.27000427246094,133.77000427246094,2565800,Yahoo Finance DDOG
2026-01-05,,DDOG,Datadog,132.9199981689453,135.6649932861328,132.3699951171875,133.63999938964844,3828000,Yahoo Finance DDOG
2026-01-06,,DDOG,Datadog,133.92999267578125,137.25,131.5800018310547,137.10000610351562,3631000,Yahoo Finance DDOG
2026-01-07,,DDOG,Datadog,137.02000427246094,145.8990020751953,137.02000427246094,141.44500732421875,5865000,Yahoo Finance DDOG
2026-01-08,,DDOG,Datadog,139.99000549316406,140.52000427246094,130.5500030517578,130.67999267578125,5476900,Yahoo Finance DDOG
2026-01-09,,DDOG,Datadog,130.75999450683594,131.47000122070312,125.20999908447266,125.48999786376952,7057700,Yahoo Finance DDOG
2026-01-12,,DDOG,Datadog,126.1999969482422,129.24000549316406,124.3499984741211,126.56999969482422,6778900,Yahoo Finance DDOG
2026-01-13,,DDOG,Datadog,127.06999969482422,128.86000061035156,123.3550033569336,125.5,5210000,Yahoo Finance DDOG
2026-01-14,,DDOG,Datadog,124.68000030517578,125.66999816894533,120.5999984741211,122.41000366210938,4841300,Yahoo Finance DDOG
2026-01-15,,DDOG,Datadog,122.93000030517578,124.27999877929688,120.45999908447266,120.86000061035156,6196500,Yahoo Finance DDOG
2026-01-16,,DDOG,Datadog,120.86000061035156,121.8000030517578,117.80699920654295,119.0199966430664,5871300,Yahoo Finance DDOG
2026-01-20,,DDOG,Datadog,117.33999633789062,119.88999938964844,115.81999969482422,117.0,4929200,Yahoo Finance DDOG
2026-01-21,,DDOG,Datadog,118.8499984741211,127.0,118.75,123.45999908447266,9731800,Yahoo Finance DDOG
2026-01-22,,DDOG,Datadog,128.10000610351562,133.5,127.45999908447266,131.25,9645800,Yahoo Finance DDOG
2026-01-23,,DDOG,Datadog,130.5,131.86000061035156,129.08999633789062,130.1300048828125,4073300,Yahoo Finance DDOG
2026-01-26,,DDOG,Datadog,130.14999389648438,137.0800018310547,130.1300048828125,136.63999938964844,5395500,Yahoo Finance DDOG
2026-01-27,,DDOG,Datadog,140.9199981689453,141.89999389648438,136.33999633789062,138.2100067138672,5931800,Yahoo Finance DDOG
2026-01-28,,DDOG,Datadog,139.66000366210938,143.38999938964844,139.02000427246094,140.55999755859375,6364100,Yahoo Finance DDOG
2026-01-29,,DDOG,Datadog,134.3699951171875,136.63999938964844,125.61000061035156,128.17999267578125,9773900,Yahoo Finance DDOG
2026-01-30,,DDOG,Datadog,127.98999786376952,130.4199981689453,127.1999969482422,129.32000732421875,5338900,Yahoo Finance DDOG
2026-02-02,,DDOG,Datadog,129.69000244140625,131.44000244140625,127.70999908447266,129.0500030517578,4691300,Yahoo Finance DDOG
2026-02-03,,DDOG,Datadog,128.72000122070312,128.72000122070312,117.3000030517578,119.66000366210938,7743300,Yahoo Finance DDOG
2026-02-04,,DDOG,Datadog,118.94000244140624,119.75499725341795,113.0199966430664,115.70999908447266,6621400,Yahoo Finance DDOG
2026-02-05,,DDOG,Datadog,112.9499969482422,114.6500015258789,105.8000030517578,106.7300033569336,6563800,Yahoo Finance DDOG
2026-02-06,,DDOG,Datadog,109.0,112.37999725341795,105.66000366210938,111.69000244140624,7125900,Yahoo Finance DDOG
2026-02-09,,DDOG,Datadog,115.0500030517578,115.8499984741211,111.4800033569336,114.01000213623048,10282900,Yahoo Finance DDOG
2026-02-10,,DDOG,Datadog,124.1750030517578,133.44000244140625,123.30999755859376,129.6699981689453,18828200,Yahoo Finance DDOG
2026-02-11,,DDOG,Datadog,131.16000366210938,131.3800048828125,122.30999755859376,127.33000183105467,8463300,Yahoo Finance DDOG
2026-02-12,,DDOG,Datadog,131.0500030517578,133.35000610351562,121.7699966430664,126.12999725341795,6416900,Yahoo Finance DDOG
2026-02-13,,DDOG,Datadog,126.86499786376952,129.47000122070312,122.5199966430664,125.1999969482422,6395100,Yahoo Finance DDOG
2026-02-17,,DDOG,Datadog,126.44000244140624,129.8300018310547,120.12999725341795,122.55999755859376,5108500,Yahoo Finance DDOG
2026-02-18,,DDOG,Datadog,116.98500061035156,122.28800201416016,115.5999984741211,121.77999877929688,7061600,Yahoo Finance DDOG
2026-02-19,,DDOG,Datadog,121.73999786376952,121.80999755859376,118.41999816894533,120.5999984741211,3703500,Yahoo Finance DDOG
2026-02-20,,DDOG,Datadog,119.0199966430664,123.05999755859376,114.77999877929688,115.66000366210938,4549100,Yahoo Finance DDOG
2026-02-23,,DDOG,Datadog,113.87000274658205,113.87000274658205,101.43499755859376,102.61499786376952,11431200,Yahoo Finance DDOG
2026-02-24,,DDOG,Datadog,101.44000244140624,105.78099822998048,98.01000213623048,104.43000030517578,7572800,Yahoo Finance DDOG
2026-02-25,,DDOG,Datadog,104.87000274658205,110.8499984741211,104.43000030517578,110.33000183105467,6218700,Yahoo Finance DDOG
2026-02-26,,DDOG,Datadog,112.88999938964844,117.8499984741211,112.19000244140624,116.45999908447266,7108000,Yahoo Finance DDOG
