date,market,symbol,name,open,high,low,close,volume,source
2021-07-28,us,DUOL,,141.39999389648438,145.0,130.0,134.2550048828125,2887900,Yahoo Finance daily
2021-07-29,us,DUOL,,137.0,139.0,132.0,134.44000244140625,693900,Yahoo Finance daily
2021-07-30,us,DUOL,,135.17999267578125,141.39999389648438,128.5,140.25,617700,Yahoo Finance daily
2021-08-02,us,DUOL,,140.0,147.25,134.72000122070312,143.8000030517578,586600,Yahoo Finance daily
2021-08-03,us,DUOL,,143.16000366210938,146.99000549316406,138.00999450683594,139.86000061035156,740100,Yahoo Finance daily
2021-08-04,us,DUOL,,136.47000122070312,142.34500122070312,135.89999389648438,141.5,475900,Yahoo Finance daily
2021-08-05,us,DUOL,,139.00999450683594,152.83999633789062,137.00999450683594,146.0,724900,Yahoo Finance daily
2021-08-06,us,DUOL,,140.10000610351562,141.86000061035156,132.39999389648438,134.3800048828125,425200,Yahoo Finance daily
2021-08-09,us,DUOL,,135.0,138.52999877929688,135.0,138.25,353700,Yahoo Finance daily
2021-08-10,us,DUOL,,138.60000610351562,141.5,138.60000610351562,140.0,233700,Yahoo Finance daily
2021-08-11,us,DUOL,,140.5,142.97000122070312,135.39999389648438,135.9600067138672,324800,Yahoo Finance daily
2021-08-12,us,DUOL,,135.5,137.2100067138672,130.16000366210938,133.8000030517578,365400,Yahoo Finance daily
2021-08-13,us,DUOL,,134.0,137.78900146484375,131.74000549316406,136.6300048828125,156200,Yahoo Finance daily
2021-08-16,us,DUOL,,137.11000061035156,137.99000549316406,133.36500549316406,135.0,171200,Yahoo Finance daily
2021-08-17,us,DUOL,,135.38999938964844,136.1300048828125,132.1999969482422,133.47999572753906,245200,Yahoo Finance daily
2021-08-18,us,DUOL,,133.39999389648438,133.97000122070312,129.13999938964844,131.5,341800,Yahoo Finance daily
2021-08-19,us,DUOL,,130.77999877929688,131.0,125.0999984741211,126.16000366210938,303100,Yahoo Finance daily
2021-08-20,us,DUOL,,126.5,127.4000015258789,125.01000213623048,126.02999877929688,132000,Yahoo Finance daily
2021-08-23,us,DUOL,,125.26000213623048,126.0,123.0,124.01000213623048,151900,Yahoo Finance daily
2021-08-24,us,DUOL,,123.69000244140624,130.6199951171875,123.69000244140624,127.16000366210938,226100,Yahoo Finance daily
2021-08-25,us,DUOL,,127.27999877929688,130.5800018310547,126.29000091552734,127.33000183105467,113400,Yahoo Finance daily
2021-08-26,us,DUOL,,127.43000030517578,128.0,119.68000030517578,120.0,250800,Yahoo Finance daily
2021-08-27,us,DUOL,,119.8000030517578,120.7750015258789,118.54499816894533,120.0999984741211,188400,Yahoo Finance daily
2021-08-30,us,DUOL,,121.04000091552734,128.8000030517578,119.4000015258789,128.6999969482422,221700,Yahoo Finance daily
2021-08-31,us,DUOL,,127.16000366210938,130.80999755859375,125.4000015258789,129.55999755859375,209100,Yahoo Finance daily
2021-09-01,us,DUOL,,130.0,137.72000122070312,128.94000244140625,137.47999572753906,139200,Yahoo Finance daily
2021-09-02,us,DUOL,,138.1699981689453,152.77000427246094,136.6009979248047,152.08999633789062,400200,Yahoo Finance daily
2021-09-03,us,DUOL,,149.0,163.83999633789062,146.56100463867188,163.05999755859375,316100,Yahoo Finance daily
2021-09-07,us,DUOL,,164.8300018310547,164.8300018310547,158.02000427246094,163.3800048828125,226300,Yahoo Finance daily
2021-09-08,us,DUOL,,163.3800048828125,163.5800018310547,153.66000366210938,158.11000061035156,230600,Yahoo Finance daily
2021-09-09,us,DUOL,,156.72999572753906,170.5800018310547,155.01499938964844,169.75,205900,Yahoo Finance daily
2021-09-10,us,DUOL,,171.97000122070312,181.2700042724609,170.49000549316406,173.3699951171875,332500,Yahoo Finance daily
2021-09-13,us,DUOL,,174.4499969482422,174.65499877929688,158.22000122070312,158.7100067138672,279700,Yahoo Finance daily
2021-09-14,us,DUOL,,159.0,166.4600067138672,159.0,160.08999633789062,310400,Yahoo Finance daily
2021-09-15,us,DUOL,,161.3300018310547,164.16000366210938,158.60000610351562,160.2899932861328,303700,Yahoo Finance daily
2021-09-16,us,DUOL,,158.57000732421875,185.8500061035156,158.0,185.0,437400,Yahoo Finance daily
2021-09-17,us,DUOL,,185.1999969482422,191.5,183.0500030517578,184.97999572753903,697700,Yahoo Finance daily
2021-09-20,us,DUOL,,178.0,183.5,174.60000610351562,181.6999969482422,410200,Yahoo Finance daily
2021-09-21,us,DUOL,,183.7899932861328,202.0399932861328,181.8999938964844,200.2100067138672,340800,Yahoo Finance daily
2021-09-22,us,DUOL,,201.6499938964844,204.9949951171875,200.25,201.8600006103516,301700,Yahoo Finance daily
