date,market,symbol,name,open,high,low,close,volume,source
2016-09-22,us,ELF,,24.0,27.399999618530277,23.729999542236328,26.5,13591500,Yahoo Finance daily
2016-09-23,us,ELF,,25.670000076293945,26.049999237060547,24.1299991607666,25.32999992370605,2152500,Yahoo Finance daily
2016-09-26,us,ELF,,25.3799991607666,25.76000022888184,24.71999931335449,25.26000022888184,531800,Yahoo Finance daily
2016-09-27,us,ELF,,25.450000762939453,25.5,24.56999969482422,24.600000381469727,976700,Yahoo Finance daily
2016-09-28,us,ELF,,24.950000762939453,26.799999237060547,24.75,26.540000915527344,1071400,Yahoo Finance daily
2016-09-29,us,ELF,,26.239999771118164,28.920000076293945,25.700000762939453,26.850000381469727,2143800,Yahoo Finance daily
2016-09-30,us,ELF,,27.90999984741211,28.43000030517578,26.8700008392334,28.1200008392334,969000,Yahoo Finance daily
2016-10-03,us,ELF,,28.399999618530277,28.68000030517578,26.540000915527344,26.790000915527344,644500,Yahoo Finance daily
2016-10-04,us,ELF,,26.76000022888184,26.76000022888184,25.850000381469727,26.309999465942383,469600,Yahoo Finance daily
2016-10-05,us,ELF,,25.780000686645508,27.13999938964844,25.780000686645508,26.51000022888184,395800,Yahoo Finance daily
2016-10-06,us,ELF,,26.11000061035156,26.506999969482425,26.0,26.399999618530277,212000,Yahoo Finance daily
2016-10-07,us,ELF,,26.57999992370605,26.989999771118164,26.0,26.670000076293945,164300,Yahoo Finance daily
2016-10-10,us,ELF,,26.63999938964844,26.920000076293945,26.01000022888184,26.299999237060547,193400,Yahoo Finance daily
2016-10-11,us,ELF,,26.68000030517578,26.68000030517578,25.049999237060547,25.56999969482422,360200,Yahoo Finance daily
2016-10-12,us,ELF,,25.84000015258789,26.649999618530277,25.170000076293945,26.6299991607666,290000,Yahoo Finance daily
2016-10-13,us,ELF,,26.56999969482422,27.989999771118164,26.299999237060547,27.049999237060547,536000,Yahoo Finance daily
2016-10-14,us,ELF,,27.51000022888184,27.82999992370605,26.809999465942383,26.940000534057617,269900,Yahoo Finance daily
2016-10-17,us,ELF,,26.920000076293945,27.82999992370605,26.551000595092773,27.479999542236328,412400,Yahoo Finance daily
2016-10-18,us,ELF,,27.979999542236328,27.979999542236328,26.239999771118164,26.8799991607666,170100,Yahoo Finance daily
2016-10-19,us,ELF,,26.799999237060547,27.200000762939453,26.350000381469727,27.030000686645508,73600,Yahoo Finance daily
2016-10-20,us,ELF,,26.809999465942383,27.09000015258789,26.350000381469727,26.600000381469727,100200,Yahoo Finance daily
2016-10-21,us,ELF,,26.31999969482422,27.06999969482422,26.250999450683597,26.809999465942383,102200,Yahoo Finance daily
