date,market,symbol,name,open,high,low,close,volume,source
2025-12-01,,GE,GE Aerospace,295.75,296.3999938964844,288.0299987792969,288.45001220703125,3756300,Yahoo Finance GE
2025-12-02,,GE,GE Aerospace,290.79998779296875,292.0,288.4599914550781,289.32000732421875,4255800,Yahoo Finance GE
2025-12-03,,GE,GE Aerospace,288.0400085449219,289.3500061035156,284.5,288.489990234375,4059500,Yahoo Finance GE
2025-12-04,,GE,GE Aerospace,288.8500061035156,294.5400085449219,287.6600036621094,291.8599853515625,4195300,Yahoo Finance GE
2025-12-05,,GE,GE Aerospace,291.6700134277344,293.2799987792969,282.1499938964844,283.94000244140625,5220300,Yahoo Finance GE
2025-12-08,,GE,GE Aerospace,285.0,288.8399963378906,283.29998779296875,287.19000244140625,4333200,Yahoo Finance GE
2025-12-09,,GE,GE Aerospace,287.20001220703125,290.45001220703125,284.7699890136719,285.3099975585937,3553400,Yahoo Finance GE
2025-12-10,,GE,GE Aerospace,285.45001220703125,285.8800048828125,281.3099975585937,283.6000061035156,5807400,Yahoo Finance GE
2025-12-11,,GE,GE Aerospace,282.0799865722656,289.3599853515625,279.6400146484375,288.4200134277344,5971500,Yahoo Finance GE
2025-12-12,,GE,GE Aerospace,290.92999267578125,304.010009765625,290.70001220703125,299.8099975585937,9381900,Yahoo Finance GE
2025-12-15,,GE,GE Aerospace,300.0,308.0599975585937,299.9100036621094,300.9800109863281,6808600,Yahoo Finance GE
2025-12-16,,GE,GE Aerospace,297.6600036621094,301.3999938964844,296.8599853515625,298.7300109863281,5271300,Yahoo Finance GE
2025-12-17,,GE,GE Aerospace,299.1199951171875,301.2300109863281,291.6199951171875,292.17999267578125,3802500,Yahoo Finance GE
2025-12-18,,GE,GE Aerospace,296.0,302.3099975585937,295.4200134277344,301.69000244140625,4495100,Yahoo Finance GE
2025-12-19,,GE,GE Aerospace,304.2300109863281,308.42999267578125,303.6400146484375,307.2099914550781,8856400,Yahoo Finance GE
2025-12-22,,GE,GE Aerospace,309.6499938964844,316.3999938964844,305.92999267578125,314.7300109863281,6959900,Yahoo Finance GE
2025-12-23,,GE,GE Aerospace,315.0,317.75,314.1600036621094,315.5299987792969,2724800,Yahoo Finance GE
2025-12-24,,GE,GE Aerospace,315.989990234375,317.1600036621094,315.1199951171875,316.75,878500,Yahoo Finance GE
