date,market,symbol,name,open,high,low,close,volume,source
2011-07-01,us,LQD,LQD,109.95999908447266,109.95999908447266,109.38999938964844,109.70999908447266,1495800,Yahoo Finance LQD
2011-07-05,us,LQD,LQD,109.72000122070312,110.37999725341797,109.72000122070312,110.0999984741211,1116100,Yahoo Finance LQD
2011-07-06,us,LQD,LQD,110.18000030517578,110.33999633789062,110.01000213623047,110.33000183105469,1343800,Yahoo Finance LQD
2011-07-07,us,LQD,LQD,110.06999969482422,110.43000030517578,110.0,110.36000061035156,1463800,Yahoo Finance LQD
2011-07-08,us,LQD,LQD,110.80000305175781,111.1500015258789,110.51000213623047,111.06999969482422,1044300,Yahoo Finance LQD
2011-07-11,us,LQD,LQD,111.36000061035156,111.5,111.0,111.44000244140625,1397100,Yahoo Finance LQD
2011-07-12,us,LQD,LQD,111.75,111.75,111.33999633789062,111.52999877929688,694400,Yahoo Finance LQD
2011-07-13,us,LQD,LQD,111.66000366210938,111.8499984741211,111.41000366210938,111.80999755859375,1014400,Yahoo Finance LQD
2011-07-14,us,LQD,LQD,111.5999984741211,111.6500015258789,111.06999969482422,111.12000274658203,761200,Yahoo Finance LQD
2011-07-15,us,LQD,LQD,111.06999969482422,111.37999725341797,110.97000122070312,111.37000274658203,531400,Yahoo Finance LQD
2011-07-18,us,LQD,LQD,111.30999755859375,111.33999633789062,110.81999969482422,110.94000244140625,1163600,Yahoo Finance LQD
2011-07-19,us,LQD,LQD,110.9800033569336,111.56999969482422,110.93000030517578,111.4800033569336,1230200,Yahoo Finance LQD
2011-07-20,us,LQD,LQD,111.41999816894531,111.58999633789062,111.12000274658203,111.22000122070312,1019800,Yahoo Finance LQD
2011-07-21,us,LQD,LQD,111.05000305175781,111.26000213623047,110.8499984741211,111.05000305175781,931400,Yahoo Finance LQD
2011-07-22,us,LQD,LQD,111.33000183105469,111.52999877929688,111.18000030517578,111.5,1121000,Yahoo Finance LQD
2011-07-25,us,LQD,LQD,111.0199966430664,111.44000244140625,110.81999969482422,110.97000122070312,1166900,Yahoo Finance LQD
2011-07-26,us,LQD,LQD,111.08999633789062,111.68000030517578,111.08999633789062,111.45999908447266,900200,Yahoo Finance LQD
2011-07-27,us,LQD,LQD,111.31999969482422,111.43000030517578,110.98999786376953,111.12999725341797,762400,Yahoo Finance LQD
2011-07-28,us,LQD,LQD,111.45999908447266,111.52999877929688,111.29000091552734,111.37000274658203,890200,Yahoo Finance LQD
2011-07-29,us,LQD,LQD,111.69999694824219,112.44000244140625,111.54000091552734,112.37000274658203,1680200,Yahoo Finance LQD
2011-08-01,us,LQD,LQD,112.23999786376953,112.83000183105469,112.12999725341797,112.27999877929688,2151200,Yahoo Finance LQD
2011-08-02,us,LQD,LQD,112.58999633789062,113.23999786376953,112.3499984741211,113.22000122070312,1427300,Yahoo Finance LQD
2011-08-03,us,LQD,LQD,113.37000274658203,113.70999908447266,113.1500015258789,113.18000030517578,2093400,Yahoo Finance LQD
2011-08-04,us,LQD,LQD,113.41000366210938,114.16999816894531,113.29000091552734,114.0,2160900,Yahoo Finance LQD
2011-08-05,us,LQD,LQD,113.86000061035156,113.91999816894531,112.37999725341797,112.58999633789062,2470900,Yahoo Finance LQD
2011-08-08,us,LQD,LQD,112.47000122070312,112.47000122070312,111.51000213623047,111.5199966430664,2548400,Yahoo Finance LQD
2011-08-09,us,LQD,LQD,111.68000030517578,113.63999938964844,111.55000305175781,112.5199966430664,2109000,Yahoo Finance LQD
2011-08-10,us,LQD,LQD,113.18000030517578,113.73999786376953,112.79000091552734,113.52999877929688,1264900,Yahoo Finance LQD
2011-08-11,us,LQD,LQD,112.19999694824219,113.30000305175781,110.80999755859375,111.19999694824219,1858300,Yahoo Finance LQD
2011-08-12,us,LQD,LQD,111.7699966430664,112.62999725341797,111.5199966430664,112.47000122070312,1962400,Yahoo Finance LQD
2011-08-15,us,LQD,LQD,112.52999877929688,112.80999755859375,112.30000305175781,112.68000030517578,1884300,Yahoo Finance LQD
2011-08-16,us,LQD,LQD,112.5199966430664,113.30999755859375,112.41000366210938,113.08999633789062,1692300,Yahoo Finance LQD
2011-08-17,us,LQD,LQD,113.37999725341797,113.7300033569336,112.9800033569336,113.4000015258789,1050200,Yahoo Finance LQD
2011-08-18,us,LQD,LQD,113.93000030517578,114.0,113.20999908447266,113.55000305175781,1358100,Yahoo Finance LQD
2011-08-19,us,LQD,LQD,113.44999694824219,113.61000061035156,113.18000030517578,113.41000366210938,1749300,Yahoo Finance LQD
2011-08-22,us,LQD,LQD,113.55000305175781,113.6500015258789,112.91000366210938,112.98999786376953,1464200,Yahoo Finance LQD
2011-08-23,us,LQD,LQD,112.45999908447266,112.5,111.44999694824219,111.69999694824219,2340100,Yahoo Finance LQD
2011-08-24,us,LQD,LQD,111.4800033569336,111.62000274658203,110.19999694824219,110.37999725341797,1513600,Yahoo Finance LQD
2011-08-25,us,LQD,LQD,110.91000366210938,111.18000030517578,110.66999816894531,110.98999786376953,1480200,Yahoo Finance LQD
2011-08-26,us,LQD,LQD,111.13999938964844,111.62000274658203,110.88999938964844,111.04000091552734,1134400,Yahoo Finance LQD
2011-08-29,us,LQD,LQD,110.94999694824219,111.47000122070312,110.8499984741211,111.4000015258789,1186200,Yahoo Finance LQD
2011-08-30,us,LQD,LQD,111.7699966430664,112.16000366210938,111.66000366210938,111.98999786376953,1420000,Yahoo Finance LQD
2011-08-31,us,LQD,LQD,112.44999694824219,112.73999786376953,112.19999694824219,112.33000183105469,1332700,Yahoo Finance LQD
2011-09-01,us,LQD,LQD,112.37999725341797,112.55999755859375,111.52999877929688,112.0,2821200,Yahoo Finance LQD
2011-09-02,us,LQD,LQD,112.80000305175781,113.0,112.25,112.69000244140625,1386300,Yahoo Finance LQD
2011-09-06,us,LQD,LQD,112.83999633789062,113.95999908447266,112.51000213623047,113.3499984741211,4665100,Yahoo Finance LQD
2011-09-07,us,LQD,LQD,113.56999969482422,113.81999969482422,113.26000213623047,113.56999969482422,826700,Yahoo Finance LQD
2011-09-08,us,LQD,LQD,113.73999786376953,113.73999786376953,113.1500015258789,113.47000122070312,1397100,Yahoo Finance LQD
2011-09-09,us,LQD,LQD,113.4000015258789,113.9000015258789,113.08000183105469,113.58999633789062,1029500,Yahoo Finance LQD
2011-09-12,us,LQD,LQD,113.05000305175781,113.5199966430664,112.81999969482422,112.9000015258789,1749500,Yahoo Finance LQD
2011-09-13,us,LQD,LQD,112.69000244140625,112.9800033569336,112.5,112.87999725341797,1536800,Yahoo Finance LQD
2011-09-14,us,LQD,LQD,112.68000030517578,113.11000061035156,112.68000030517578,112.83000183105469,954900,Yahoo Finance LQD
2011-09-15,us,LQD,LQD,112.41999816894531,112.62999725341797,112.25,112.44000244140625,1326900,Yahoo Finance LQD
2011-09-16,us,LQD,LQD,112.30000305175781,112.81999969482422,112.30000305175781,112.44000244140625,1528700,Yahoo Finance LQD
2011-09-19,us,LQD,LQD,113.0,113.19999694824219,112.91999816894531,113.05999755859375,903300,Yahoo Finance LQD
2011-09-20,us,LQD,LQD,113.0999984741211,113.31999969482422,113.0,113.11000061035156,889200,Yahoo Finance LQD
2011-09-21,us,LQD,LQD,113.11000061035156,113.55000305175781,112.75,113.37000274658203,1006500,Yahoo Finance LQD
2011-09-22,us,LQD,LQD,113.68000030517578,113.80999755859375,112.9000015258789,113.58999633789062,1304000,Yahoo Finance LQD
2011-09-23,us,LQD,LQD,113.44999694824219,113.5199966430664,112.88999938964844,112.88999938964844,686500,Yahoo Finance LQD
2011-09-26,us,LQD,LQD,112.69999694824219,113.0199966430664,112.44999694824219,112.68000030517578,811500,Yahoo Finance LQD
2011-09-27,us,LQD,LQD,112.1500015258789,112.55000305175781,112.04000091552734,112.31999969482422,1298700,Yahoo Finance LQD
2011-09-28,us,LQD,LQD,112.18000030517578,112.18000030517578,111.66000366210938,111.87000274658203,1238500,Yahoo Finance LQD
2011-09-29,us,LQD,LQD,112.0999984741211,112.2699966430664,111.75,111.75,864500,Yahoo Finance LQD
2011-09-30,us,LQD,LQD,112.33000183105469,112.43000030517578,111.9000015258789,112.30999755859375,1483800,Yahoo Finance LQD
2011-10-03,us,LQD,LQD,112.0199966430664,112.19000244140625,111.69000244140625,112.0999984741211,3575400,Yahoo Finance LQD
2011-10-04,us,LQD,LQD,112.13999938964844,112.1500015258789,110.75,111.12000274658203,1753300,Yahoo Finance LQD
2011-10-05,us,LQD,LQD,111.26000213623047,111.5999984741211,110.69000244140625,111.58000183105469,4530500,Yahoo Finance LQD
2011-10-06,us,LQD,LQD,111.63999938964844,111.81999969482422,111.08000183105469,111.12999725341797,1410900,Yahoo Finance LQD
2011-10-07,us,LQD,LQD,111.1500015258789,111.48999786376953,110.94999694824219,111.02999877929688,2117800,Yahoo Finance LQD
2011-10-10,us,LQD,LQD,111.02999877929688,111.36000061035156,110.6500015258789,111.23999786376953,953700,Yahoo Finance LQD
2011-10-11,us,LQD,LQD,111.54000091552734,111.75,111.13999938964844,111.54000091552734,2097300,Yahoo Finance LQD
2011-10-12,us,LQD,LQD,111.54000091552734,111.87999725341797,111.20999908447266,111.70999908447266,1613100,Yahoo Finance LQD
2011-10-13,us,LQD,LQD,111.9800033569336,112.01000213623047,111.66000366210938,111.80999755859375,1494400,Yahoo Finance LQD
2011-10-14,us,LQD,LQD,111.13999938964844,111.91999816894531,111.08000183105469,111.73999786376953,1051900,Yahoo Finance LQD
2011-10-17,us,LQD,LQD,111.94999694824219,111.94999694824219,111.62999725341797,111.66000366210938,979000,Yahoo Finance LQD
2011-10-18,us,LQD,LQD,111.8499984741211,112.27999877929688,111.80000305175781,112.05000305175781,835100,Yahoo Finance LQD
2011-10-19,us,LQD,LQD,112.27999877929688,112.5,112.0,112.33999633789062,1839700,Yahoo Finance LQD
2011-10-20,us,LQD,LQD,112.30000305175781,112.6500015258789,112.06999969482422,112.58999633789062,937600,Yahoo Finance LQD
2011-10-21,us,LQD,LQD,112.6500015258789,113.0199966430664,112.63999938964844,112.95999908447266,850600,Yahoo Finance LQD
2011-10-24,us,LQD,LQD,113.22000122070312,113.54000091552734,113.19999694824219,113.54000091552734,1341200,Yahoo Finance LQD
2011-10-25,us,LQD,LQD,113.4800033569336,114.19999694824219,113.43000030517578,114.0999984741211,1546300,Yahoo Finance LQD
2011-10-26,us,LQD,LQD,114.22000122070312,114.30999755859375,113.7699966430664,114.0199966430664,1035800,Yahoo Finance LQD
2011-10-27,us,LQD,LQD,113.97000122070312,114.63999938964844,113.9000015258789,114.0,2364200,Yahoo Finance LQD
2011-10-28,us,LQD,LQD,114.25,114.72000122070312,114.04000091552734,114.44000244140625,2102500,Yahoo Finance LQD
2011-10-31,us,LQD,LQD,114.63999938964844,114.94999694824219,114.3499984741211,114.69999694824219,1548300,Yahoo Finance LQD
2011-11-01,us,LQD,LQD,114.69999694824219,114.98999786376953,114.36000061035156,114.87000274658203,1530900,Yahoo Finance LQD
2011-11-02,us,LQD,LQD,114.73999786376953,115.31999969482422,114.5999984741211,115.29000091552734,1871200,Yahoo Finance LQD
2011-11-03,us,LQD,LQD,115.16999816894531,115.52999877929688,114.86000061035156,115.3499984741211,1868200,Yahoo Finance LQD
2011-11-04,us,LQD,LQD,115.30000305175781,115.68000030517578,115.0199966430664,115.58000183105469,1489300,Yahoo Finance LQD
2011-11-07,us,LQD,LQD,115.4000015258789,115.68000030517578,115.06999969482422,115.12000274658203,757000,Yahoo Finance LQD
2011-11-08,us,LQD,LQD,115.11000061035156,115.23999786376953,114.37000274658203,114.41000366210938,4358700,Yahoo Finance LQD
2011-11-09,us,LQD,LQD,114.62000274658203,114.87999725341797,114.05999755859375,114.11000061035156,1252300,Yahoo Finance LQD
2011-11-10,us,LQD,LQD,113.77999877929688,113.87000274658203,113.05999755859375,113.54000091552734,1487800,Yahoo Finance LQD
2011-11-11,us,LQD,LQD,113.56999969482422,113.58000183105469,112.9800033569336,113.33999633789062,1114200,Yahoo Finance LQD
2011-11-14,us,LQD,LQD,113.41000366210938,113.61000061035156,113.19999694824219,113.33000183105469,821400,Yahoo Finance LQD
2011-11-15,us,LQD,LQD,113.26000213623047,113.55000305175781,113.01000213623047,113.22000122070312,1425200,Yahoo Finance LQD
2011-11-16,us,LQD,LQD,113.37000274658203,113.37000274658203,112.75,112.86000061035156,2641800,Yahoo Finance LQD
2011-11-17,us,LQD,LQD,112.7300033569336,112.93000030517578,111.9000015258789,111.97000122070312,4230700,Yahoo Finance LQD
2011-11-18,us,LQD,LQD,111.97000122070312,112.19999694824219,111.77999877929688,112.1500015258789,1280400,Yahoo Finance LQD
2011-11-21,us,LQD,LQD,112.12000274658203,112.12000274658203,111.58000183105469,111.69000244140625,1355300,Yahoo Finance LQD
2011-11-22,us,LQD,LQD,111.51000213623047,111.72000122070312,111.4000015258789,111.4000015258789,1391700,Yahoo Finance LQD
2011-11-23,us,LQD,LQD,111.19999694824219,111.19999694824219,110.6500015258789,110.83000183105469,1796600,Yahoo Finance LQD
2011-11-25,us,LQD,LQD,110.61000061035156,110.83000183105469,110.33000183105469,110.38999938964844,660100,Yahoo Finance LQD
2011-11-28,us,LQD,LQD,110.12999725341797,110.80999755859375,109.80999755859375,110.44000244140625,2416000,Yahoo Finance LQD
2011-11-29,us,LQD,LQD,110.38999938964844,110.43000030517578,109.93000030517578,110.19000244140625,1460500,Yahoo Finance LQD
2011-11-30,us,LQD,LQD,110.80000305175781,110.9000015258789,110.44000244140625,110.69000244140625,1759300,Yahoo Finance LQD
2011-12-01,us,LQD,LQD,110.30000305175781,110.63999938964844,110.11000061035156,110.55999755859375,1661300,Yahoo Finance LQD
2011-12-02,us,LQD,LQD,110.8499984741211,111.55000305175781,110.56999969482422,111.5,1882200,Yahoo Finance LQD
2011-12-05,us,LQD,LQD,111.5,112.33000183105469,111.44999694824219,112.33000183105469,1826300,Yahoo Finance LQD
