date,symbol,name,open,high,low,close,volume,source
2025-12-01,MDB,MongoDB,326.42999267578125,335.9200134277344,321.2590026855469,328.8699951171875,4997600,Yahoo Finance MDB
2025-12-02,MDB,MongoDB,406.82000732421875,419.5,399.510009765625,401.989990234375,9487500,Yahoo Finance MDB
2025-12-03,MDB,MongoDB,404.7850036621094,411.45001220703125,396.3699951171875,405.94000244140625,2574100,Yahoo Finance MDB
2025-12-04,MDB,MongoDB,405.6199951171875,407.5199890136719,394.0,396.7300109863281,2516700,Yahoo Finance MDB
2025-12-05,MDB,MongoDB,397.3900146484375,411.239990234375,393.5299987792969,409.6199951171875,2101200,Yahoo Finance MDB
2025-12-08,MDB,MongoDB,413.0,424.6400146484375,413.0,418.7099914550781,2237200,Yahoo Finance MDB
2025-12-09,MDB,MongoDB,416.3599853515625,419.989990234375,412.75,414.05999755859375,1234100,Yahoo Finance MDB
2025-12-10,MDB,MongoDB,412.760009765625,429.8500061035156,411.9219970703125,427.4100036621094,1719400,Yahoo Finance MDB
2025-12-11,MDB,MongoDB,423.17999267578125,432.54998779296875,418.6400146484375,420.3900146484375,1314000,Yahoo Finance MDB
2025-12-12,MDB,MongoDB,417.7900085449219,421.5400085449219,411.2799987792969,419.0,1260100,Yahoo Finance MDB
2025-12-15,MDB,MongoDB,420.7900085449219,420.8599853515625,411.0,416.0,2066200,Yahoo Finance MDB
2025-12-16,MDB,MongoDB,410.0299987792969,425.4800109863281,408.0,421.5,1758400,Yahoo Finance MDB
2025-12-17,MDB,MongoDB,421.8500061035156,428.5299987792969,411.760009765625,412.3500061035156,1349800,Yahoo Finance MDB
2025-12-18,MDB,MongoDB,420.0,428.55999755859375,415.5,425.20001220703125,1957700,Yahoo Finance MDB
2025-12-19,MDB,MongoDB,429.0,431.55999755859375,423.25,430.6400146484375,1407400,Yahoo Finance MDB
2025-12-22,MDB,MongoDB,433.0,440.6700134277344,431.0,439.67999267578125,1375600,Yahoo Finance MDB
2025-12-23,MDB,MongoDB,439.0,439.3900146484375,432.5,437.1300048828125,843900,Yahoo Finance MDB
2025-12-24,MDB,MongoDB,435.3500061035156,439.0799865722656,434.2900085449219,435.510009765625,341300,Yahoo Finance MDB
2025-12-26,MDB,MongoDB,435.55999755859375,439.6700134277344,435.04998779296875,435.8500061035156,532900,Yahoo Finance MDB
2025-12-29,MDB,MongoDB,434.0,435.0,420.8999938964844,423.1400146484375,1506500,Yahoo Finance MDB
2025-12-30,MDB,MongoDB,425.489990234375,428.6499938964844,420.9100036621094,421.2300109863281,921500,Yahoo Finance MDB
2025-12-31,MDB,MongoDB,421.3800048828125,425.79998779296875,418.69000244140625,419.69000244140625,835800,Yahoo Finance MDB
2026-01-02,MDB,MongoDB,422.5,423.5,392.5,399.6499938964844,2555100,Yahoo Finance MDB
2026-01-05,MDB,MongoDB,404.010009765625,423.7099914550781,400.8599853515625,420.82000732421875,1669100,Yahoo Finance MDB
2026-01-06,MDB,MongoDB,420.5199890136719,436.4200134277344,418.94000244140625,435.8599853515625,1740100,Yahoo Finance MDB
2026-01-07,MDB,MongoDB,435.010009765625,444.7200012207031,433.010009765625,440.6000061035156,1381800,Yahoo Finance MDB
2026-01-08,MDB,MongoDB,440.5050048828125,444.0,411.54998779296875,413.5199890136719,1578400,Yahoo Finance MDB
2026-01-09,MDB,MongoDB,414.7799987792969,420.7950134277344,407.7300109863281,408.1199951171875,1191000,Yahoo Finance MDB
2026-01-12,MDB,MongoDB,408.1199951171875,419.2699890136719,404.6000061035156,418.19000244140625,1087800,Yahoo Finance MDB
2026-01-13,MDB,MongoDB,417.7300109863281,424.2300109863281,409.70001220703125,411.19000244140625,1521500,Yahoo Finance MDB
2026-01-14,MDB,MongoDB,409.3599853515625,410.3599853515625,385.45001220703125,386.8900146484375,1627600,Yahoo Finance MDB
2026-01-15,MDB,MongoDB,388.30999755859375,410.739990234375,384.0,389.20001220703125,2262800,Yahoo Finance MDB
2026-01-16,MDB,MongoDB,390.6400146484375,413.7200012207031,386.75,399.760009765625,1988000,Yahoo Finance MDB
2026-01-20,MDB,MongoDB,389.8699951171875,400.9150085449219,380.25,384.82000732421875,1534600,Yahoo Finance MDB
2026-01-21,MDB,MongoDB,387.2200012207031,390.885009765625,380.19000244140625,381.44000244140625,1093100,Yahoo Finance MDB
2026-01-22,MDB,MongoDB,387.6000061035156,404.989990234375,387.14300537109375,404.6400146484375,1088700,Yahoo Finance MDB
2026-01-23,MDB,MongoDB,406.6099853515625,408.2149963378906,396.885009765625,398.69000244140625,1047200,Yahoo Finance MDB
