date,open,high,low,close,adj_close,volume,symbol,market,source,fetched_at
2025-09-05,752.6199951171875,757.9500122070312,745.030029296875,752.4500122070312,750.68701171875,9663400,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-09-08,756.0,766.510009765625,752.02001953125,752.2999877929688,750.5372924804688,13087800,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-09-09,757.489990234375,766.2999877929688,753.4299926757812,765.7000122070312,763.9059448242188,10999000,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-09-10,765.1300048828125,765.7000122070312,751.0,751.97998046875,750.2180786132812,12478300,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-09-11,754.6500244140625,757.0999755859375,748.3699951171875,750.9000244140625,749.140625,7923300,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-09-12,748.72998046875,757.5700073242188,743.760009765625,755.5900268554688,753.8196411132812,8248600,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-09-15,757.469970703125,774.0700073242188,751.989990234375,764.7000122070312,762.9082641601562,10533800,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-09-16,767.0,781.3599853515625,765.0999755859375,779.0,777.1747436523438,11782500,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-09-17,779.989990234375,783.2899780273438,766.3099975585938,775.719970703125,773.9024658203125,9400900,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-09-18,780.75,788.780029296875,773.3599853515625,780.25,778.421875,10955000,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-09-19,786.4199829101562,790.7999877929688,769.1900024414062,778.3800048828125,776.5562133789062,23696800,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-09-22,781.8499755859375,785.72998046875,764.469970703125,765.1599731445312,763.8824462890625,11706900,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-09-23,769.25,770.5999755859375,751.0700073242188,755.4000244140625,754.1387329101562,10872600,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-09-24,757.5,761.1099853515625,752.530029296875,760.6599731445312,759.3899536132812,8828200,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-09-25,753.4500122070312,756.77001953125,744.5499877929688,748.9099731445312,747.6595458984375,10591100,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-09-26,750.0,751.9299926757812,737.3499755859375,743.75,742.5081787109375,9696300,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-09-29,748.719970703125,750.780029296875,739.1500244140625,743.4000244140625,742.1587524414062,9246800,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-09-30,742.25,742.969970703125,726.2999877929688,734.3800048828125,733.1538696289062,16226800,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-10-01,721.489990234375,721.8499755859375,710.2000122070312,717.3400268554688,716.1422729492188,20419600,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-10-02,722.5800170898438,727.77001953125,718.1400146484375,727.0499877929688,725.8360595703125,11415300,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-10-03,729.6300048828125,731.0,710.1799926757812,710.5599975585938,709.3735961914062,16154300,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-10-06,705.1900024414062,716.8800048828125,690.510009765625,715.6599731445312,714.465087890625,21654700,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-10-07,717.719970703125,718.5,705.75,713.0800170898438,711.889404296875,12062900,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-10-08,713.4500122070312,719.6500244140625,707.8099975585938,717.8400268554688,716.6414794921875,10790600,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-10-09,718.280029296875,733.510009765625,712.4400024414062,733.510009765625,732.2852783203125,12717200,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-10-10,730.9199829101562,735.27001953125,704.510009765625,705.2999877929688,704.1223754882812,16980100,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-10-13,713.010009765625,719.9400024414062,707.6400146484375,715.7000122070312,714.5050048828125,9251800,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-10-14,707.780029296875,715.5499877929688,699.3300170898438,708.6500244140625,707.466796875,8829800,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-10-15,717.0599975585938,723.9000244140625,709.510009765625,717.5499877929688,716.3519287109375,10246800,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-10-16,717.5499877929688,725.489990234375,703.8800048828125,712.0700073242188,710.881103515625,9017000,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-10-17,707.0800170898438,718.5399780273438,706.1199951171875,716.9199829101562,715.7229614257812,12232400,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-10-20,721.1900024414062,733.77001953125,720.1799926757812,732.1699829101562,730.947509765625,8900200,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-10-21,736.02001953125,738.5,728.75,733.27001953125,732.0457153320312,7647300,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-10-22,733.8300170898438,740.5999755859375,724.030029296875,733.4099731445312,732.1854248046875,8734500,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-10-23,734.7000122070312,742.4099731445312,733.0999755859375,734.0,732.7744750976562,9856000,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-10-24,736.7899780273438,741.2100219726562,731.1500244140625,738.3599853515625,737.127197265625,9151300,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-10-27,749.72998046875,755.75,748.010009765625,750.8200073242188,749.5663452148438,11321100,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-10-28,752.6300048828125,758.4000244140625,745.52001953125,751.4400024414062,750.1853637695312,12193800,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-10-29,754.75,759.1599731445312,742.510009765625,751.6699829101562,750.4149169921875,26818600,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-10-30,669.1500244140625,680.9600219726562,650.1699829101562,666.469970703125,665.3572387695312,88440100,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-10-31,674.510009765625,674.8900146484375,645.5700073242188,648.3499755859375,647.2674560546875,56953200,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-11-03,656.0,659.3300170898438,636.1799926757812,637.7100219726562,636.645263671875,33003600,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-11-04,628.0399780273438,641.739990234375,626.010009765625,627.3200073242188,626.2725830078125,27356600,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-11-05,632.3099975585938,642.22998046875,626.5399780273438,635.9500122070312,634.88818359375,20219900,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-11-06,635.8499755859375,636.0,618.0,618.9400024414062,617.9065551757812,23628800,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-11-07,616.489990234375,622.1300048828125,601.2000122070312,621.7100219726562,620.6719360351562,29946800,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-11-10,631.0900268554688,635.0,618.1099853515625,631.760009765625,630.7052001953125,19245000,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-11-11,628.0,629.5599975585938,619.3900146484375,627.0800170898438,626.0330200195312,13302200,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-11-12,628.1300048828125,628.989990234375,607.77001953125,609.010009765625,607.9931640625,24493300,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-11-13,613.0700073242188,617.6500244140625,603.0,609.8900146484375,608.8717041015625,20973800,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-11-14,601.7899780273438,613.6799926757812,595.2000122070312,609.4600219726562,608.4424438476562,20724100,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-11-17,609.0399780273438,611.6900024414062,595.4000244140625,602.010009765625,601.0048217773438,16501300,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-11-18,591.5999755859375,603.6599731445312,583.780029296875,597.6900024414062,596.6920776367188,25500600,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-11-19,593.719970703125,595.3300170898438,581.25,590.3200073242188,589.3343505859375,24744700,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-11-20,603.5,606.719970703125,583.3499755859375,589.1500244140625,588.1663208007812,20603000,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-11-21,588.5,598.1199951171875,581.8599853515625,594.25,593.2578125,21052600,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-11-24,598.719970703125,616.7000122070312,597.6300048828125,613.0499877929688,612.0264282226562,23554900,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-11-25,624.0,637.0499877929688,618.2999877929688,636.219970703125,635.1576538085938,25213000,META,us,Yahoo chart,2026-05-26 16:01:32 KST
2025-11-26,637.6900024414062,638.3599853515625,631.6300048828125,633.6099853515625,632.5520629882812,15209500,META,us,Yahoo chart,2026-05-26 16:01:32 KST
