date,market,symbol,open,high,low,close,volume,source,updatedAt
2011-07-25,us,QQQ,51.93,52.53,51.83,52.24,48916100,yfinance/fdr,2026-07-24T09:32:45
2011-07-26,us,QQQ,52.2,52.55,52.1,52.37,40918900,yfinance/fdr,2026-07-24T09:32:45
2011-07-27,us,QQQ,52.03,52.07,50.89,51.02,83969500,yfinance/fdr,2026-07-24T09:32:45
2011-07-28,us,QQQ,51.04,51.76,50.84,51.11,61031900,yfinance/fdr,2026-07-24T09:32:45
2011-07-29,us,QQQ,50.69,51.47,50.45,50.94,82860500,yfinance/fdr,2026-07-24T09:32:45
2011-08-01,us,QQQ,51.55,51.66,50.09,50.7,85421100,yfinance/fdr,2026-07-24T09:32:45
2011-08-02,us,QQQ,50.46,50.69,49.37,49.42,90853300,yfinance/fdr,2026-07-24T09:32:45
2011-08-03,us,QQQ,49.48,49.96,48.61,49.89,103612300,yfinance/fdr,2026-07-24T09:32:45
2011-08-04,us,QQQ,49.18,49.26,47.58,47.58,132830000,yfinance/fdr,2026-07-24T09:32:45
2011-08-05,us,QQQ,48.06,48.33,45.95,47.28,214111800,yfinance/fdr,2026-07-24T09:32:45
2011-08-08,us,QQQ,45.83,46.65,44.43,44.43,204804500,yfinance/fdr,2026-07-24T09:32:45
2011-08-09,us,QQQ,45.1,46.62,43.85,46.57,193707100,yfinance/fdr,2026-07-24T09:32:45
2011-08-10,us,QQQ,45.52,46.58,44.62,44.67,205917900,yfinance/fdr,2026-07-24T09:32:45
2011-08-11,us,QQQ,45.31,47.15,45.09,46.64,143825300,yfinance/fdr,2026-07-24T09:32:45
2011-08-12,us,QQQ,46.93,47.34,46.44,47.05,90483300,yfinance/fdr,2026-07-24T09:32:45
2011-08-15,us,QQQ,47.24,47.74,47.01,47.74,73554300,yfinance/fdr,2026-07-24T09:32:45
2011-08-16,us,QQQ,47.28,47.73,46.71,47.34,89219200,yfinance/fdr,2026-07-24T09:32:45
2011-08-17,us,QQQ,47.4,47.79,46.57,47.06,84416600,yfinance/fdr,2026-07-24T09:32:45
2011-08-18,us,QQQ,45.78,45.79,44.33,44.75,130019400,yfinance/fdr,2026-07-24T09:32:45
2011-08-19,us,QQQ,44.28,45.38,43.9,43.94,96674600,yfinance/fdr,2026-07-24T09:32:45
2011-08-22,us,QQQ,44.99,45.0,43.97,44.1,77107700,yfinance/fdr,2026-07-24T09:32:45
2011-08-23,us,QQQ,44.4,45.92,44.21,45.92,75688400,yfinance/fdr,2026-07-24T09:32:45
2011-08-24,us,QQQ,45.78,46.36,45.41,46.28,80197700,yfinance/fdr,2026-07-24T09:32:45
2011-08-25,us,QQQ,46.25,46.46,45.36,45.52,93623700,yfinance/fdr,2026-07-24T09:32:45
2011-08-26,us,QQQ,45.37,46.82,44.92,46.66,91573300,yfinance/fdr,2026-07-24T09:32:45
2011-08-29,us,QQQ,47.13,48.01,47.11,47.96,45985800,yfinance/fdr,2026-07-24T09:32:45
2011-08-30,us,QQQ,47.79,48.57,47.52,48.28,61617900,yfinance/fdr,2026-07-24T09:32:45
2011-08-31,us,QQQ,48.57,48.95,47.95,48.36,60900400,yfinance/fdr,2026-07-24T09:32:45
2011-09-01,us,QQQ,48.48,48.87,47.83,47.92,57158400,yfinance/fdr,2026-07-24T09:32:45
2011-09-02,us,QQQ,47.06,47.96,46.54,46.79,58185700,yfinance/fdr,2026-07-24T09:32:45
2011-09-06,us,QQQ,45.7,46.87,45.59,46.8,52992200,yfinance/fdr,2026-07-24T09:32:45
2011-09-07,us,QQQ,47.47,48.0,47.34,47.99,48952200,yfinance/fdr,2026-07-24T09:32:45
2011-09-08,us,QQQ,47.74,48.45,47.61,47.77,61422800,yfinance/fdr,2026-07-24T09:32:45
2011-09-09,us,QQQ,47.43,47.64,46.42,46.71,63663500,yfinance/fdr,2026-07-24T09:32:45
2011-09-12,us,QQQ,46.19,47.34,46.17,47.3,65973000,yfinance/fdr,2026-07-24T09:32:45
2011-09-13,us,QQQ,47.48,48.03,47.25,47.94,59020000,yfinance/fdr,2026-07-24T09:32:45
2011-09-14,us,QQQ,48.18,49.17,47.71,48.62,90757300,yfinance/fdr,2026-07-24T09:32:45
2011-09-15,us,QQQ,49.15,49.43,48.65,49.34,83536100,yfinance/fdr,2026-07-24T09:32:45
2011-09-16,us,QQQ,49.45,49.85,49.35,49.79,91902100,yfinance/fdr,2026-07-24T09:32:45
2011-09-19,us,QQQ,49.18,50.07,48.77,49.81,73042900,yfinance/fdr,2026-07-24T09:32:45
2011-09-20,us,QQQ,50.07,50.46,49.48,49.59,66570100,yfinance/fdr,2026-07-24T09:32:45
2011-09-21,us,QQQ,49.85,50.09,48.72,48.73,79938000,yfinance/fdr,2026-07-24T09:32:45
2011-09-22,us,QQQ,47.49,47.92,46.41,47.14,151885500,yfinance/fdr,2026-07-24T09:32:45
2011-09-23,us,QQQ,46.75,47.85,46.71,47.65,85940600,yfinance/fdr,2026-07-24T09:32:45
2011-09-26,us,QQQ,47.88,48.29,46.82,48.2,96261400,yfinance/fdr,2026-07-24T09:32:45
2011-09-27,us,QQQ,49.02,49.45,48.38,48.7,81148600,yfinance/fdr,2026-07-24T09:32:45
2011-09-28,us,QQQ,48.91,49.25,47.87,47.98,76757100,yfinance/fdr,2026-07-24T09:32:45
2011-09-29,us,QQQ,48.71,48.77,46.61,47.41,116900200,yfinance/fdr,2026-07-24T09:32:45
2011-09-30,us,QQQ,46.77,47.17,46.16,46.19,104870100,yfinance/fdr,2026-07-24T09:32:45
2011-10-03,us,QQQ,45.77,46.5,44.97,45.0,99149500,yfinance/fdr,2026-07-24T09:32:45
2011-10-04,us,QQQ,44.54,46.01,44.08,45.92,137013700,yfinance/fdr,2026-07-24T09:32:45
2011-10-05,us,QQQ,45.81,47.23,45.46,47.1,108825700,yfinance/fdr,2026-07-24T09:32:45
2011-10-06,us,QQQ,47.04,47.9,46.82,47.89,71939200,yfinance/fdr,2026-07-24T09:32:45
2011-10-07,us,QQQ,47.87,48.09,47.27,47.58,72525200,yfinance/fdr,2026-07-24T09:32:45
2011-10-10,us,QQQ,48.39,49.22,48.3,49.22,48230200,yfinance/fdr,2026-07-24T09:32:45
2011-10-11,us,QQQ,49.09,49.68,49.01,49.56,66449100,yfinance/fdr,2026-07-24T09:32:45
2011-10-12,us,QQQ,50.03,50.36,49.77,49.8,85627600,yfinance/fdr,2026-07-24T09:32:45
2011-10-13,us,QQQ,49.7,50.32,49.65,50.26,63443700,yfinance/fdr,2026-07-24T09:32:45
2011-10-14,us,QQQ,50.88,51.2,50.6,51.19,65643600,yfinance/fdr,2026-07-24T09:32:45
2011-10-17,us,QQQ,50.95,51.11,50.13,50.4,65161300,yfinance/fdr,2026-07-24T09:32:45
2011-10-18,us,QQQ,50.32,51.29,49.85,51.02,91434600,yfinance/fdr,2026-07-24T09:32:45
2011-10-19,us,QQQ,50.74,50.9,49.87,50.04,67639400,yfinance/fdr,2026-07-24T09:32:45
2011-10-20,us,QQQ,50.03,50.08,49.09,49.79,80378300,yfinance/fdr,2026-07-24T09:32:45
2011-10-21,us,QQQ,50.32,50.73,49.96,50.42,60455800,yfinance/fdr,2026-07-24T09:32:45
2011-10-24,us,QQQ,50.6,51.61,50.43,51.46,61449500,yfinance/fdr,2026-07-24T09:32:45
2011-10-25,us,QQQ,51.3,51.32,50.35,50.45,65299200,yfinance/fdr,2026-07-24T09:32:45
2011-10-26,us,QQQ,50.73,50.84,49.46,50.39,98193800,yfinance/fdr,2026-07-24T09:32:45
2011-10-27,us,QQQ,51.6,52.09,51.06,51.78,104455500,yfinance/fdr,2026-07-24T09:32:45
2011-10-28,us,QQQ,51.49,51.92,51.47,51.86,42950000,yfinance/fdr,2026-07-24T09:32:45
2011-10-31,us,QQQ,51.41,51.6,50.95,50.99,60520200,yfinance/fdr,2026-07-24T09:32:45
2011-11-01,us,QQQ,49.73,50.95,49.38,49.66,99933000,yfinance/fdr,2026-07-24T09:32:45
2011-11-02,us,QQQ,50.18,50.29,49.61,50.08,65003800,yfinance/fdr,2026-07-24T09:32:45
2011-11-03,us,QQQ,50.48,51.19,49.9,51.12,78994200,yfinance/fdr,2026-07-24T09:32:45
2011-11-04,us,QQQ,50.88,51.08,50.35,50.86,61527800,yfinance/fdr,2026-07-24T09:32:45
2011-11-07,us,QQQ,50.82,51.25,50.3,51.22,65559000,yfinance/fdr,2026-07-24T09:32:45
2011-11-08,us,QQQ,51.59,51.9,51.01,51.81,62906900,yfinance/fdr,2026-07-24T09:32:45
2011-11-09,us,QQQ,50.8,50.88,49.83,49.99,69539000,yfinance/fdr,2026-07-24T09:32:45
2011-11-10,us,QQQ,50.48,50.52,49.48,49.96,66052400,yfinance/fdr,2026-07-24T09:32:45
2011-11-11,us,QQQ,50.39,51.05,50.33,50.9,54471000,yfinance/fdr,2026-07-24T09:32:45
2011-11-14,us,QQQ,50.76,51.04,50.4,50.58,44617600,yfinance/fdr,2026-07-24T09:32:45
2011-11-15,us,QQQ,50.44,51.35,50.38,51.15,52203900,yfinance/fdr,2026-07-24T09:32:45
2011-11-16,us,QQQ,50.78,51.17,50.21,50.3,68342800,yfinance/fdr,2026-07-24T09:32:45
2011-11-17,us,QQQ,50.17,50.19,48.82,49.12,101706900,yfinance/fdr,2026-07-24T09:32:45
2011-11-18,us,QQQ,49.13,49.19,48.66,48.75,60417000,yfinance/fdr,2026-07-24T09:32:45
2011-11-21,us,QQQ,48.09,48.16,47.32,47.81,52283700,yfinance/fdr,2026-07-24T09:32:45
2011-11-22,us,QQQ,47.69,48.11,47.4,47.97,51940100,yfinance/fdr,2026-07-24T09:32:45
2011-11-23,us,QQQ,47.61,47.66,46.86,46.89,48437300,yfinance/fdr,2026-07-24T09:32:45
2011-11-25,us,QQQ,46.69,47.22,46.52,46.53,25448100,yfinance/fdr,2026-07-24T09:32:45
2011-11-28,us,QQQ,47.66,48.21,47.64,48.15,46710700,yfinance/fdr,2026-07-24T09:32:45
2011-11-29,us,QQQ,48.12,48.48,47.71,47.85,52056700,yfinance/fdr,2026-07-24T09:32:45
2011-11-30,us,QQQ,49.15,49.66,48.98,49.62,66918600,yfinance/fdr,2026-07-24T09:32:45
2011-12-01,us,QQQ,49.61,50.09,49.58,49.96,45362200,yfinance/fdr,2026-07-24T09:32:45
2011-12-02,us,QQQ,50.45,50.45,49.78,49.82,36938900,yfinance/fdr,2026-07-24T09:32:45
2011-12-05,us,QQQ,50.57,50.7,50.08,50.36,40492200,yfinance/fdr,2026-07-24T09:32:45
2011-12-06,us,QQQ,50.41,50.55,50.06,50.22,38670000,yfinance/fdr,2026-07-24T09:32:45
2011-12-07,us,QQQ,50.08,50.45,49.58,50.22,44576200,yfinance/fdr,2026-07-24T09:32:45
2011-12-08,us,QQQ,49.9,50.29,49.28,49.38,51692600,yfinance/fdr,2026-07-24T09:32:45
2011-12-09,us,QQQ,49.5,50.32,49.48,50.17,55757900,yfinance/fdr,2026-07-24T09:32:45
2011-12-12,us,QQQ,49.64,50.16,49.19,49.61,55411700,yfinance/fdr,2026-07-24T09:32:45
2011-12-13,us,QQQ,49.93,50.14,48.86,49.06,68557700,yfinance/fdr,2026-07-24T09:32:45
2011-12-14,us,QQQ,48.88,48.91,48.02,48.3,63682800,yfinance/fdr,2026-07-24T09:32:45
2011-12-15,us,QQQ,48.71,48.76,48.09,48.17,58732900,yfinance/fdr,2026-07-24T09:32:45
2011-12-16,us,QQQ,48.42,49.08,48.33,48.41,60978900,yfinance/fdr,2026-07-24T09:32:45
2011-12-19,us,QQQ,48.6,48.71,47.8,47.94,46733900,yfinance/fdr,2026-07-24T09:32:45
2011-12-20,us,QQQ,48.71,49.42,48.69,49.36,81758800,yfinance/fdr,2026-07-24T09:32:45
2011-12-21,us,QQQ,49.07,49.1,48.09,48.65,78552300,yfinance/fdr,2026-07-24T09:32:45
