date,open,high,low,close,adj_close,volume,symbol,market,source,fetched_at
2025-09-05,37.650001525878906,37.650001525878906,34.5,34.529998779296875,34.529998779296875,13121700,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-09-08,34.91999816894531,35.56999969482422,33.81999969482422,33.95000076293945,33.95000076293945,10257100,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-09-09,34.29999923706055,35.36000061035156,33.97999954223633,35.34000015258789,35.34000015258789,11157500,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-09-10,36.459999084472656,36.70000076293945,34.310001373291016,34.310001373291016,34.310001373291016,15044400,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-09-11,35.040000915527344,35.599998474121094,34.400001525878906,35.18000030517578,35.18000030517578,12727000,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-09-12,35.380001068115234,36.529998779296875,34.72999954223633,36.34000015258789,36.34000015258789,12267800,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-09-15,37.790000915527344,39.459999084472656,35.880001068115234,39.09000015258789,39.09000015258789,23182900,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-09-16,38.29999923706055,39.0,36.7599983215332,37.2599983215332,37.2599983215332,16497200,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-09-17,36.970001220703125,37.0,35.130001068115234,36.130001068115234,36.130001068115234,12722100,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-09-18,37.279998779296875,41.029998779296875,36.349998474121094,38.119998931884766,38.119998931884766,25964600,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-09-19,39.20000076293945,47.0,39.0,46.77000045776367,46.77000045776367,52070400,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-09-22,44.70000076293945,47.2599983215332,42.25,45.0,45.0,26290400,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-09-23,44.5,44.70000076293945,41.06999969482422,41.63999938964844,41.63999938964844,21098400,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-09-24,42.25,42.38999938964844,39.209999084472656,39.66999816894531,39.66999816894531,16844500,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-09-25,38.0,39.24800109863281,36.189998626708984,37.70000076293945,37.70000076293945,21368700,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-09-26,38.0,38.849998474121094,36.959999084472656,38.0,38.0,12613200,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-09-29,39.75,40.327999114990234,37.816001892089844,38.15999984741211,38.15999984741211,15753900,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-09-30,37.29499816894531,37.810001373291016,35.91999816894531,36.0,36.0,20559300,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-10-01,36.02000045776367,37.04999923706055,35.25,36.61000061035156,36.61000061035156,13151400,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-10-02,37.38999938964844,39.59000015258789,36.959999084472656,39.5099983215332,39.5099983215332,18790600,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-10-03,39.369998931884766,41.25,38.66999816894531,40.119998931884766,40.119998931884766,17498400,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-10-06,41.51499938964844,43.959999084472656,41.31999969482422,41.939998626708984,41.939998626708984,18427900,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-10-07,42.310001373291016,44.20000076293945,39.04999923706055,39.209999084472656,39.209999084472656,19406600,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-10-08,39.86000061035156,40.6349983215332,37.922000885009766,38.20000076293945,38.20000076293945,15443400,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-10-09,38.95000076293945,41.60499954223633,38.42599868774414,40.61000061035156,40.61000061035156,22078400,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-10-10,41.02000045776367,44.83000183105469,39.099998474121094,39.2400016784668,39.2400016784668,36466900,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-10-13,41.84000015258789,46.400001525878906,41.70000076293945,45.02000045776367,45.02000045776367,30071300,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-10-14,43.310001373291016,47.41999816894531,41.62099838256836,45.790000915527344,45.790000915527344,23524700,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-10-15,48.2400016784668,56.15999984741211,47.95000076293945,53.43000030517578,53.43000030517578,61078600,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-10-16,56.33000183105469,57.41999816894531,47.5099983215332,47.63999938964844,47.63999938964844,41118400,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-10-17,48.0,48.66999816894531,42.66999816894531,44.25,44.25,30755000,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-10-20,46.39500045776367,46.39500045776367,43.40999984741211,44.209999084472656,44.209999084472656,15883800,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-10-21,41.130001068115234,41.7400016784668,38.31999969482422,38.369998931884766,38.369998931884766,30772200,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-10-22,38.720001220703125,38.900001525878906,32.689998626708984,34.720001220703125,34.720001220703125,39024300,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-10-23,35.209999084472656,38.2599983215332,34.380001068115234,37.560001373291016,37.560001373291016,21950100,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-10-24,39.0,40.29999923706055,37.5,37.72999954223633,37.72999954223633,23940900,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-10-27,38.869998931884766,39.59000015258789,36.92499923706055,38.709999084472656,38.709999084472656,14938400,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-10-28,39.7599983215332,44.47999954223633,39.16999816894531,42.119998931884766,42.119998931884766,32305100,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-10-29,42.154998779296875,44.43000030517578,40.529998779296875,43.16999816894531,43.16999816894531,18613600,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-10-30,41.9900016784668,44.369998931884766,40.70000076293945,42.25,42.25,14854300,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-10-31,43.75,45.540000915527344,42.08000183105469,44.869998931884766,44.869998931884766,17575000,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-11-03,43.7400016784668,43.9900016784668,40.38999938964844,40.83000183105469,40.83000183105469,15378700,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-11-04,39.5,40.15399932861328,35.619998931884766,35.630001068115234,35.630001068115234,17619200,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-11-05,38.220001220703125,39.3489990234375,37.209999084472656,37.90999984741211,37.90999984741211,14542400,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-11-06,37.2400016784668,37.40999984741211,32.31999969482422,32.459999084472656,32.459999084472656,23758800,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-11-07,29.649999618530273,30.5,26.764999389648438,30.34000015258789,30.34000015258789,42361300,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-11-10,32.060001373291016,32.09000015258789,27.559999465942383,28.43000030517578,28.43000030517578,31546000,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-11-11,28.0,28.1299991607666,26.399999618530273,26.739999771118164,26.739999771118164,20087500,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-11-12,27.049999237060547,27.780000686645508,25.59000015258789,25.959999084472656,25.959999084472656,20965100,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-11-13,25.56999969482422,25.56999969482422,22.770000457763672,23.149999618530273,23.149999618530273,27631900,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-11-14,21.93000030517578,23.450000762939453,21.559999465942383,22.450000762939453,22.450000762939453,26045200,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-11-17,22.299999237060547,22.549999237060547,20.559999465942383,21.059999465942383,21.059999465942383,24986200,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-11-18,21.149999618530273,22.3700008392334,20.700000762939453,21.540000915527344,21.540000915527344,23969000,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-11-19,22.09000015258789,22.149999618530273,20.440000534057617,21.1299991607666,21.1299991607666,23102800,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-11-20,22.6200008392334,22.690000534057617,18.579999923706055,18.700000762939453,18.700000762939453,31531900,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-11-21,19.020000457763672,19.020000457763672,16.958999633789062,18.600000381469727,18.600000381469727,24848500,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-11-24,19.0,19.979999542236328,18.440000534057617,19.940000534057617,19.940000534057617,22736500,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-11-25,19.780000686645508,19.780000686645508,18.200000762939453,18.729999542236328,18.729999542236328,21529500,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
2025-11-26,19.059999465942383,19.25,18.200000762939453,19.040000915527344,19.040000915527344,19868500,SMR,us,Yahoo chart,2026-05-26 16:01:41 KST
