date,market,symbol,open,high,low,close,volume,tradingValue,source,updatedAt
2010-02-16,us,SPY,108.86000061035156,109.8499984741211,107.81999969482422,109.73999786376953,159317500,,Yahoo Finance daily,2026-07-22T16:59:02
2010-02-17,us,SPY,110.2699966430664,110.41000366210938,109.73999786376953,110.26000213623047,168845100,,Yahoo Finance daily,2026-07-22T16:59:02
2010-02-18,us,SPY,110.08000183105469,111.13999938964844,110.04000091552734,110.91000366210938,193708600,,Yahoo Finance daily,2026-07-22T16:59:02
2010-02-19,us,SPY,110.62000274658203,111.56999969482422,110.36000061035156,111.13999938964844,222684900,,Yahoo Finance daily,2026-07-22T16:59:02
2010-02-22,us,SPY,111.55000305175781,111.58000183105469,110.83000183105469,111.16000366210938,132346900,,Yahoo Finance daily,2026-07-22T16:59:02
2010-02-23,us,SPY,110.86000061035156,111.19999694824219,109.5199966430664,109.80999755859375,207497000,,Yahoo Finance daily,2026-07-22T16:59:02
2010-02-24,us,SPY,110.13999938964844,111.0,109.86000061035156,110.81999969482422,176350700,,Yahoo Finance daily,2026-07-22T16:59:02
2010-02-25,us,SPY,109.23999786376953,110.75,108.94000244140625,110.66999816894531,259634700,,Yahoo Finance daily,2026-07-22T16:59:02
2010-02-26,us,SPY,110.7699966430664,111.12000274658203,110.11000061035156,110.73999786376953,173589300,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-01,us,SPY,111.19999694824219,112.0,111.16999816894531,111.88999938964844,147709700,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-02,us,SPY,112.37000274658203,112.73999786376953,112.0,112.19999694824219,160992400,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-03,us,SPY,112.48999786376953,112.97000122070312,112.0199966430664,112.30000305175781,150785000,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-04,us,SPY,112.44999694824219,112.80000305175781,112.02999877929688,112.63999938964844,135770400,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-05,us,SPY,113.37000274658203,114.33999633789062,113.0999984741211,114.25,176118800,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-08,us,SPY,114.26000213623047,114.5199966430664,114.06999969482422,114.2699966430664,114631200,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-09,us,SPY,113.93000030517578,114.98999786376953,113.87000274658203,114.45999908447266,154556700,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-10,us,SPY,114.51000213623047,115.27999877929688,114.41000366210938,114.97000122070312,186088800,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-11,us,SPY,114.69999694824219,115.4800033569336,114.3499984741211,115.44999694824219,160791100,,Yahoo Finance daily,2026-07-22T16:59:02
