date,market,symbol,open,high,low,close,volume,tradingvalue,source,updatedat
2010-02-16,us,VRTX,38.459999084472656,38.72999954223633,37.79999923706055,38.68000030517578,1017300,,Yahoo Finance daily,2026-07-22T16:59:02
2010-02-17,us,VRTX,38.79999923706055,39.97999954223633,38.7400016784668,39.77999877929688,1522300,,Yahoo Finance daily,2026-07-22T16:59:02
2010-02-18,us,VRTX,39.93000030517578,40.43000030517578,39.93000030517578,40.25,1282500,,Yahoo Finance daily,2026-07-22T16:59:02
2010-02-19,us,VRTX,40.22999954223633,40.720001220703125,40.22999954223633,40.70000076293945,982800,,Yahoo Finance daily,2026-07-22T16:59:02
2010-02-22,us,VRTX,40.720001220703125,40.7400016784668,39.630001068115234,39.91999816894531,1187100,,Yahoo Finance daily,2026-07-22T16:59:02
2010-02-23,us,VRTX,39.61000061035156,40.15999984741211,39.040000915527344,39.41999816894531,1637500,,Yahoo Finance daily,2026-07-22T16:59:02
2010-02-24,us,VRTX,39.70000076293945,40.5099983215332,39.70000076293945,40.36000061035156,1393700,,Yahoo Finance daily,2026-07-22T16:59:02
2010-02-25,us,VRTX,39.93000030517578,40.18999862670898,39.18000030517578,40.13999938964844,1107800,,Yahoo Finance daily,2026-07-22T16:59:02
2010-02-26,us,VRTX,40.18000030517578,40.619998931884766,39.5099983215332,40.540000915527344,1355700,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-01,us,VRTX,40.65999984741211,41.77999877929688,40.61000061035156,41.43000030517578,1164300,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-02,us,VRTX,41.83000183105469,42.02999877929688,41.27000045776367,41.84000015258789,1105100,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-03,us,VRTX,41.790000915527344,42.11000061035156,41.709999084472656,41.97999954223633,1367000,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-04,us,VRTX,42.0,42.08000183105469,41.25,41.59999847412109,875600,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-05,us,VRTX,41.619998931884766,41.86000061035156,41.38999938964844,41.52000045776367,940200,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-08,us,VRTX,41.33000183105469,41.54999923706055,41.2599983215332,41.400001525878906,687800,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-09,us,VRTX,41.18000030517578,42.18999862670898,41.16999816894531,42.08000183105469,1635900,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-10,us,VRTX,42.220001220703125,43.13999938964844,42.11000061035156,43.02000045776367,3012000,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-11,us,VRTX,42.88999938964844,43.11000061035156,42.400001525878906,43.0,1037900,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-12,us,VRTX,43.040000915527344,43.459999084472656,42.52000045776367,43.459999084472656,1188500,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-15,us,VRTX,43.38999938964844,43.72999954223633,42.75,43.2400016784668,1428600,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-16,us,VRTX,43.31999969482422,43.93999862670898,43.22999954223633,43.709999084472656,1513500,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-17,us,VRTX,43.63999938964844,43.90999984741211,42.38999938964844,42.400001525878906,2101700,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-18,us,VRTX,42.36000061035156,42.68000030517578,41.58000183105469,41.70000076293945,2066500,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-19,us,VRTX,42.09999847412109,42.720001220703125,41.90999984741211,42.720001220703125,3983700,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-22,us,VRTX,42.61000061035156,42.95000076293945,42.33000183105469,42.47999954223633,1139900,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-23,us,VRTX,42.33000183105469,42.459999084472656,42.02000045776367,42.18000030517578,1087100,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-24,us,VRTX,42.15999984741211,42.380001068115234,41.58000183105469,41.709999084472656,1413200,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-25,us,VRTX,42.040000915527344,42.119998931884766,41.540000915527344,41.54999923706055,1207800,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-26,us,VRTX,41.77999877929688,42.119998931884766,41.290000915527344,41.61000061035156,1210000,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-29,us,VRTX,41.72999954223633,41.93999862670898,40.970001220703125,41.15999984741211,1369300,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-30,us,VRTX,41.25,41.38999938964844,40.709999084472656,40.86000061035156,1535400,,Yahoo Finance daily,2026-07-22T16:59:02
2010-03-31,us,VRTX,40.88999938964844,41.66999816894531,40.83000183105469,40.869998931884766,1904900,,Yahoo Finance daily,2026-07-22T16:59:02
2010-04-01,us,VRTX,41.08000183105469,41.619998931884766,40.59999847412109,40.84999847412109,1778600,,Yahoo Finance daily,2026-07-22T16:59:02
2010-04-05,us,VRTX,40.86000061035156,41.04999923706055,40.52999877929688,40.650001525878906,1439200,,Yahoo Finance daily,2026-07-22T16:59:02
2010-04-06,us,VRTX,40.5099983215332,40.65999984741211,40.060001373291016,40.470001220703125,2434600,,Yahoo Finance daily,2026-07-22T16:59:02
2010-04-07,us,VRTX,40.310001373291016,41.45000076293945,40.119998931884766,40.4900016784668,2799900,,Yahoo Finance daily,2026-07-22T16:59:02
2010-04-08,us,VRTX,40.43000030517578,40.5,39.41999816894531,39.810001373291016,2224600,,Yahoo Finance daily,2026-07-22T16:59:02
2010-04-09,us,VRTX,40.0099983215332,40.0099983215332,39.220001220703125,39.68000030517578,1525000,,Yahoo Finance daily,2026-07-22T16:59:02
2010-04-12,us,VRTX,38.77000045776367,39.75,38.220001220703125,39.2599983215332,2763600,,Yahoo Finance daily,2026-07-22T16:59:02
2010-04-13,us,VRTX,39.2400016784668,40.16999816894531,38.93999862670898,40.0099983215332,2185200,,Yahoo Finance daily,2026-07-22T16:59:02
2010-04-14,us,VRTX,40.09000015258789,40.209999084472656,39.5099983215332,39.9900016784668,1292400,,Yahoo Finance daily,2026-07-22T16:59:02
2010-04-15,us,VRTX,39.7599983215332,40.220001220703125,39.22999954223633,39.65999984741211,1627100,,Yahoo Finance daily,2026-07-22T16:59:02
2010-04-16,us,VRTX,39.619998931884766,40.119998931884766,38.91999816894531,39.9900016784668,2677000,,Yahoo Finance daily,2026-07-22T16:59:02
2010-04-19,us,VRTX,40.0,40.2599983215332,39.65999984741211,40.040000915527344,2245500,,Yahoo Finance daily,2026-07-22T16:59:02
2010-04-20,us,VRTX,40.22999954223633,40.54999923706055,39.709999084472656,40.5,1603200,,Yahoo Finance daily,2026-07-22T16:59:02
2010-04-21,us,VRTX,40.369998931884766,40.470001220703125,39.09999847412109,39.34999847412109,1920000,,Yahoo Finance daily,2026-07-22T16:59:02
2010-04-22,us,VRTX,39.060001373291016,39.060001373291016,37.97999954223633,38.09000015258789,2325600,,Yahoo Finance daily,2026-07-22T16:59:02
2010-04-23,us,VRTX,38.41999816894531,38.810001373291016,37.869998931884766,38.75,1435800,,Yahoo Finance daily,2026-07-22T16:59:02
2010-04-26,us,VRTX,38.630001068115234,38.9900016784668,38.380001068115234,38.5,932000,,Yahoo Finance daily,2026-07-22T16:59:02
2010-04-27,us,VRTX,38.5,39.29999923706055,38.5,38.66999816894531,2351900,,Yahoo Finance daily,2026-07-22T16:59:02
2010-04-28,us,VRTX,38.77999877929688,38.9900016784668,38.36000061035156,38.540000915527344,1139900,,Yahoo Finance daily,2026-07-22T16:59:02
2010-04-29,us,VRTX,38.59999847412109,39.63999938964844,38.41999816894531,39.54999923706055,1247600,,Yahoo Finance daily,2026-07-22T16:59:02
2010-04-30,us,VRTX,39.060001373291016,39.83000183105469,38.68999862670898,38.77000045776367,1343800,,Yahoo Finance daily,2026-07-22T16:59:02
2010-05-03,us,VRTX,38.77000045776367,39.290000915527344,38.380001068115234,38.970001220703125,1208400,,Yahoo Finance daily,2026-07-22T16:59:02
