symbol,status,source,rows,first_date,last_date,path,elapsed_sec,error
NVDA,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_NVDA_daily.csv,0.61,
GOOGL,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_GOOGL_daily.csv,0.57,
TSLA,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_TSLA_daily.csv,0.57,
PLTR,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_PLTR_daily.csv,0.56,
INTC,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_INTC_daily.csv,0.59,
LITE,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_LITE_daily.csv,0.64,
SNDK,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_SNDK_daily.csv,0.55,
CAT,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_CAT_daily.csv,0.82,
CRCL,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_CRCL_daily.csv,0.54,
NBIS,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_NBIS_daily.csv,0.54,
RKLB,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_RKLB_daily.csv,0.62,
ASTS,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_ASTS_daily.csv,0.58,
IONQ,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_IONQ_daily.csv,0.57,
LUNR,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_LUNR_daily.csv,0.7,
OKLO,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_OKLO_daily.csv,0.57,
HUT,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_HUT_daily.csv,0.78,
IREN,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_IREN_daily.csv,0.6,
QQQ,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_QQQ_daily.csv,0.75,
SOXX,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_SOXX_daily.csv,0.61,
BTC-USD,OK,Yahoo chart,180,2025-11-28,2026-05-26,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_BTC-USD_daily.csv,0.62,
IWM,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_IWM_daily.csv,0.66,
AMD,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_AMD_daily.csv,0.7,
AVGO,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_AVGO_daily.csv,0.62,
MU,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_MU_daily.csv,0.64,
MRVL,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_MRVL_daily.csv,0.65,
ARM,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_ARM_daily.csv,0.64,
SMCI,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_SMCI_daily.csv,0.62,
ANET,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_ANET_daily.csv,0.61,
ALAB,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_ALAB_daily.csv,0.54,
CRDO,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_CRDO_daily.csv,0.57,
COHR,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_COHR_daily.csv,0.56,
MSFT,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_MSFT_daily.csv,0.61,
META,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_META_daily.csv,0.58,
AMZN,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_AMZN_daily.csv,0.56,
