symbol,market,recommendationDate,validationDate,winLossResult,failureType,failureReasonTags,chartSignalAtEntry,trendlineLearningStatus,supportResistanceStatus,newsEventTag,disclosureEventTag,earningsEventTag,macroEventTag,sectorEventTag,eventRiskScore,mdd,stopTouched,targetTouched,dataSourceType,eventDataSourceType,postmortemSummary,createdAt
RDDT,us,,2026-07-29,TIME_EXIT_NEAR_STOP,STOP_FIRST,none,,NO_DATA,not_used,,,,,,0.0,,False,False,HIGH,,RDDT STOP_FIRST | 결과=TIME_EXIT_NEAR_STOP 수익률=10.9479%,2026-07-29T06:10:19
AMD,us,,2026-07-29,TIME_EXIT_NEAR_STOP,STOP_FIRST,none,,NO_DATA,not_used,,,,,,0.0,,False,False,HIGH,,AMD STOP_FIRST | 결과=TIME_EXIT_NEAR_STOP 수익률=6.6234%,2026-07-29T06:10:18
HD,us,,2026-07-21,STOP_HIT,STOP_FIRST,none,,NO_DATA,not_used,,,,,,0.0,-7.617,True,False,MED,,HD STOP_FIRST | 결과=STOP_HIT 수익률=-7.6173%,2026-07-21T23:27:17
ABNB,us,,2026-07-23,STOP_HIT,STOP_FIRST,none,,NO_DATA,not_used,,,,,,0.0,-5.591,True,False,MED,,ABNB STOP_FIRST | 결과=STOP_HIT 수익률=-5.5907%,2026-07-23T23:29:05
003490,kr,,2026-07-29,STOP_HIT,STOP_FIRST,none,,NO_DATA,not_used,,,,,,0.0,-9.242,True,False,HIGH,,003490 STOP_FIRST | 결과=STOP_HIT 수익률=-9.2422%,2026-07-29T16:16:46
HOOD,us,,2026-07-29,STOP_HIT,STOP_FIRST,none,,NO_DATA,not_used,,,,,,0.0,-13.935,True,False,HIGH,,HOOD STOP_FIRST | 결과=STOP_HIT 수익률=-13.9348%,2026-07-29T06:10:19
ETN,us,,2026-07-30,STOP_HIT,STOP_FIRST,high_volatility_entry,,NO_DATA,not_used,,,,,,0.0,-9.76,True,False,HIGH,,ETN STOP_FIRST | 결과=STOP_HIT 수익률=-9.7603% | 원인태그=[high_volatility_entry],2026-07-30T16:17:07
360750,kr,,2026-07-29,STOP_HIT,STOP_FIRST,none,,NO_DATA,not_used,,,,,,0.0,-1.786,True,False,MED,,360750 STOP_FIRST | 결과=STOP_HIT 수익률=-1.7861%,2026-07-29T06:10:19
005930,kr,,2026-07-29,STOP_HIT,STOP_FIRST,none,,NO_DATA,not_used,,,,,,16.38,-3.26,True,False,HIGH,,005930 STOP_FIRST | 결과=STOP_HIT 수익률=-3.2599%,2026-07-29T06:10:20
298040,kr,,2026-07-29,STOP_HIT,STOP_FIRST,none,,NO_DATA,not_used,,,,,,0.0,-13.653,True,False,HIGH,,298040 STOP_FIRST | 결과=STOP_HIT 수익률=-13.653%,2026-07-29T06:10:19
000810,kr,,2026-07-29,STOP_HIT,STOP_FIRST,none,,NO_DATA,not_used,,,,,,0.0,-11.8,True,False,HIGH,,000810 STOP_FIRST | 결과=STOP_HIT 수익률=-11.8%,2026-07-29T16:16:46
034730,kr,,2026-07-29,STOP_HIT,STOP_FIRST,none,,NO_DATA,not_used,,,,,,0.0,-9.871,True,False,HIGH,,034730 STOP_FIRST | 결과=STOP_HIT 수익률=-9.8707%,2026-07-29T06:10:19
086790,kr,,2026-07-29,STOP_HIT,STOP_FIRST,none,,NO_DATA,not_used,,,,,,0.0,-11.616,True,False,HIGH,,086790 STOP_FIRST | 결과=STOP_HIT 수익률=-11.6157%,2026-07-29T06:10:15
010120,kr,,2026-07-29,STOP_HIT,STOP_FIRST,none,,NO_DATA,not_used,,,,,,0.0,-8.277,True,False,HIGH,,010120 STOP_FIRST | 결과=STOP_HIT 수익률=-8.277%,2026-07-29T06:10:15
051910,kr,,2026-07-29,STOP_HIT,STOP_FIRST,none,,NO_DATA,not_used,,,,,,0.0,-10.681,True,False,HIGH,,051910 STOP_FIRST | 결과=STOP_HIT 수익률=-10.6812%,2026-07-29T06:10:16
