symbol,name,name_kr,sector,source,note
005930.KS,Samsung Electronics,삼성전자,Semiconductor,기본후보군,
000660.KS,SK Hynix,SK하이닉스,Semiconductor,기본후보군,
003490.KS,Korean Air,대한항공,Airline,기본후보군,
373220.KS,LG Energy Solution,LG에너지솔루션,Battery/EV,기본후보군,
375500.KS,DL E&C,DL이앤씨,Construction,기본후보군,
047810.KS,Korea Aerospace,한국항공우주,Defense/Aerospace,기본후보군,
015760.KS,KEPCO,한국전력,Power/Utility,기본후보군,
005380.KS,Hyundai Motor,현대차,Battery/EV,기본후보군,
009540.KS,HD Korea Shipbuilding,HD한국조선해양,Shipbuilding,기본후보군,
012450.KS,Hanwha Aerospace,한화에어로스페이스,Defense/Aerospace,기본후보군,
079550.KS,LIG Nex1,LIG넥스원,Defense/Aerospace,기본후보군,
010140.KS,Samsung Heavy,삼성중공업,Shipbuilding,기본후보군,
329180.KS,HD Hyundai Heavy,HD현대중공업,Shipbuilding,기본후보군,
006260.KS,LS,LS,Power/Utility,기본후보군,
000720.KS,Hyundai E&C,현대건설,Construction,기본후보군,
042700.KS,Hanmi Semiconductor,한미반도체,Semiconductor,기본후보군,
058470.KS,LEENO Industrial,리노공업,Semiconductor,기본후보군,
039030.KQ,EO Technics,이오테크닉스,Semiconductor,기본후보군,
036930.KQ,JUSUNG Engineering,주성엔지니어링,Semiconductor,기본후보군,
240810.KQ,Wonik IPS,원익IPS,Semiconductor,기본후보군,
108320.KQ,LX Semicon,LX세미콘,Semiconductor,기본후보군,
214150.KQ,CLASSYS,클래시스,Semiconductor,기본후보군,
064760.KQ,TOKAI Carbon Korea,티씨케이,Semiconductor,기본후보군,
084370.KQ,YMT,유진테크,Semiconductor,기본후보군,
095340.KQ,ISC,ISC,Semiconductor,기본후보군,
064350.KS,Hyundai Rotem,현대로템,Defense/Aerospace,기본후보군,
272210.KS,Hanwha Systems,한화시스템,Defense/Aerospace,기본후보군,
011210.KS,Hyundai Wia,현대위아,Defense/Aerospace,기본후보군,
103140.KS,Poongsan,풍산,Defense/Aerospace,기본후보군,
010060.KS,OCI Holdings,OCI홀딩스,Shipbuilding,기본후보군,
042660.KS,Hanwha Ocean,한화오션,Shipbuilding,기본후보군,
071970.KS,STX Heavy Industries,STX중공업,Shipbuilding,기본후보군,
082740.KS,Hanwha Engine,한화엔진,Shipbuilding,기본후보군,
020560.KS,Asiana Airlines,아시아나항공,Airline,기본후보군,
089590.KS,Jeju Air,제주항공,Airline,기본후보군,
091810.KS,T'way Air,티웨이항공,Airline,기본후보군,
051910.KS,LG Chem,LG화학,Battery/EV,기본후보군,
006400.KS,Samsung SDI,삼성SDI,Battery/EV,기본후보군,
247540.KQ,EcoPro BM,에코프로비엠,Battery/EV,기본후보군,
086520.KQ,EcoPro,에코프로,Battery/EV,기본후보군,
003670.KS,POSCO Future M,포스코퓨처엠,Battery/EV,기본후보군,
096770.KS,SK Innovation,SK이노베이션,Battery/EV,기본후보군,
000270.KS,Kia,기아,Battery/EV,기본후보군,
012330.KS,Hyundai Mobis,현대모비스,Battery/EV,기본후보군,
267260.KS,HD Hyundai Electric,HD현대일렉트릭,Power/Utility,기본후보군,
010120.KS,LS Electric,LS ELECTRIC,Power/Utility,기본후보군,
103590.KS,Iljin Electric,일진전기,Power/Utility,기본후보군,
298040.KS,Hyosung Heavy Industries,효성중공업,Power/Utility,기본후보군,
017960.KS,Hankuk Carbon,한국카본,Power/Utility,기본후보군,
006360.KS,GS Engineering & Construction,GS건설,Construction,기본후보군,
047040.KS,Daewoo E&C,대우건설,Construction,기본후보군,
028050.KS,Samsung E&A,삼성E&A,Construction,기본후보군,
294870.KS,HDC Hyundai Development,HDC현대산업개발,Construction,기본후보군,
028670.KS,Pan Ocean,팬오션,Airline,기본후보군,
