ticker,cik,market,company_name,form_type,filing_date,filed_at,accession_no,title,filing_url,risk_label,risk_keywords,sec_risk_level,judgment,source,checked_at,updated_at,status
SNDK,0002023554,미국주식,Sandisk Corp,8-K,2026-05-14T20:10:29-04:00,2026-05-14T20:10:29-04:00,0001193125-26-224694,Form 8-K - Current report - Item 8.01 Item 9.01,https://www.sec.gov/Archives/edgar/data/2023554/000119312526224694/d157363d8k.htm,낮음,,낮음,공시 위험 키워드 제한,sec-api.io,2026-05-16 23:08:07,2026-05-16 23:08:07,OK
SNDK,0002023554,미국주식,Sandisk Corp,10-Q,2026-05-01T16:56:23-04:00,2026-05-01T16:56:23-04:00,0001628280-26-029401,Form 10-Q - Quarterly report [Sections 13 or 15(d)],https://www.sec.gov/Archives/edgar/data/2023554/000162828026029401/sndk-20260403.htm,낮음,,낮음,공시 위험 키워드 제한,sec-api.io,2026-05-16 23:08:07,2026-05-16 23:08:07,OK
SNDK,0002023554,미국주식,Sandisk Corp,8-K,2026-04-30T16:07:41-04:00,2026-04-30T16:07:41-04:00,0001628280-26-028879,Form 8-K - Current report - Item 2.02 Item 8.01 Item 9.01,https://www.sec.gov/Archives/edgar/data/2023554/000162828026028879/sndk-20260430.htm,낮음,,낮음,공시 위험 키워드 제한,sec-api.io,2026-05-16 23:08:07,2026-05-16 23:08:07,OK
CRCL,0001876042,미국주식,"Circle Internet Group, Inc.",10-Q,2026-05-11T09:16:55-04:00,2026-05-11T09:16:55-04:00,0001876042-26-000150,Form 10-Q - Quarterly report [Sections 13 or 15(d)],https://www.sec.gov/Archives/edgar/data/1876042/000187604226000150/crcl-20260331.htm,낮음,,낮음,공시 위험 키워드 제한,sec-api.io,2026-05-16 23:08:09,2026-05-16 23:08:09,OK
CRCL,0001876042,미국주식,"Circle Internet Group, Inc.",8-K,2026-05-11T06:27:16-04:00,2026-05-11T06:27:16-04:00,0001876042-26-000148,Form 8-K - Current report - Item 2.02 Item 8.01 Item 9.01,https://www.sec.gov/Archives/edgar/data/1876042/000187604226000148/crcl-20260511.htm,낮음,,낮음,공시 위험 키워드 제한,sec-api.io,2026-05-16 23:08:09,2026-05-16 23:08:09,OK
BMNR,0001829311,미국주식,"BITMINE IMMERSION TECHNOLOGIES, INC.",8-K,2026-05-11T08:46:07-04:00,2026-05-11T08:46:07-04:00,0001493152-26-022150,Form 8-K - Current report - Item 7.01 Item 9.01,https://www.sec.gov/Archives/edgar/data/1829311/000149315226022150/form8-k.htm,낮음,,낮음,공시 위험 키워드 제한,sec-api.io,2026-05-16 23:08:10,2026-05-16 23:08:10,OK
BMNR,0001829311,미국주식,"BITMINE IMMERSION TECHNOLOGIES, INC.",8-K,2026-05-04T08:45:43-04:00,2026-05-04T08:45:43-04:00,0001493152-26-021027,Form 8-K - Current report - Item 7.01 Item 9.01,https://www.sec.gov/Archives/edgar/data/1829311/000149315226021027/form8-k.htm,낮음,,낮음,공시 위험 키워드 제한,sec-api.io,2026-05-16 23:08:10,2026-05-16 23:08:10,OK
BMNR,0001829311,미국주식,"BITMINE IMMERSION TECHNOLOGIES, INC.",8-K,2026-05-01T16:30:21-04:00,2026-05-01T16:30:21-04:00,0001493152-26-020901,Form 8-K - Current report - Item 4.01 Item 9.01,https://www.sec.gov/Archives/edgar/data/1829311/000149315226020901/form8-k.htm,낮음,,낮음,공시 위험 키워드 제한,sec-api.io,2026-05-16 23:08:10,2026-05-16 23:08:10,OK
BMNR,0001829311,미국주식,"BITMINE IMMERSION TECHNOLOGIES, INC.",8-K,2026-04-27T08:45:19-04:00,2026-04-27T08:45:19-04:00,0001493152-26-019080,Form 8-K - Current report - Item 7.01 Item 9.01,https://www.sec.gov/Archives/edgar/data/1829311/000149315226019080/form8-k.htm,낮음,,낮음,공시 위험 키워드 제한,sec-api.io,2026-05-16 23:08:10,2026-05-16 23:08:10,OK
BMNR,0001829311,미국주식,"BITMINE IMMERSION TECHNOLOGIES, INC.",8-K,2026-04-20T08:45:17-04:00,2026-04-20T08:45:17-04:00,0001493152-26-018015,Form 8-K - Current report - Item 7.01 Item 9.01,https://www.sec.gov/Archives/edgar/data/1829311/000149315226018015/form8-k.htm,낮음,,낮음,공시 위험 키워드 제한,sec-api.io,2026-05-16 23:08:10,2026-05-16 23:08:10,OK
NVDA,0001045810,미국주식,NVIDIA CORP,8-K,2026-05-08T16:35:07-04:00,2026-05-08T16:35:07-04:00,0001045810-26-000028,Form 8-K - Current report - Item 5.02,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000028/nvda-20260507.htm,낮음,,낮음,공시 위험 키워드 제한,sec-api.io,2026-05-16 23:08:10,2026-05-16 23:08:10,OK
NVDA,0001045810,미국주식,NVIDIA CORP,8-K,2026-04-27T16:10:30-04:00,2026-04-27T16:10:30-04:00,0001045810-26-000026,Form 8-K - Current report - Item 5.02,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000026/nvda-20260424.htm,낮음,,낮음,공시 위험 키워드 제한,sec-api.io,2026-05-16 23:08:10,2026-05-16 23:08:10,OK
TSLA,0001318605,미국주식,"Tesla, Inc.",10-K/A,2026-04-30T17:13:17-04:00,2026-04-30T17:13:17-04:00,0001104659-26-053166,"Form 10-K/A - Annual report [Section 13 and 15(d), not S-K Item 405]: [Amend]",https://www.sec.gov/Archives/edgar/data/1318605/000110465926053166/tm2611837d1_10ka.htm,낮음,,낮음,공시 위험 키워드 제한,sec-api.io,2026-05-16 23:08:12,2026-05-16 23:08:12,OK
TSLA,0001318605,미국주식,"Tesla, Inc.",10-Q,2026-04-22T21:43:00-04:00,2026-04-22T21:43:00-04:00,0001628280-26-026673,Form 10-Q - Quarterly report [Sections 13 or 15(d)],https://www.sec.gov/Archives/edgar/data/1318605/000162828026026673/tsla-20260331.htm,낮음,,낮음,공시 위험 키워드 제한,sec-api.io,2026-05-16 23:08:12,2026-05-16 23:08:12,OK
TSLA,0001318605,미국주식,"Tesla, Inc.",8-K,2026-04-22T16:10:44-04:00,2026-04-22T16:10:44-04:00,0001628280-26-026551,Form 8-K - Current report - Item 2.02 Item 9.01,https://www.sec.gov/Archives/edgar/data/1318605/000162828026026551/tsla-20260422.htm,낮음,,낮음,공시 위험 키워드 제한,sec-api.io,2026-05-16 23:08:12,2026-05-16 23:08:12,OK
PLTR,0001321655,미국주식,Palantir Technologies Inc.,10-Q,2026-05-04T17:59:38-04:00,2026-05-04T17:59:38-04:00,0001321655-26-000028,Form 10-Q - Quarterly report [Sections 13 or 15(d)],https://www.sec.gov/Archives/edgar/data/1321655/000132165526000028/pltr-20260331.htm,낮음,,낮음,공시 위험 키워드 제한,sec-api.io,2026-05-16 23:08:13,2026-05-16 23:08:13,OK
