symbol,name,market,sector,industry,updatedAt
AAOI,AAOI,us,Technology,Communication Equipment,2026-06-08 08:53:39
AAPL,AAPL,us,Technology,Consumer Electronics,2026-06-08 08:53:39
ACHR,ACHR,us,Industrials,Aerospace & Defense,2026-06-08 08:53:39
AI,AI,us,Technology,Software - Infrastructure,2026-06-08 08:53:39
ALAB,ALAB,us,Technology,Semiconductors,2026-06-08 08:53:39
AMAT,AMAT,us,Technology,Semiconductor Equipment & Materials,2026-06-08 08:53:39
AMD,AMD,us,Technology,Semiconductors,2026-06-08 08:53:39
AMZN,AMZN,us,Consumer Cyclical,Internet Retail,2026-06-08 08:53:39
ANET,ANET,us,Technology,Computer Hardware,2026-06-08 08:53:39
APP,APP,us,Communication Services,Advertising Agencies,2026-06-08 08:53:39
ARM,ARM,us,Technology,Semiconductors,2026-06-08 08:53:39
ASML,ASML,us,Technology,Semiconductor Equipment & Materials,2026-06-08 08:53:39
ASTS,ASTS,us,Technology,Communication Equipment,2026-06-08 08:53:39
AVAV,AVAV,us,Industrials,Aerospace & Defense,2026-06-08 08:53:39
AVGO,AVGO,us,Technology,Semiconductors,2026-06-08 08:53:39
BBAI,BBAI,us,Technology,Information Technology Services,2026-06-08 08:53:39
BMNR,BMNR,us,Financial Services,Capital Markets,2026-06-08 08:53:39
BTC-USD,BTC-USD,us,Unknown,,2026-06-08 08:53:39
CAT,CAT,us,Industrials,Farm & Heavy Construction Machinery,2026-06-08 08:53:39
CAVA,CAVA,us,Consumer Cyclical,Restaurants,2026-06-08 08:53:39
CEG,CEG,us,Utilities,Utilities - Independent Power Producers,2026-06-08 08:53:39
CELH,CELH,us,Consumer Defensive,Beverages - Non-Alcoholic,2026-06-08 08:53:39
COHR,COHR,us,Technology,Scientific & Technical Instruments,2026-06-08 08:53:39
COIN,COIN,us,Financial Services,Financial Data & Stock Exchanges,2026-06-08 08:53:39
COST,COST,us,Consumer Defensive,Discount Stores,2026-06-08 08:53:39
CRCL,CRCL,us,Financial Services,Capital Markets,2026-06-08 08:53:39
CRDO,CRDO,us,Technology,Semiconductors,2026-06-08 08:53:39
CRM,CRM,us,Technology,Software - Application,2026-06-08 08:53:39
CRWD,CRWD,us,Technology,Software - Infrastructure,2026-06-08 08:53:39
DDOG,DDOG,us,Technology,Software - Application,2026-06-08 08:53:39
DELL,DELL,us,Technology,Computer Hardware,2026-06-08 08:53:39
DRAM,DRAM,us,Unknown,,2026-06-08 08:53:39
DUOL,DUOL,us,Technology,Software - Application,2026-06-08 08:53:39
ELF,ELF,us,Consumer Defensive,Household & Personal Products,2026-06-08 08:53:39
ESTC,ESTC,us,Technology,Software - Application,2026-06-08 08:53:39
ETN,ETN,us,Industrials,Specialty Industrial Machinery,2026-06-08 08:53:39
GE,GE,us,Industrials,Aerospace & Defense,2026-06-08 08:53:39
GLD,GLD,us,Unknown,,2026-06-08 08:53:39
GOOGL,GOOGL,us,Communication Services,Internet Content & Information,2026-06-08 08:53:39
HIMS,HIMS,us,Healthcare,Drug Manufacturers - Specialty & Generic,2026-06-08 08:53:39
HOOD,HOOD,us,Financial Services,Capital Markets,2026-06-08 08:53:39
HPE,HPE,us,Technology,Communication Equipment,2026-06-08 08:53:39
HUT,HUT,us,Financial Services,Capital Markets,2026-06-08 08:53:39
IBIT,IBIT,us,Unknown,,2026-06-08 08:53:39
INTC,INTC,us,Technology,Semiconductors,2026-06-08 08:53:39
IONQ,IONQ,us,Technology,Computer Hardware,2026-06-08 08:53:39
IREN,IREN,us,Financial Services,Capital Markets,2026-06-08 08:53:39
ISRG,ISRG,us,Healthcare,Medical Instruments & Supplies,2026-06-08 08:53:39
IWM,IWM,us,Unknown,,2026-06-08 08:53:39
JOBY,JOBY,us,Industrials,Airports & Air Services,2026-06-08 08:53:39
KLAC,KLAC,us,Technology,Semiconductor Equipment & Materials,2026-06-08 08:53:39
KTOS,KTOS,us,Industrials,Aerospace & Defense,2026-06-08 08:53:39
LITE,LITE,us,Technology,Communication Equipment,2026-06-08 08:53:39
LLY,LLY,us,Healthcare,Drug Manufacturers - General,2026-06-08 08:53:39
LRCX,LRCX,us,Technology,Semiconductor Equipment & Materials,2026-06-08 08:53:39
LUNR,LUNR,us,Industrials,Aerospace & Defense,2026-06-08 08:53:39
MARA,MARA,us,Financial Services,Capital Markets,2026-06-08 08:53:39
MDB,MDB,us,Technology,Software - Infrastructure,2026-06-08 08:53:39
MELI,MELI,us,Consumer Cyclical,Internet Retail,2026-06-08 08:53:39
META,META,us,Communication Services,Internet Content & Information,2026-06-08 08:53:39
