id,market,symbol,name,mode,horizon,entry,stop,target,ev,probability,score,decision_bucket,sector,recorded_at,recorded_date
591f1242-bb9,us,TSLA,Tesla,aggressive,mid,415.57,399.512992,473.77012,5.97,57.0,61.7,오늘 진입,,2026-06-06T17:49:43.503462,2026-06-06
e878393e-2f0,us,TSLA,Tesla,aggressive,swing,415.57,403.4056,459.66100000000006,4.09,48.9,54.7,오늘 진입,,2026-06-06T17:49:43.539581,2026-06-06
e46f5ef4-dc3,us,META,Meta Platforms,aggressive,mid,603.41,591.477728,632.1536600000001,1.88,52.2,69.2,오늘 진입,,2026-06-06T17:49:43.540975,2026-06-06
481b4177-e3d,us,AMZN,Amazon,aggressive,swing,269.4622,265.06554618594686,281.4152226617542,1.47,49.7,52.4,오늘 진입,,2026-06-06T17:49:43.628832,2026-06-06
bb1bbf8d-5fa,us,META,Meta Platforms,aggressive,swing,603.41,594.3704,625.1854999999999,1.27,54.1,63.2,오늘 진입,,2026-06-06T17:49:43.630067,2026-06-06
281eb48d-d24,kr,138040,메리츠금융지주,conservative,mid,107300.0,100976.03839999999,126743.99600000001,9.25,80.0,88.6,오늘 진입,Bank/Finance,2026-06-06T19:52:16.386265,2026-06-06
f6551ad9-774,kr,003550,LG,aggressive,swing,122900.0,111013.36,150939.5,8.51,77.2,69.5,오늘 진입,Holding,2026-06-06T19:52:16.411201,2026-06-06
427fd894-9b7,kr,003550,LG,aggressive,mid,122900.0,100778.00000000001,165915.0,12.87,80.0,72.5,오늘 진입,Holding,2026-06-06T19:52:16.424207,2026-06-06
56d3982c-05d,kr,010950,S-Oil,conservative,mid,112800.0,104734.9056,133240.6488,9.22,80.0,94.2,오늘 진입,Oil/Chemical,2026-06-06T19:52:16.424207,2026-06-06
8e6c5273-7f8,kr,017670,SK텔레콤,aggressive,swing,106400.0,96109.24,130675.7,8.31,74.5,67.3,오늘 진입,Telecom,2026-06-06T19:52:16.568142,2026-06-06
8674202a-088,kr,086790,하나금융지주,conservative,mid,123600.0,116013.9072,145997.9184,8.45,80.0,78.8,오늘 진입,Bank/Finance,2026-06-06T19:52:16.569145,2026-06-06
acf34b5f-f10,kr,000660,SK하이닉스,conservative,swing,0.0,0.0,0.0,17.6,0.0,75.0,오늘 진입,Semiconductor,2026-06-12T18:02:33.861618,2026-06-12
225f1286-021,kr,005930,삼성전자,conservative,swing,0.0,0.0,0.0,16.45,0.0,74.9,오늘 진입,Semiconductor,2026-06-12T18:02:34.026070,2026-06-12
3c126aaa-176,kr,000660,SK하이닉스,aggressive,swing,0.0,0.0,0.0,15.89,0.0,66.8,오늘 진입,Semiconductor,2026-06-12T18:02:34.215028,2026-06-12
ed9b2555-ddd,kr,000660,SK하이닉스,balanced,swing,0.0,0.0,0.0,16.32,0.0,66.2,오늘 진입,Semiconductor,2026-06-12T18:02:34.219150,2026-06-12
4fc6670a-566,kr,005930,삼성전자,aggressive,swing,0.0,0.0,0.0,14.51,0.0,64.2,오늘 진입,Semiconductor,2026-06-12T18:02:34.368487,2026-06-12
057a07ad-d4c,kr,005930,삼성전자,balanced,swing,0.0,0.0,0.0,15.07,0.0,64.7,오늘 진입,Semiconductor,2026-06-12T18:02:34.425330,2026-06-12
ed060e82-6cb,us,HOOD,Robinhood,conservative,swing,0.0,0.0,0.0,16.5,0.0,74.9,오늘 진입,,2026-06-12T20:08:13.272548,2026-06-12
b7a67df9-016,us,HOOD,Robinhood,balanced,swing,0.0,0.0,0.0,15.92,0.0,70.6,오늘 진입,,2026-06-12T20:08:13.328793,2026-06-12
d6eba567-108,us,HOOD,Robinhood,aggressive,swing,0.0,0.0,0.0,15.6,0.0,71.8,오늘 진입,,2026-06-12T20:08:13.418153,2026-06-12
6cbfc039-2ca,us,HOOD,Robinhood,aggressive,mid,0.0,0.0,0.0,12.95,0.0,78.8,오늘 진입,,2026-06-12T20:08:13.419164,2026-06-12
cf3530be-591,us,TSM,TSMC,conservative,mid,0.0,0.0,0.0,12.09,0.0,84.3,오늘 진입,,2026-06-12T20:08:13.420161,2026-06-12
82e24510-7eb,us,HOOD,Robinhood,balanced,mid,0.0,0.0,0.0,9.74,0.0,77.6,오늘 진입,,2026-06-12T20:08:13.477604,2026-06-12
ab7cf314-73d,kr,105560,KB금융,conservative,mid,0.0,0.0,0.0,18.05,0.0,82.2,오늘 진입,Bank/Finance,2026-06-21T21:45:21.737945,2026-06-21
1a758196-861,kr,010120,LS ELECTRIC,balanced,swing,0.0,0.0,0.0,17.47,0.0,65.2,오늘 진입,Power/Utility,2026-06-21T21:45:21.759204,2026-06-21
7d9915ce-de7,kr,055550,신한지주,conservative,mid,0.0,0.0,0.0,16.77,0.0,80.0,오늘 진입,Bank/Finance,2026-06-21T21:45:21.857627,2026-06-21
1829962d-f40,kr,329180,HD현대중공업,conservative,mid,0.0,0.0,0.0,16.2,0.0,76.7,오늘 진입,Shipbuilding,2026-06-21T21:45:21.869667,2026-06-21
b6d7a890-c3b,kr,105560,KB금융,conservative,swing,0.0,0.0,0.0,13.65,0.0,75.2,오늘 진입,Bank/Finance,2026-06-21T21:46:33.477795,2026-06-21
71ddff23-6f8,kr,011200,HMM,conservative,mid,0.0,0.0,0.0,14.44,0.0,82.9,오늘 진입,Shipping/Logistics,2026-06-21T21:46:33.483785,2026-06-21
ac649ed1-65e,kr,003490,대한항공,conservative,mid,0.0,0.0,0.0,13.57,0.0,75.9,오늘 진입,Defense/Aerospace,2026-06-21T22:11:57.659495,2026-06-21
0852ef44-1e8,kr,010120,LS ELECTRIC,balanced,swing,0.0,0.0,0.0,18.6,0.0,66.7,오늘 진입,Power/Utility,2026-06-22T15:15:55.825628,2026-06-22
a16249c0-636,kr,329180,HD현대중공업,conservative,mid,0.0,0.0,0.0,16.44,0.0,76.7,오늘 진입,Shipbuilding,2026-06-22T15:15:55.876073,2026-06-22
8c5ba687-b16,kr,105560,KB금융,conservative,mid,0.0,0.0,0.0,18.31,0.0,82.2,오늘 진입,Bank/Finance,2026-06-22T15:15:55.876073,2026-06-22
807f82f8-478,kr,105560,KB금융,conservative,swing,0.0,0.0,0.0,13.86,0.0,75.2,오늘 진입,Bank/Finance,2026-06-22T15:15:55.877073,2026-06-22
d71598c3-6f8,kr,003490,대한항공,conservative,mid,0.0,0.0,0.0,13.77,0.0,75.9,오늘 진입,Defense/Aerospace,2026-06-22T15:15:55.877073,2026-06-22
14ae4d6d-ecb,kr,011200,HMM,conservative,mid,0.0,0.0,0.0,14.64,0.0,82.9,오늘 진입,Shipping/Logistics,2026-06-22T15:15:55.879799,2026-06-22
7554251d-cd6,us,AI,C3.ai,conservative,mid,0.0,0.0,0.0,23.9,0.0,83.0,오늘 진입,,2026-06-22T23:27:31.840693,2026-06-22
26597ecd-2b3,us,COHR,Coherent,conservative,short,0.0,0.0,0.0,10.57,0.0,76.2,오늘 진입,,2026-06-22T23:27:31.842874,2026-06-22
05570bbd-d7f,us,AI,C3.ai,conservative,swing,0.0,0.0,0.0,16.04,0.0,76.0,오늘 진입,,2026-06-22T23:27:31.849774,2026-06-22
0ac63639-932,us,MARA,MARA Holdings,balanced,short,0.0,0.0,0.0,10.33,0.0,65.7,오늘 진입,,2026-06-22T23:27:31.852205,2026-06-22
c7259ebe-5b5,us,COHR,Coherent,balanced,short,0.0,0.0,0.0,9.74,0.0,67.5,오늘 진입,,2026-06-22T23:27:31.960300,2026-06-22
b2fe0eff-f30,us,COHR,Coherent,aggressive,short,0.0,0.0,0.0,9.45,0.0,68.7,오늘 진입,,2026-06-22T23:27:32.012337,2026-06-22
212949a2-25a,us,HPE,HPE,balanced,short,0.0,0.0,0.0,7.33,0.0,65.7,오늘 진입,,2026-06-22T23:55:59.000780,2026-06-22
ae14be17-f24,us,HUT,Hut 8,balanced,short,0.0,0.0,0.0,8.41,0.0,69.3,오늘 진입,,2026-06-22T23:55:59.003781,2026-06-22
720c476a-c15,us,HUT,Hut 8,aggressive,short,0.0,0.0,0.0,8.35,0.0,72.7,오늘 진입,,2026-06-22T23:55:59.004909,2026-06-22
f28f2c34-31a,us,V,Visa,conservative,mid,0.0,0.0,0.0,6.5,0.0,84.9,오늘 진입,,2026-06-22T23:55:59.013388,2026-06-22
35e74183-986,us,ABBV,ABBV,conservative,mid,0.0,0.0,0.0,7.18,0.0,84.5,오늘 진입,,2026-06-22T23:55:59.016574,2026-06-22
c38e35ef-d0a,us,UBER,UBER,conservative,mid,0.0,0.0,0.0,8.4,0.0,84.0,오늘 진입,,2026-06-22T23:55:59.016574,2026-06-22
