code,symbol,name_kr,name,market_type,sector,source,note
000020,000020.KS,동화약품,동화약품,코스피,Bio/Healthcare,KIS종목정보,전체종목마스터
000040,000040.KS,KR모터스,KR모터스,코스피,Materials/Parts,KIS종목정보,전체종목마스터
000050,000050.KS,경방,경방,코스피,미분류,KIS종목정보,전체종목마스터
000070,000070.KS,삼양홀딩스,삼양홀딩스,코스피,Holding,KIS종목정보,전체종목마스터
000080,000080.KS,하이트진로,하이트진로,코스피,Food/Beverage,KIS종목정보,전체종목마스터
000087,000087.KS,하이트진로2우B,하이트진로2우B,코스피,Food/Beverage,KIS종목정보,전체종목마스터
000100,000100.KS,유한양행,유한양행,코스피,Bio/Healthcare,KIS종목정보,전체종목마스터
000105,000105.KS,유한양행우,유한양행우,코스피,Bio/Healthcare,KIS종목정보,전체종목마스터
000120,000120.KS,CJ대한통운,CJ대한통운,코스피,Shipping/Logistics,KIS종목정보,전체종목마스터
000140,000140.KS,하이트진로홀딩스,하이트진로홀딩스,코스피,Food/Beverage,KIS종목정보,전체종목마스터
000145,000145.KS,하이트진로홀딩스우,하이트진로홀딩스우,코스피,Food/Beverage,KIS종목정보,전체종목마스터
000150,000150.KS,두산,두산,코스피,Machinery/Equipment,KIS종목정보,전체종목마스터
000155,000155.KS,두산우,두산우,코스피,Machinery/Equipment,KIS종목정보,전체종목마스터
000157,000157.KS,두산2우B,두산2우B,코스피,Machinery/Equipment,KIS종목정보,전체종목마스터
000180,000180.KS,성창기업지주,성창기업지주,코스피,Holding,KIS종목정보,전체종목마스터
000210,000210.KS,DL,DL,코스피,Holding,KIS종목정보,전체종목마스터
000215,000215.KS,DL우,DL우,코스피,미분류,KIS종목정보,전체종목마스터
000220,000220.KS,유유제약,유유제약,코스피,Bio/Healthcare,KIS종목정보,전체종목마스터
000225,000225.KS,유유제약1우,유유제약1우,코스피,Bio/Healthcare,KIS종목정보,전체종목마스터
000227,000227.KS,유유제약2우B,유유제약2우B,코스피,Bio/Healthcare,KIS종목정보,전체종목마스터
000230,000230.KS,일동홀딩스,일동홀딩스,코스피,Holding,KIS종목정보,전체종목마스터
000240,000240.KS,한국앤컴퍼니,한국앤컴퍼니,코스피,Holding,KIS종목정보,전체종목마스터
000270,000270.KS,기아,기아,코스피,Auto,KIS종목정보,전체종목마스터
000300,000300.KS,DH오토넥스,DH오토넥스,코스피,Retail,KIS종목정보,전체종목마스터
000320,000320.KS,노루홀딩스,노루홀딩스,코스피,Holding,KIS종목정보,전체종목마스터
000325,000325.KS,노루홀딩스우,노루홀딩스우,코스피,Holding,KIS종목정보,전체종목마스터
000370,000370.KS,한화손해보험,한화손해보험,코스피,Insurance,KIS종목정보,전체종목마스터
000390,000390.KS,SP삼화,SP삼화,코스피,미분류,KIS종목정보,전체종목마스터
000400,000400.KS,롯데손해보험,롯데손해보험,코스피,Insurance,KIS종목정보,전체종목마스터
000430,000430.KS,대원강업,대원강업,코스피,미분류,KIS종목정보,전체종목마스터
000480,000480.KS,CR홀딩스,CR홀딩스,코스피,Holding,KIS종목정보,전체종목마스터
000490,000490.KS,대동,대동,코스피,Machinery/Equipment,KIS종목정보,전체종목마스터
000500,000500.KS,가온전선,가온전선,코스피,Power/Utility,KIS종목정보,전체종목마스터
000520,000520.KS,삼일제약,삼일제약,코스피,Bio/Healthcare,KIS종목정보,전체종목마스터
000540,000540.KS,흥국화재,흥국화재,코스피,Insurance,KIS종목정보,전체종목마스터
000545,000545.KS,흥국화재우,흥국화재우,코스피,Insurance,KIS종목정보,전체종목마스터
000590,000590.KS,CS홀딩스,CS홀딩스,코스피,Holding,KIS종목정보,전체종목마스터
000640,000640.KS,동아쏘시오홀딩스,동아쏘시오홀딩스,코스피,Holding,KIS종목정보,전체종목마스터
000650,000650.KS,천일고속,천일고속,코스피,미분류,KIS종목정보,전체종목마스터
000660,000660.KS,SK하이닉스,SK하이닉스,코스피,Semiconductor,KIS종목정보,전체종목마스터
000670,000670.KS,영풍,영풍,코스피,Steel/Metal,KIS종목정보,전체종목마스터
000680,000680.KS,LS네트웍스,LS네트웍스,코스피,미분류,KIS종목정보,전체종목마스터
000700,000700.KS,유수홀딩스,유수홀딩스,코스피,Holding,KIS종목정보,전체종목마스터
000720,000720.KS,현대건설,현대건설,코스피,Construction,KIS종목정보,전체종목마스터
000725,000725.KS,현대건설우,현대건설우,코스피,Construction,KIS종목정보,전체종목마스터
000760,000760.KS,이화산업,이화산업,코스피,Machinery/Equipment,KIS종목정보,전체종목마스터
000810,000810.KS,삼성화재,삼성화재,코스피,Insurance,KIS종목정보,전체종목마스터
000815,000815.KS,삼성화재우,삼성화재우,코스피,Insurance,KIS종목정보,전체종목마스터
000850,000850.KS,화천기공,화천기공,코스피,Machinery/Equipment,KIS종목정보,전체종목마스터
000860,000860.KS,강남제비스코,강남제비스코,코스피,Construction,KIS종목정보,전체종목마스터
000880,000880.KS,한화,한화,코스피,Holding,KIS종목정보,전체종목마스터
000890,000890.KS,보해양조,보해양조,코스피,Shipbuilding,KIS종목정보,전체종목마스터
000910,000910.KS,유니온,유니온,코스피,미분류,KIS종목정보,전체종목마스터
000950,000950.KS,전방,전방,코스피,미분류,KIS종목정보,전체종목마스터
000970,000970.KS,한국주철관,한국주철관,코스피,미분류,KIS종목정보,전체종목마스터
000990,000990.KS,DB하이텍,DB하이텍,코스피,Semiconductor,KIS종목정보,전체종목마스터
001020,001020.KS,페이퍼코리아,페이퍼코리아,코스피,Internet/Platform,KIS종목정보,전체종목마스터
001040,001040.KS,CJ,CJ,코스피,Food/Beverage,KIS종목정보,전체종목마스터
001045,001045.KS,CJ우,CJ우,코스피,미분류,KIS종목정보,전체종목마스터
001060,001060.KS,JW중외제약,JW중외제약,코스피,Bio/Healthcare,KIS종목정보,전체종목마스터
001065,001065.KS,JW중외제약우,JW중외제약우,코스피,Bio/Healthcare,KIS종목정보,전체종목마스터
001067,001067.KS,JW중외제약2우B,JW중외제약2우B,코스피,Bio/Healthcare,KIS종목정보,전체종목마스터
001070,001070.KS,대한방직,대한방직,코스피,Textile/Apparel,KIS종목정보,전체종목마스터
001080,001080.KS,만호제강,만호제강,코스피,미분류,KIS종목정보,전체종목마스터
