symbol,market,ok,currentPrice,current_price,last_price,priceTime,priceSource,source,priceSourceType,priceSourceFile,priceSourceDate,kis_quote_success,quote_available,error,updated_at,prevClose,changePct
AAOI,us,true,132.08,132.08,132.08,2026-08-14 06:45:00 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 06:45:00 KST,true,true,,2026-08-14 06:46:40 KST,138.08,
AAPL,us,true,304.86,304.86,304.86,2026-08-14 06:45:01 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 06:45:01 KST,true,true,,2026-08-14 06:46:40 KST,302.25,
ACHR,us,true,6.91,6.91,6.91,2026-08-14 06:45:03 KST,KIS 해외 현재가 · NYS,KIS 해외 현재가 · NYS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 06:45:03 KST,true,true,,2026-08-14 06:46:40 KST,6.29,
AI,us,true,10.18,10.18,10.18,2026-08-14 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 05:00:00 KST,true,true,,2026-08-14 06:46:40 KST,10.08,0.9921
ALAB,us,true,324.8255,324.8255,324.8255,2026-08-14 06:45:05 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 06:45:05 KST,true,true,,2026-08-14 06:46:40 KST,318.8,
AMAT,us,true,507.754,507.754,507.754,2026-08-14 06:45:06 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 06:45:06 KST,true,true,,2026-08-14 06:46:40 KST,548.15,
AMD,us,true,485.6,485.6,485.6,2026-08-14 06:45:06 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 06:45:06 KST,true,true,,2026-08-14 06:46:40 KST,482.93,
AMZN,us,true,265.25,265.25,265.25,2026-08-14 06:45:07 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 06:45:07 KST,true,true,,2026-08-14 06:46:40 KST,267.28,
ANET,us,true,203.62,203.62,203.62,2026-08-14 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 05:00:00 KST,true,true,,2026-08-14 06:46:40 KST,210.5,-3.2684
APP,us,true,313.3,313.3,313.3,2026-08-14 06:45:09 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 06:45:09 KST,true,true,,2026-08-14 06:46:40 KST,303.76,
ARM,us,true,281.0,281.0,281.0,2026-08-14 06:45:09 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 06:45:09 KST,true,true,,2026-08-14 06:46:40 KST,271.87,
ASML,us,true,1851.13,1851.13,1851.13,2026-08-14 06:45:10 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 06:45:10 KST,true,true,,2026-08-14 06:46:40 KST,1810.07,
ASTS,us,true,71.65,71.65,71.65,2026-08-14 06:45:11 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 06:45:11 KST,true,true,,2026-08-14 06:46:40 KST,74.31,
AVAV,us,true,193.77,193.77,193.77,2026-08-14 06:45:11 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 06:45:11 KST,true,true,,2026-08-14 06:46:40 KST,193.81,
AVGO,us,true,419.27,419.27,419.27,2026-08-14 06:45:12 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 06:45:12 KST,true,true,,2026-08-14 06:46:40 KST,416.05,
BBAI,us,true,3.34,3.34,3.34,2026-08-14 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 05:00:00 KST,true,true,,2026-08-14 06:46:40 KST,3.26,2.454
BMNR,us,true,18.29,18.29,18.29,2026-08-14 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 05:00:00 KST,true,true,,2026-08-14 06:46:40 KST,17.89,2.2359
BTC-USD,us,true,63740.37890625,63740.37890625,63740.37890625,2026-08-14 06:45:15 KST,전일 종가 · OHLCV 2026-08-13,전일 종가 · OHLCV 2026-08-13,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 06:45:15 KST,true,true,,2026-08-14 06:46:40 KST,,
CAT,us,true,854.6,854.6,854.6,2026-08-14 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 05:00:00 KST,true,true,,2026-08-14 06:46:40 KST,855.6,-0.1169
CAVA,us,true,72.18,72.18,72.18,2026-08-14 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 05:00:00 KST,true,true,,2026-08-14 06:46:40 KST,69.47,3.901
CEG,us,true,279.6,279.6,279.6,2026-08-14 06:45:18 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 06:45:18 KST,true,true,,2026-08-14 06:46:40 KST,278.68,
CELH,us,true,28.73,28.73,28.73,2026-08-14 06:45:18 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 06:45:18 KST,true,true,,2026-08-14 06:46:40 KST,27.62,
COHR,us,true,327.23,327.23,327.23,2026-08-14 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 05:00:00 KST,true,true,,2026-08-14 06:46:40 KST,355.64,-7.9884
COIN,us,true,153.2944,153.2944,153.2944,2026-08-14 06:45:20 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 06:45:20 KST,true,true,,2026-08-14 06:46:40 KST,149.04,
COST,us,true,960.113,960.113,960.113,2026-08-14 06:45:21 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 06:45:21 KST,true,true,,2026-08-14 06:46:40 KST,949.575,
CRCL,us,true,75.38,75.38,75.38,2026-08-14 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 05:00:00 KST,true,true,,2026-08-14 06:46:40 KST,71.28,5.752
CRDO,us,true,267.8332,267.8332,267.8332,2026-08-14 06:45:23 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 06:45:23 KST,true,true,,2026-08-14 06:46:40 KST,268.16,
CRM,us,true,201.37,201.37,201.37,2026-08-14 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 05:00:00 KST,true,true,,2026-08-14 06:46:40 KST,193.32,4.1641
CRWD,us,true,225.5825,225.5825,225.5825,2026-08-14 06:45:25 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-14 06:45:25 KST,true,true,,2026-08-14 06:46:40 KST,221.78,
