symbol,market,ok,currentPrice,current_price,last_price,priceTime,priceSource,source,priceSourceType,priceSourceFile,priceSourceDate,kis_quote_success,quote_available,error,updated_at,prevClose,changePct
000100,kr,true,84100.0,84100.0,84100.0,2026-08-27 12:27:37 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:37 KST,true,true,,2026-08-27 12:28:37 KST,86700.0,-3.0
000270,kr,true,127000.0,127000.0,127000.0,2026-08-27 12:27:38 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:38 KST,true,true,,2026-08-27 12:28:37 KST,131400.0,-3.35
000660,kr,true,1750500.0,1750500.0,1750500.0,2026-08-27 12:27:38 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:38 KST,true,true,,2026-08-27 12:28:37 KST,1688000.0,3.7
000720,kr,true,130000.0,130000.0,130000.0,2026-08-27 12:27:39 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:39 KST,true,true,,2026-08-27 12:28:37 KST,130400.0,-0.31
000810,kr,true,681000.0,681000.0,681000.0,2026-08-27 12:27:39 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:39 KST,true,true,,2026-08-27 12:28:37 KST,680000.0,0.15
000990,kr,true,95300.0,95300.0,95300.0,2026-08-27 12:27:40 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:40 KST,true,true,,2026-08-27 12:28:37 KST,91500.0,4.15
001440,kr,true,29450.0,29450.0,29450.0,2026-08-27 12:27:41 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:41 KST,true,true,,2026-08-27 12:28:37 KST,28200.0,4.43
003490,kr,true,28350.0,28350.0,28350.0,2026-08-27 12:27:41 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:41 KST,true,true,,2026-08-27 12:28:37 KST,28150.0,0.71
003550,kr,true,115600.0,115600.0,115600.0,2026-08-27 12:27:42 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:42 KST,true,true,,2026-08-27 12:28:37 KST,114400.0,1.05
003620,kr,true,2700.0,2700.0,2700.0,2026-08-27 12:27:43 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:43 KST,true,true,,2026-08-27 12:28:37 KST,,
003670,kr,true,184500.0,184500.0,184500.0,2026-08-27 12:27:43 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:43 KST,true,true,,2026-08-27 12:28:37 KST,168700.0,9.37
004020,kr,true,31500.0,31500.0,31500.0,2026-08-27 12:27:44 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:44 KST,true,true,,2026-08-27 12:28:37 KST,29700.0,6.06
005070,kr,true,40800.0,40800.0,40800.0,2026-08-27 12:27:44 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:44 KST,true,true,,2026-08-27 12:28:37 KST,39150.0,4.21
005380,kr,true,399500.0,399500.0,399500.0,2026-08-27 12:27:45 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:45 KST,true,true,,2026-08-27 12:28:37 KST,408000.0,-2.08
005490,kr,true,340500.0,340500.0,340500.0,2026-08-27 12:27:46 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:46 KST,true,true,,2026-08-27 12:28:37 KST,328000.0,3.81
005930,kr,true,267500.0,267500.0,267500.0,2026-08-27 12:27:46 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:46 KST,true,true,,2026-08-27 12:28:37 KST,261500.0,2.29
006260,kr,true,309500.0,309500.0,309500.0,2026-08-27 12:27:47 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:47 KST,true,true,,2026-08-27 12:28:37 KST,293500.0,5.45
006340,kr,true,13970.0,13970.0,13970.0,2026-08-27 12:27:47 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:47 KST,true,true,,2026-08-27 12:28:37 KST,13630.0,2.49
006360,kr,true,37550.0,37550.0,37550.0,2026-08-27 12:27:48 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:48 KST,true,true,,2026-08-27 12:28:37 KST,37800.0,-0.66
006400,kr,true,566000.0,566000.0,566000.0,2026-08-27 12:27:49 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:49 KST,true,true,,2026-08-27 12:28:37 KST,516000.0,9.69
007660,kr,true,112300.0,112300.0,112300.0,2026-08-27 12:27:49 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:49 KST,true,true,,2026-08-27 12:28:37 KST,110800.0,1.35
009150,kr,true,1385000.0,1385000.0,1385000.0,2026-08-27 12:27:50 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:50 KST,true,true,,2026-08-27 12:28:37 KST,1330000.0,4.14
009540,kr,true,361000.0,361000.0,361000.0,2026-08-27 12:27:50 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:50 KST,true,true,,2026-08-27 12:28:37 KST,360500.0,0.14
010120,kr,true,215000.0,215000.0,215000.0,2026-08-27 12:27:51 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:51 KST,true,true,,2026-08-27 12:28:37 KST,201500.0,6.7
010130,kr,true,1356000.0,1356000.0,1356000.0,2026-08-27 12:27:52 KST,KIS 현재가,KIS 현재가,kis_snapshot,reports/kis_current_price_kr.csv,2026-08-27 12:27:52 KST,true,true,,2026-08-27 12:28:37 KST,1372000.0,-1.17
