symbol,market,ok,currentPrice,current_price,last_price,priceTime,priceSource,source,priceSourceType,priceSourceFile,priceSourceDate,kis_quote_success,quote_available,error,updated_at,prevClose,changePct
AAOI,us,true,124.82,124.82,124.82,2026-08-24 16:05:47 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 16:05:47 KST,true,true,,2026-08-24 16:07:24 KST,124.82,
AAPL,us,true,309.35,309.35,309.35,2026-08-24 16:05:48 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 16:05:48 KST,true,true,,2026-08-24 16:07:24 KST,309.35,
ACHR,us,true,6.3,6.3,6.3,2026-08-24 16:05:51 KST,KIS 해외 현재가 · NYS,KIS 해외 현재가 · NYS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 16:05:51 KST,true,true,,2026-08-24 16:07:24 KST,6.3,
AI,us,true,10.3,10.3,10.3,2026-08-22 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-22 05:00:00 KST,true,true,,2026-08-24 16:07:24 KST,10.31,-0.097
ALAB,us,true,284.97,284.97,284.97,2026-08-24 16:05:52 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 16:05:52 KST,true,true,,2026-08-24 16:07:24 KST,284.97,
AMAT,us,true,492.32,492.32,492.32,2026-08-24 16:05:53 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 16:05:53 KST,true,true,,2026-08-24 16:07:24 KST,492.32,
AMD,us,true,473.25,473.25,473.25,2026-08-24 16:05:54 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 16:05:54 KST,true,true,,2026-08-24 16:07:24 KST,473.25,
AMZN,us,true,258.63,258.63,258.63,2026-08-24 16:05:54 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 16:05:54 KST,true,true,,2026-08-24 16:07:24 KST,258.63,
ANET,us,true,188.65,188.65,188.65,2026-08-22 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-22 05:00:00 KST,true,true,,2026-08-24 16:07:24 KST,183.75,2.6667
APP,us,true,305.77,305.77,305.77,2026-08-24 16:05:56 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 16:05:56 KST,true,true,,2026-08-24 16:07:24 KST,305.77,
