symbol,market,ok,currentPrice,current_price,last_price,priceTime,priceSource,source,priceSourceType,priceSourceFile,priceSourceDate,kis_quote_success,quote_available,error,updated_at,prevClose,changePct
AAOI,us,true,114.44,114.44,114.44,2026-07-09 09:21:19 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:19 KST,true,true,,2026-07-09 09:22:54 KST,114.41,
AAPL,us,true,313.39,313.39,313.39,2026-07-09 09:21:20 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:20 KST,true,true,,2026-07-09 09:22:54 KST,310.66,
ACHR,us,true,4.84,4.84,4.84,2026-07-09 09:21:22 KST,KIS 해외 현재가 · NYS,KIS 해외 현재가 · NYS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:22 KST,true,true,,2026-07-09 09:22:54 KST,4.93,
AI,us,true,8.86,8.86,8.86,2026-07-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 05:00:00 KST,true,true,,2026-07-09 09:22:54 KST,8.93,-0.7839
ALAB,us,true,393.16,393.16,393.16,2026-07-09 09:21:24 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:24 KST,true,true,,2026-07-09 09:22:54 KST,382.89,
AMAT,us,true,570.5,570.5,570.5,2026-07-09 09:21:25 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:25 KST,true,true,,2026-07-09 09:22:54 KST,554.5,
AMD,us,true,517.405,517.405,517.405,2026-07-09 09:21:25 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:25 KST,true,true,,2026-07-09 09:22:54 KST,516.11,
AMZN,us,true,243.62,243.62,243.62,2026-07-09 09:21:26 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:26 KST,true,true,,2026-07-09 09:22:54 KST,245.98,
ANET,us,true,181.05,181.05,181.05,2026-07-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 05:00:00 KST,true,true,,2026-07-09 09:22:54 KST,166.46,8.7649
APP,us,true,522.18,522.18,522.18,2026-07-09 09:21:28 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:28 KST,true,true,,2026-07-09 09:22:54 KST,527.98,
ARM,us,true,300.24,300.24,300.24,2026-07-09 09:21:28 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:28 KST,true,true,,2026-07-09 09:22:54 KST,300.43,
ASML,us,true,1768.65,1768.65,1768.65,2026-07-09 09:21:29 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:29 KST,true,true,,2026-07-09 09:22:54 KST,1747.28,
ASTS,us,true,74.95,74.95,74.95,2026-07-09 09:21:29 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:29 KST,true,true,,2026-07-09 09:22:54 KST,74.21,
AVAV,us,true,157.78,157.78,157.78,2026-07-09 09:21:30 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:30 KST,true,true,,2026-07-09 09:22:54 KST,162.53,
AVGO,us,true,388.69,388.69,388.69,2026-07-09 09:21:31 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:31 KST,true,true,,2026-07-09 09:22:54 KST,370.78,
BBAI,us,true,3.31,3.31,3.31,2026-07-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 05:00:00 KST,true,true,,2026-07-09 09:22:54 KST,3.43,-3.4985
BMNR,us,true,14.86,14.86,14.86,2026-07-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 05:00:00 KST,true,true,,2026-07-09 09:22:54 KST,14.8,0.4054
BTC-USD,us,true,62795.83984375,62795.83984375,62795.83984375,2026-07-09 09:21:33 KST,전일 종가 · OHLCV 2026-07-08,전일 종가 · OHLCV 2026-07-08,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:33 KST,true,true,,2026-07-09 09:22:54 KST,,
CAT,us,true,948.08,948.08,948.08,2026-07-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 05:00:00 KST,true,true,,2026-07-09 09:22:54 KST,940.12,0.8467
CAVA,us,true,67.59,67.59,67.59,2026-07-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 05:00:00 KST,true,true,,2026-07-09 09:22:54 KST,69.74,-3.0829
CEG,us,true,244.52,244.52,244.52,2026-07-09 09:21:36 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:36 KST,true,true,,2026-07-09 09:22:54 KST,239.71,
CELH,us,true,30.6,30.6,30.6,2026-07-09 09:21:37 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:37 KST,true,true,,2026-07-09 09:22:54 KST,31.7,
COHR,us,true,317.05,317.05,317.05,2026-07-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 05:00:00 KST,true,true,,2026-07-09 09:22:54 KST,314.13,0.9296
COIN,us,true,159.36,159.36,159.36,2026-07-09 09:21:39 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:39 KST,true,true,,2026-07-09 09:22:54 KST,163.51,
COST,us,true,953.13,953.13,953.13,2026-07-09 09:21:39 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:39 KST,true,true,,2026-07-09 09:22:54 KST,947.5,
CRCL,us,true,64.07,64.07,64.07,2026-07-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 05:00:00 KST,true,true,,2026-07-09 09:22:54 KST,65.15,-1.6577
CRDO,us,true,258.69,258.69,258.69,2026-07-09 09:21:41 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:41 KST,true,true,,2026-07-09 09:22:54 KST,246.4,
CRM,us,true,166.58,166.58,166.58,2026-07-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 05:00:00 KST,true,true,,2026-07-09 09:22:54 KST,169.52,-1.7343
CRWD,us,true,191.12,191.12,191.12,2026-07-09 09:21:43 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:43 KST,true,true,,2026-07-09 09:22:54 KST,194.62,
DDOG,us,true,261.09,261.09,261.09,2026-07-09 09:21:44 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:44 KST,true,true,,2026-07-09 09:22:54 KST,256.81,
DELL,us,true,431.97,431.97,431.97,2026-07-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 05:00:00 KST,true,true,,2026-07-09 09:22:54 KST,417.28,3.5204
DUOL,us,true,127.57,127.57,127.57,2026-07-09 09:21:45 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:45 KST,true,true,,2026-07-09 09:22:54 KST,131.95,
ELF,us,true,74.15,74.15,74.15,2026-07-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 05:00:00 KST,true,true,,2026-07-09 09:22:54 KST,75.34,-1.5795
ESTC,us,true,60.08,60.08,60.08,2026-07-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 05:00:00 KST,true,true,,2026-07-09 09:22:54 KST,59.46,1.0427
ETN,us,true,399.56,399.56,399.56,2026-07-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 05:00:00 KST,true,true,,2026-07-09 09:22:54 KST,395.68,0.9806
GE,us,true,356.03,356.03,356.03,2026-07-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 05:00:00 KST,true,true,,2026-07-09 09:22:54 KST,366.98,-2.9838
GLD,us,true,374.45,374.45,374.45,2026-07-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 05:00:00 KST,true,true,,2026-07-09 09:22:54 KST,377.49,-0.8053
GOOGL,us,true,361.92,361.92,361.92,2026-07-09 09:21:54 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:54 KST,true,true,,2026-07-09 09:22:54 KST,367.03,
HIMS,us,true,36.07,36.07,36.07,2026-07-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 05:00:00 KST,true,true,,2026-07-09 09:22:54 KST,36.17,-0.2765
HOOD,us,true,113.53,113.53,113.53,2026-07-09 09:21:56 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:56 KST,true,true,,2026-07-09 09:22:54 KST,112.9,
HPE,us,true,44.67,44.67,44.67,2026-07-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 05:00:00 KST,true,true,,2026-07-09 09:22:54 KST,43.47,2.7605
HUT,us,true,106.11,106.11,106.11,2026-07-09 09:21:57 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:57 KST,true,true,,2026-07-09 09:22:54 KST,96.74,
IBIT,us,true,35.23,35.23,35.23,2026-07-09 09:21:58 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:58 KST,true,true,,2026-07-09 09:22:54 KST,36.15,
INTC,us,true,110.24,110.24,110.24,2026-07-09 09:21:59 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:21:59 KST,true,true,,2026-07-09 09:22:54 KST,110.39,
IONQ,us,true,45.08,45.08,45.08,2026-07-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 05:00:00 KST,true,true,,2026-07-09 09:22:54 KST,45.36,-0.6173
IREN,us,true,43.005,43.005,43.005,2026-07-09 09:22:00 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:22:00 KST,true,true,,2026-07-09 09:22:54 KST,39.815,
ISRG,us,true,415.1,415.1,415.1,2026-07-09 09:22:01 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:22:01 KST,true,true,,2026-07-09 09:22:54 KST,427.3,
IWM,us,true,293.48,293.48,293.48,2026-07-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 05:00:00 KST,true,true,,2026-07-09 09:22:54 KST,296.19,-0.915
JOBY,us,true,7.93,7.93,7.93,2026-07-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 05:00:00 KST,true,true,,2026-07-09 09:22:54 KST,8.12,-2.3399
KLAC,us,true,221.18,221.18,221.18,2026-07-09 09:22:04 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:22:04 KST,true,true,,2026-07-09 09:22:54 KST,216.47,
KTOS,us,true,50.38,50.38,50.38,2026-07-09 09:22:05 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:22:05 KST,true,true,,2026-07-09 09:22:54 KST,50.34,
LITE,us,true,707.1,707.1,707.1,2026-07-09 09:22:05 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:22:05 KST,true,true,,2026-07-09 09:22:54 KST,698.91,
LLY,us,true,1215.83,1215.83,1215.83,2026-07-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 05:00:00 KST,true,true,,2026-07-09 09:22:54 KST,1235.56,-1.5968
LRCX,us,true,333.15,333.15,333.15,2026-07-09 09:22:07 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:22:07 KST,true,true,,2026-07-09 09:22:54 KST,326.13,
LUNR,us,true,17.02,17.02,17.02,2026-07-09 09:22:08 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:22:08 KST,true,true,,2026-07-09 09:22:54 KST,17.85,
MARA,us,true,12.02,12.02,12.02,2026-07-09 09:22:08 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:22:08 KST,true,true,,2026-07-09 09:22:54 KST,12.05,
MDB,us,true,359.4,359.4,359.4,2026-07-09 09:22:09 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-09 09:22:09 KST,true,true,,2026-07-09 09:22:54 KST,361.32,
