symbol,name,market,quantity,avgPrice,currentPrice,valuation,pnl,pnlPct
NFLX,넷플릭스,us,0.36669,59.8845,71.51,26,4,19.41
RKLB,로켓 랩,us,0.387902,87.3154,80.38,31,-3,-7.94
LMT,록히드 마틴,us,0.016978,419.9488,505.0,9,1,20.25
MXL,맥스리니어,us,0.066938,98.2995,93.01,6,0,-5.38
META,메타,us,0.077076,557.0916,540.91,42,-1,-2.9
BAC,뱅크오브아메리카,us,0.147959,48.1888,58.18,9,1,20.73
AVGO,브로드컴,us,0.13409,159.7297,373.26,50,29,133.68
SPCX,스페이스X,us,0.036549,176.4729,150.15,5,-1,-14.91
CRCL,써클 인터넷 그룹,us,0.116021,119.4599,67.77,8,-6,-43.26
AMZN,아마존,us,0.158403,183.6436,226.21,36,7,23.17
GOOGL,알파벳 A,us,0.141079,155.8673,339.0,48,26,117.49
AAPL,애플,us,0.116717,189.2588,276.25,32,10,45.96
NVDA,엔비디아,us,0.154393,136.2212,191.85,30,9,40.83
CRDO,크리도 테크놀로지 그룹 홀딩,us,0.12917,254.3153,259.0,33,1,1.84
TSLA,테슬라,us,0.047677,321.6957,369.25,18,2,14.78
PLTR,팔란티어,us,0.093039,147.4631,106.93,10,-4,-27.48
HUT,허트 8,us,0.140031,49.4888,116.14,16,9,134.67
AMD,AMD,us,0.014846,443.2075,517.5,8,1,16.76
ASTS,AST 스페이스모바일,us,0.15542,88.0832,64.08,10,-4,-27.25
DRAM,DRAM,us,0.091752,70.5158,72.7,7,0,3.09
QQQ,QQQ,us,0.046607,469.8773,706.96,33,11,50.45
SCHD,SCHD,us,1,25.0988,31.99,32,7,27.45
SMH,SMH,us,0.053736,380.9317,620.06,33,13,62.77
SOXX,SOXX,us,0.094086,360.7226,604.71,57,23,67.63
SPY,SPY,us,0.040413,541.8858,729.21,29,8,34.56
