group,market,name,ticker,avg_buy_price,quantity,memo,symbol,code,종목코드,stock_name,종목명,종목,시장,현재가,last_price,current_price,관찰 기준가,active_scenario_pullback_price,조건부 진입가,매수가,entry,entry_price,buy_price,손절가,stop,stop_loss,1차 목표가,목표가,tp1,target_price,2차 목표가,tp2,손익비,rr,risk_reward,기대수익률,expected_return,수급점수,수급 점수,supply_score,flow_score,실적점수,실적 점수,earnings_score,밸류에이션점수,밸류에이션 점수,벨류에이션점수,valuation_score,차트점수,차트 점수,chart_score,실적상태,earnings_data_status,밸류상태,valuation_data_status,수급상태,flow_data_status,price_data_status
관심,한국주식,삼성전자,005930.KS,0,0,,005930,005930,005930,삼성전자,삼성전자,삼성전자,한국주식,"274,457원","274,457원","274,457원","263,162원","263,162원","264,748원","264,748원","264,748원","264,748원","264,748원","245,034원","245,034원","245,034원","295,278원","295,278원","295,278원","295,278원","321,459원","321,459원",1:2.34,1:2.34,1:2.34,,,10.0,10.0,10.0,10.0,19.0,19.0,19.0,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,3.0,3.0,3.0,partial,partial,data_missing,data_missing,kr_flow_response_empty,kr_flow_response_empty,저장된 후보 기준
관심,한국주식,SK하이닉스,000660.KS,0,0,,000660,000660,000660,SK하이닉스,SK하이닉스,SK하이닉스,한국주식,"1,729,215원","1,729,215원","1,729,215원","1,654,711원","1,654,711원","1,664,686원","1,664,686원","1,664,686원","1,664,686원","1,664,686원","1,499,933원","1,499,933원","1,499,933원","1,968,768원","1,968,768원","1,968,768원","1,968,768원","2,027,018원","2,027,018원",1:2.55,1:2.55,1:2.55,,,10.0,10.0,10.0,10.0,19.0,19.0,19.0,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,0.4,0.4,0.4,partial,partial,data_missing,data_missing,success,success,저장된 후보 기준
관심,한국주식,대한항공,003490.KS,0,0,,003490,003490,003490,대한항공,대한항공,대한항공,한국주식,"24,800원","24,800원","24,800원","24,653원","24,653원","24,802원","24,802원","24,802원","24,802원","24,802원","23,732원","23,732원","23,732원","26,353원","26,353원","26,353원","26,353원","27,102원","27,102원",1:1.45,1:1.45,1:1.45,,,5.0,5.0,5.0,5.0,4.0,4.0,4.0,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,24.5,24.5,24.5,partial,partial,data_missing,data_missing,False,False,저장된 후보 기준
관심,한국주식,LG에너지솔루션,373220.KS,0,0,,373220,373220,373220,LG에너지솔루션,LG에너지솔루션,LG에너지솔루션,한국주식,"384,500원","384,500원","384,500원","380,708원","380,708원","383,003원","383,003원","383,003원","383,003원","383,003원","370,148원","370,148원","370,148원","401,643원","401,643원","401,643원","401,643원","410,642원","410,642원",1:1.45,1:1.45,1:1.45,,,10.0,10.0,10.0,10.0,14.8,14.8,14.8,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,12.0,12.0,12.0,partial,partial,data_missing,data_missing,False,False,저장된 후보 기준
관심,한국주식,DL이앤씨,375500.KS,0,0,,375500,375500,375500,DL이앤씨,DL이앤씨,DL이앤씨,한국주식,"74,400원","74,400원","74,400원","72,568원","72,568원","73,006원","73,006원","73,006원","73,006원","73,006원","69,883원","69,883원","69,883원","79,743원","79,743원","79,743원","79,743원","81,689원","81,689원",1:2.16,1:2.16,1:2.16,,,10.0,10.0,10.0,10.0,10.4,10.4,10.4,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,25.0,25.0,25.0,partial,partial,data_missing,data_missing,success,success,저장된 후보 기준
관심,한국주식,한국항공우주,047810.KS,0,0,,047810,047810,047810,한국항공우주,한국항공우주,한국항공우주,한국주식,"158,000원","158,000원","158,000원","152,817원","152,817원","153,738원","153,738원","153,738원","153,738원","153,738원","148,532원","148,532원","148,532원","161,287원","161,287원","161,287원","161,287원","164,932원","164,932원",1:1.45,1:1.45,1:1.45,,,10.0,10.0,10.0,10.0,6.6,6.6,6.6,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,12.2,12.2,12.2,partial,partial,data_missing,data_missing,False,False,저장된 후보 기준
관심,한국주식,한국전력,015760.KS,0,0,,015760,015760,015760,한국전력,한국전력,한국전력,한국주식,"36,900원","36,900원","36,900원","36,061원","36,061원","36,279원","36,279원","36,279원","36,279원","36,279원","35,271원","35,271원","35,271원","41,411원","41,411원","41,411원","41,411원","43,977원","43,977원",1:5.09,1:5.09,1:5.09,,,10.0,10.0,10.0,10.0,14.0,14.0,14.0,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,16.2,16.2,16.2,partial,partial,data_missing,data_missing,False,False,저장된 후보 기준
관심,한국주식,현대차,005380.KS,0,0,,005380,005380,005380,현대자동차,현대자동차,현대자동차,한국주식,확인 필요,확인 필요,확인 필요,"588,392원","588,392원","591,939원","591,939원","591,939원","591,939원","591,939원",확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,"650,889원","650,889원",1:1.45,1:1.45,1:1.45,,,10.0,10.0,10.0,10.0,9.4,9.4,9.4,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,23.5,23.5,23.5,partial,partial,data_missing,data_missing,False,False,저장된 후보 기준
관심,한국주식,HD한국조선해양,009540.KS,0,0,,009540,009540,009540,HD한국조선해양,HD한국조선해양,HD한국조선해양,한국주식,"399,000원","399,000원","399,000원","392,017원","392,017원","394,380원","394,380원","394,380원","394,380원","394,380원","381,566원","381,566원","381,566원","412,961원","412,961원","412,961원","412,961원","421,931원","421,931원",1:1.45,1:1.45,1:1.45,,,10.0,10.0,10.0,10.0,15.8,15.8,15.8,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,13.8,13.8,13.8,partial,partial,data_missing,data_missing,False,False,저장된 후보 기준
관심,미국주식,NVDA,NVDA,0,0,,NVDA,NVDA,NVDA,NVIDIA,NVIDIA,NVIDIA,미국주식,$223.47,$223.47,$223.47,,,,,,,,$208.33,$208.33,$208.33,$234.01,$234.01,$234.01,$234.01,,,1:3.77,1:3.77,1:3.77,,,5.0,5.0,5.0,5.0,14.4,14.4,14.4,2.0,2.0,2.0,2.0,7.6,7.6,7.6,partial,partial,ok,ok,success,success,저장된 후보 기준
