항목,상태,rows,수정시각,경과분,오래됨기준분,파일
현재가,정상,32,2026-06-05 06:43:12,0.9,30,reports/intraday_realtime_snapshot.csv
현재가 요약,없음,0,,,60,reports/intraday_realtime_summary.csv
호가,정상,32,2026-06-05 06:42:58,1.2,30,reports/intraday_orderbook_snapshot.csv
호가 요약,없음,0,,,60,reports/intraday_orderbook_summary.csv
수급,정상,32,2026-06-05 06:44:06,0.0,30,reports/intraday_flow_snapshot.csv
업종 흐름,정상,1,2026-06-05 06:44:07,0.0,60,reports/intraday_sector_flow_report.csv
장중 수신률,정상,32,2026-06-05 06:44:07,0.0,60,reports/intraday_data_coverage_diagnosis.csv
뉴스 캐시,없음,0,,,240,data/news/news_cache.csv
포트폴리오 NAV,없음,0,,,1440,data/portfolio_daily_nav.csv
benchmark daily,없음,0,,,1440,data/benchmark_daily.csv
백테스트 beta,정상,4,2026-06-05 06:42:43,1.4,1440,reports/backtest_beta_summary.csv
예측 학습 요약,정상,4,2026-06-05 06:44:08,0.0,1440,reports/prediction_learning_summary.csv
리스크 우선 후보,정상,167,2026-06-05 06:44:08,0.0,240,reports/risk_priority_candidates.csv
