symbol,corp_code,name,year,revenue,operating_income,net_income,total_equity,total_debt,total_assets,current_assets,current_liabilities,retained_earnings,eps,eps_prev,per,pbr,shares_outstanding,market_cap,roe,debt_ratio,operating_margin,net_margin,revenue_growth,eps_growth,peg,div,quality_score,value_score,growth_score,updatedAt
000100,,유한양행,2026,,,,,,,,,,,,26.5369,,,,8.905,15.315,1.67,9.55,7.2,206.8,,79.0,73.0,50.0,75.0,2026-06-22
000270,,기아,2026,,,,,,,,,,,,6.7725,,,,11.885,4.32,7.47,6.05,5.3,-22.5,0.42,439.0,73.0,75.0,40.0,2026-06-22
000660,,SK하이닉스,2026,,,,,,,,,,,,5.3571,,,,61.172,13.282,71.54,56.89,198.1,396.6,2.93,11.0,100.0,75.0,90.0,2026-06-22
000720,,현대건설,2026,,,,,,,,,,,,19.8426,,,,5.755,38.362,3.06,1.43,-15.8,44.1,,62.0,61.0,53.0,50.0,2026-06-22
000810,,삼성화재,2026,,,,,,,,,,,,10.3999,,,,10.952,1.471,7.23,9.27,4.9,6.2,,279.0,73.0,68.0,60.0,2026-06-22
000990,,DB하이텍,2026,,,,,,,,,,,,17.7373,,,,13.545,13.782,17.01,20.16,26.0,80.2,,52.0,85.0,60.0,82.0,2026-06-22
001440,,대한전선,2026,,,,,,,,,,,,41.828,,,,3.409,66.973,5.58,1.26,26.6,,,,61.0,35.0,62.0,2026-06-22
003490,,대한항공,2026,,,,,,,,,,,,8.5417,,,,2.968,212.482,7.77,2.43,2.6,-57.1,,268.0,38.0,68.0,40.0,2026-06-22
003550,,LG,2026,,,,,,,,,,,,10.4344,,,,2.546,1.765,22.98,6.98,-7.0,-41.4,,285.0,80.0,68.0,35.0,2026-06-22
003620,,KG모빌리티,2026,,,,,,,,,,,,,,,,4.832,37.142,0.86,1.57,24.5,800.0,,,61.0,,82.0,2026-06-22
003670,,포스코퓨처엠,2026,,,,,,,,,,,,162.8568,,,,-0.153,90.67,2.34,-0.5,-10.4,,4.51,13.0,38.0,35.0,38.0,2026-06-22
004020,,현대제철,2026,,,,,,,,,,,,8.9363,,,,0.084,55.22,0.27,0.03,3.2,,,153.0,61.0,68.0,55.0,2026-06-22
005070,,코스모신소재,2026,,,,,,,,,,,,52.4559,,,,15.484,96.977,2.28,2.35,61.0,1.3,,,65.0,35.0,75.0,2026-06-22
005380,,현대차,2026,,,,,,,,,,,,12.172,,,,7.54,139.511,5.47,4.59,3.4,-26.3,4.13,163.0,58.0,60.0,40.0,2026-06-22
005490,,POSCO홀딩스,2026,,,,,,,,,,,,11.525,,,,1.125,49.969,3.99,1.18,2.5,54.5,0.9,266.0,61.0,68.0,75.0,2026-06-22
005930,,삼성전자,2026,,,,,,,,,,,,5.2831,,,,18.855,5.782,42.75,21.46,69.2,492.1,0.18,42.0,92.0,75.0,90.0,2026-06-22
006260,,LS,2026,,,,,,,,,,,,18.9597,,,,7.837,153.672,5.0,0.99,37.5,77.2,,61.0,50.0,53.0,90.0,2026-06-22
006340,,대원전선,2026,,,,,,,,,,,,,,,,9.974,23.067,7.75,1.88,25.1,69.8,,,73.0,,82.0,2026-06-22
006360,,GS건설,2026,,,,,,,,,,,,6.4114,,,,1.684,114.981,2.8,0.55,-21.6,-91.6,,188.0,53.0,75.0,23.0,2026-06-22
006400,,삼성SDI,2026,,,,,,,,,,,,28.7988,,,,-2.571,47.503,-6.6,-3.34,12.6,,12.29,36.0,31.0,50.0,62.0,2026-06-22
007660,,이수페타시스,2026,,,,,,,,,,,,19.4759,,,,29.913,30.446,19.76,14.68,34.8,13.4,,20.0,86.0,53.0,75.0,2026-06-22
009150,,삼성전기,2026,,,,,,,,,,,,62.03,,,,8.807,27.1,8.75,6.97,17.2,86.3,3.71,10.0,73.0,35.0,82.0,2026-06-22
009540,,HD한국조선해양,2026,,,,,,,,,,,,6.7758,,,,21.758,8.734,16.66,8.04,20.2,70.4,0.21,217.0,93.0,75.0,82.0,2026-06-22
010120,,LS ELECTRIC,2026,,,,,,,,,,,,54.271,,,,16.669,67.989,9.19,6.35,33.4,72.2,,23.0,73.0,35.0,90.0,2026-06-22
010130,,고려아연,2026,,,,,,,,,,,,20.1971,,,,10.064,56.243,12.29,5.14,58.4,94.4,,210.0,71.0,53.0,90.0,2026-06-22
010140,,삼성중공업,2026,,,,,,,,,,,,14.8787,,,,13.207,32.703,9.41,5.02,16.4,10.2,0.11,,73.0,60.0,67.0,2026-06-22
