symbol,market,flow_mode,foreign_net_buy,institution_net_buy,individual_net_buy,program_net_buy,foreign_flow_score,institution_flow_score,program_flow_score,intraday_flow_score,last_price,intraday_change_pct,intraday_volume,intraday_trading_value,volume_growth_pct,trading_value_growth_pct,execution_strength,orderbook_pressure,intraday_momentum_score,flow_data_available,flow_available,flow_data_source,flow_source,flow_source_label,flow_fetch_status,flow_failure_reason,kr_flow_attempted,kr_flow_success,kr_flow_error,kr_flow_failure_detail,kr_flow_endpoint_name,kr_flow_request_params,kr_flow_http_status,kr_flow_api_code,kr_flow_response_fields,kr_flow_response_row_count,kr_flow_parser_status,kr_flow_session_status,flow_updated_at,flow_warning
ASTS,미국주식,us_momentum,,,,,,,,60,105.88,10.0281,0.0,0.0,,,,0.0,60.0281,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
BMNR,미국주식,us_momentum,,,,,,,,46,18.89,-3.6716,0.0,0.0,,,,0.0,46.3284,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
CAT,미국주식,us_momentum,,,,,,,,51,879.91,1.6121,0.0,0.0,,,,0.0,51.6121,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
CRCL,미국주식,us_momentum,,,,,,,,48,113.14,-1.5146,0.0,0.0,,,,0.0,48.4854,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
INTC,미국주식,us_momentum,,,,,,,,51,119.86,1.1477,0.0,0.0,,,,0.0,51.1477,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
LITE,미국주식,us_momentum,,,,,,,,48,946.92,-1.8227,0.0,0.0,,,,0.0,48.1773,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
NBIS,미국주식,us_momentum,,,,,,,,47,214.79,-2.3371,0.0,0.0,,,,0.0,47.6629,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
RKLB,미국주식,us_momentum,,,,,,,,58,135.78,8.2344,0.0,0.0,,,,0.0,58.2344,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
SNDK,미국주식,us_momentum,,,,,,,,45,1478.71,-4.1193,0.0,0.0,,,,0.0,45.8807,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
AAOI,미국주식,us_momentum,,,,,,,,52,181.51,2.6582,0.0,0.0,,,,0.0,52.6582,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
SIMO,미국주식,us_momentum,,,,,,,,54,276.16,4.8006,0.0,0.0,,,,0.0,54.8006,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
131970,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,kr_flow_market_closed,kr_flow_market_closed,False,False,market_closed,,inquire-investor,"{""FID_COND_MRKT_DIV_CODE"": ""J"", ""FID_INPUT_ISCD"": ""131970""}",,,,0,not_started,closed,2026-05-26 01:09:15,수급/프로그램 데이터 미지원 또는 미수신
222800,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,kr_flow_market_closed,kr_flow_market_closed,False,False,market_closed,,inquire-investor,"{""FID_COND_MRKT_DIV_CODE"": ""J"", ""FID_INPUT_ISCD"": ""222800""}",,,,0,not_started,closed,2026-05-26 01:09:15,수급/프로그램 데이터 미지원 또는 미수신
NVDA,미국주식,us_momentum,,,,,,,,48,215.35,-1.8951,0.0,0.0,,,,0.0,48.1049,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
GOOGL,미국주식,us_momentum,,,,,,,,48,382.99,-1.2047,0.0,0.0,,,,0.0,48.7953,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
TSLA,미국주식,us_momentum,,,,,,,,51,426.03,1.9576,0.0,0.0,,,,0.0,51.9576,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
PLTR,미국주식,us_momentum,,,,,,,,49,136.9,-0.3748,0.0,0.0,,,,0.0,49.6252,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
IONQ,미국주식,us_momentum,,,,,,,,58,63.66,8.0998,0.0,0.0,,,,0.0,58.0998,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
LUNR,미국주식,us_momentum,,,,,,,,61,38.27,11.7699,0.0,0.0,,,,0.0,61.7699,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
OKLO,미국주식,us_momentum,,,,,,,,51,65.9,1.2444,0.0,0.0,,,,0.0,51.2444,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
HUT,미국주식,us_momentum,,,,,,,,50,105.92,0.627,0.0,0.0,,,,0.0,50.627,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
IREN,미국주식,us_momentum,,,,,,,,47,56.85,-2.0841,0.0,0.0,,,,0.0,47.9159,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
QQQ,미국주식,us_momentum,,,,,,,,50,717.56,0.4269,0.0,0.0,,,,0.0,50.4269,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
SOXX,미국주식,us_momentum,,,,,,,,52,537.35,2.4089,0.0,0.0,,,,0.0,52.4089,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
BTC-USD,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
IWM,미국주식,us_momentum,,,,,,,,50,285.14,0.9381,0.0,0.0,,,,0.0,50.9381,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
AMD,미국주식,us_momentum,,,,,,,,53,467.53,3.9903,0.0,0.0,,,,0.0,53.9903,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
AVGO,미국주식,us_momentum,,,,,,,,49,414.16,-0.0989,0.0,0.0,,,,0.0,49.9011,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
MU,미국주식,us_momentum,,,,,,,,48,751.02,-1.4539,0.0,0.0,,,,0.0,48.5461,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
MRVL,미국주식,us_momentum,,,,,,,,52,196.35,2.9682,0.0,0.0,,,,0.0,52.9682,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
ARM,미국주식,us_momentum,,,,,,,,52,306.53,2.7831,0.0,0.0,,,,0.0,52.7831,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
SMCI,미국주식,us_momentum,,,,,,,,56,35.59,6.3658,0.0,0.0,,,,0.0,56.3658,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
ANET,미국주식,us_momentum,,,,,,,,53,154.05,3.6745,0.0,0.0,,,,0.0,53.6745,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
ALAB,미국주식,us_momentum,,,,,,,,53,306.9,3.0419,0.0,0.0,,,,0.0,53.0419,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
CRDO,미국주식,us_momentum,,,,,,,,62,218.43,12.9479,0.0,0.0,,,,0.0,62.947900000000004,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
COHR,미국주식,us_momentum,,,,,,,,49,377.59,-0.1085,0.0,0.0,,,,0.0,49.8915,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
MSFT,미국주식,us_momentum,,,,,,,,49,418.59,-0.1193,0.0,0.0,,,,0.0,49.8807,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
META,미국주식,us_momentum,,,,,,,,50,610.28,0.4775,0.0,0.0,,,,0.0,50.4775,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
AMZN,미국주식,us_momentum,,,,,,,,49,266.34,-0.7897,0.0,0.0,,,,0.0,49.2103,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
AAPL,미국주식,us_momentum,,,,,,,,51,308.84,1.2623,0.0,0.0,,,,0.0,51.2623,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
