symbol,market,ok,currentPrice,current_price,last_price,priceTime,priceSource,source,priceSourceType,priceSourceFile,priceSourceDate,kis_quote_success,quote_available,error,updated_at,prevClose,changePct
AAOI,us,true,112.46,112.46,112.46,2026-09-09 08:19:09 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-09-09 08:19:09 KST,true,true,,2026-09-09 08:20:27 KST,105.53,
AAPL,us,true,316.38,316.38,316.38,2026-09-09 08:19:09 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-09-09 08:19:09 KST,true,true,,2026-09-09 08:20:27 KST,319.97,
ACHR,us,true,5.83,5.83,5.83,2026-09-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-09-09 05:00:00 KST,true,true,,2026-09-09 08:20:27 KST,5.71,2.1016
AI,us,true,10.51,10.51,10.51,2026-09-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-09-09 05:00:00 KST,true,true,,2026-09-09 08:20:27 KST,10.46,0.478
ALAB,us,true,289.99,289.99,289.99,2026-09-09 08:19:12 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-09-09 08:19:12 KST,true,true,,2026-09-09 08:20:27 KST,310.4,
AMAT,us,true,472.2,472.2,472.2,2026-09-09 08:19:13 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-09-09 08:19:13 KST,true,true,,2026-09-09 08:20:27 KST,454.71,
AMD,us,true,505.6578,505.6578,505.6578,2026-09-09 08:19:13 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-09-09 08:19:13 KST,true,true,,2026-09-09 08:20:27 KST,477.57,
AMZN,us,true,257.11,257.11,257.11,2026-09-09 08:19:14 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-09-09 08:19:14 KST,true,true,,2026-09-09 08:20:27 KST,258.51,
ANET,us,true,194.96,194.96,194.96,2026-09-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-09-09 05:00:00 KST,true,true,,2026-09-09 08:20:27 KST,193.78,0.6089
APP,us,true,312.4784,312.4784,312.4784,2026-09-09 08:19:15 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-09-09 08:19:15 KST,true,true,,2026-09-09 08:20:27 KST,320.56,
ARM,us,true,261.99,261.99,261.99,2026-09-09 08:19:15 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-09-09 08:19:15 KST,true,true,,2026-09-09 08:20:27 KST,252.09,
ASML,us,true,1764.0,1764.0,1764.0,2026-09-09 08:19:16 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-09-09 08:19:16 KST,true,true,,2026-09-09 08:20:27 KST,1714.88,
ASTS,us,true,66.34,66.34,66.34,2026-09-09 08:19:16 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-09-09 08:19:16 KST,true,true,,2026-09-09 08:20:27 KST,62.31,
AVAV,us,true,150.028,150.028,150.028,2026-09-09 08:19:17 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-09-09 08:19:17 KST,true,true,,2026-09-09 08:20:27 KST,144.65,
AVGO,us,true,367.3332,367.3332,367.3332,2026-09-09 08:19:17 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-09-09 08:19:17 KST,true,true,,2026-09-09 08:20:27 KST,357.895,
BBAI,us,true,2.92,2.92,2.92,2026-09-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-09-09 05:00:00 KST,true,true,,2026-09-09 08:20:27 KST,2.92,
BMNR,us,true,24.77,24.77,24.77,2026-09-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-09-09 05:00:00 KST,true,true,,2026-09-09 08:20:27 KST,24.97,-0.801
BTC-USD,us,true,78413.21875,78413.21875,78413.21875,2026-09-09 08:19:19 KST,전일 종가 · OHLCV 2026-09-08,전일 종가 · OHLCV 2026-09-08,kis_snapshot,reports/kis_current_price_us.csv,2026-09-09 08:19:19 KST,true,true,,2026-09-09 08:20:27 KST,,
CAT,us,true,822.0,822.0,822.0,2026-09-09 08:19:21 KST,KIS 해외 현재가 · NYS,KIS 해외 현재가 · NYS,kis_snapshot,reports/kis_current_price_us.csv,2026-09-09 08:19:21 KST,true,true,,2026-09-09 08:20:27 KST,813.94,
CAVA,us,true,60.14,60.14,60.14,2026-09-09 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-09-09 05:00:00 KST,true,true,,2026-09-09 08:20:27 KST,60.76,-1.0204
