symbol,market,last_price,intraday_change_pct,intraday_volume,intraday_trading_value,intraday_volume_ratio,intraday_trading_value_ratio,intraday_data_available,intraday_data_source,intraday_fetch_status,intraday_failure_reason,intraday_market_session,market_session_status,intraday_updated_at,intraday_warning,quote_available,quote_partial_available,quote_full_available,quote_source,quote_source_label,kis_quote_attempted,kis_quote_success,kis_quote_error,kis_exchange_code,quote_failure_reason,quote_retry_used,quote_fallback_used,quote_fallback_source,quote_fallback_price,quote_fallback_warning,bid_total_volume,ask_total_volume,orderbook_imbalance,execution_strength
AMD,us,516.06,-4.877239548772405,21673622.0,11245280494.0,0.0,0.0,True,kis_us_quote,success,,afterhours,애프터마켓,2026-06-05 08:18:00,,True,False,True,kis_us_quote,KIS 해외 현재가,True,True,,NAS,,False,False,,,,,,,
DRAM,us,64.07,-8.090661311146174,24694501.0,1614604398.0,0.0,0.0,True,kis_us_quote,success,,afterhours,애프터마켓,2026-06-05 08:18:01,,True,False,True,kis_us_quote,KIS 해외 현재가,True,True,,AMS,,False,False,,,,,,,
MRVL,us,304.72,1.0177357865075676,60234403.0,18280350567.0,0.0,0.0,True,kis_us_quote,success,,afterhours,애프터마켓,2026-06-05 08:18:02,,True,False,True,kis_us_quote,KIS 해외 현재가,True,True,,NAS,,False,False,,,,,,,
MU,us,975.5722,-9.633261391109427,40051727.0,40268298481.0,0.0,0.0,True,kis_us_quote,success,,afterhours,애프터마켓,2026-06-05 08:18:02,,True,False,True,kis_us_quote,KIS 해외 현재가,True,True,,NAS,,False,False,,,,,,,
009150,kr,,0.0,0.0,0.0,0.0,0.0,False,api_unavailable_safe,market_closed,market_closed,closed,장전,2026-06-05 08:18:02,장 마감 또는 장전 시간; market_closed; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,False,False,,,market_closed,False,False,,,,,,,
017670,kr,,0.0,0.0,0.0,0.0,0.0,False,api_unavailable_safe,market_closed,market_closed,closed,장전,2026-06-05 08:18:02,장 마감 또는 장전 시간; market_closed; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,False,False,,,market_closed,False,False,,,,,,,
SMH,us,619.43,-2.895438156450858,6305853.0,3919091305.0,0.0,0.0,True,kis_us_quote,success,,afterhours,애프터마켓,2026-06-05 08:18:03,,True,False,True,kis_us_quote,KIS 해외 현재가,True,True,,NAS,,False,False,,,,,,,
SNDK,us,1735.5,-5.2416052416052406,7555909.0,13484739311.0,0.0,0.0,True,kis_us_quote,success,,afterhours,애프터마켓,2026-06-05 08:18:03,,True,False,True,kis_us_quote,KIS 해외 현재가,True,True,,NAS,,False,False,,,,,,,
RIOT,us,27.435,-0.7775768535262184,11228023.0,306004159.0,0.0,0.0,True,kis_us_quote,success,,afterhours,애프터마켓,2026-06-05 08:18:04,,True,False,True,kis_us_quote,KIS 해외 현재가,True,True,,NAS,,False,False,,,,,,,
SOXX,us,592.9689,-3.68878313409563,6288779.0,3737826391.0,0.0,0.0,True,kis_us_quote,success,,afterhours,애프터마켓,2026-06-05 08:18:05,,True,False,True,kis_us_quote,KIS 해외 현재가,True,True,,NAS,,False,False,,,,,,,
