symbol,market,ok,currentPrice,current_price,last_price,priceTime,priceSource,source,priceSourceType,priceSourceFile,priceSourceDate,kis_quote_success,quote_available,error,updated_at,prevClose,changePct
AAOI,us,true,109.93,109.93,109.93,2026-08-24 21:39:43 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 21:39:43 KST,true,true,,2026-08-24 21:40:59 KST,124.82,
AAPL,us,true,310.8,310.8,310.8,2026-08-24 21:39:43 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 21:39:43 KST,true,true,,2026-08-24 21:40:59 KST,309.35,
ACHR,us,true,6.3,6.3,6.3,2026-08-22 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-22 05:00:00 KST,true,true,,2026-08-24 21:40:59 KST,6.09,3.4483
AI,us,true,10.3,10.3,10.3,2026-08-22 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-22 05:00:00 KST,true,true,,2026-08-24 21:40:59 KST,10.31,-0.097
ALAB,us,true,274.4597,274.4597,274.4597,2026-08-24 21:39:46 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 21:39:46 KST,true,true,,2026-08-24 21:40:59 KST,284.97,
AMAT,us,true,479.0,479.0,479.0,2026-08-24 21:39:46 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 21:39:46 KST,true,true,,2026-08-24 21:40:59 KST,492.32,
AMD,us,true,465.063,465.063,465.063,2026-08-24 21:39:47 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 21:39:47 KST,true,true,,2026-08-24 21:40:59 KST,473.25,
AMZN,us,true,259.16,259.16,259.16,2026-08-24 21:39:47 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 21:39:47 KST,true,true,,2026-08-24 21:40:59 KST,258.63,
ANET,us,true,188.65,188.65,188.65,2026-08-22 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-22 05:00:00 KST,true,true,,2026-08-24 21:40:59 KST,183.75,2.6667
APP,us,true,303.8937,303.8937,303.8937,2026-08-24 21:39:49 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 21:39:49 KST,true,true,,2026-08-24 21:40:59 KST,305.77,
ARM,us,true,237.5,237.5,237.5,2026-08-24 21:39:49 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 21:39:49 KST,true,true,,2026-08-24 21:40:59 KST,243.32,
ASML,us,true,1756.45,1756.45,1756.45,2026-08-24 21:39:50 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 21:39:50 KST,true,true,,2026-08-24 21:40:59 KST,1763.76,
ASTS,us,true,67.12,67.12,67.12,2026-08-24 21:39:50 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 21:39:50 KST,true,true,,2026-08-24 21:40:59 KST,68.65,
AVAV,us,true,160.5,160.5,160.5,2026-08-24 21:39:50 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 21:39:50 KST,true,true,,2026-08-24 21:40:59 KST,160.22,
AVGO,us,true,364.7166,364.7166,364.7166,2026-08-24 21:39:51 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 21:39:51 KST,true,true,,2026-08-24 21:40:59 KST,368.45,
BBAI,us,true,3.22,3.22,3.22,2026-08-22 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-22 05:00:00 KST,true,true,,2026-08-24 21:40:59 KST,3.07,4.886
BMNR,us,true,22.83,22.83,22.83,2026-08-22 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-22 05:00:00 KST,true,true,,2026-08-24 21:40:59 KST,21.57,5.8414
BTC-USD,us,true,77683.53125,77683.53125,77683.53125,2026-08-24 21:39:53 KST,전일 종가 · OHLCV 2026-08-24,전일 종가 · OHLCV 2026-08-24,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 21:39:53 KST,true,true,,2026-08-24 21:40:59 KST,,
CAT,us,true,827.9,827.9,827.9,2026-08-22 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-22 05:00:00 KST,true,true,,2026-08-24 21:40:59 KST,815.39,1.5342
CAVA,us,true,73.63,73.63,73.63,2026-08-22 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-22 05:00:00 KST,true,true,,2026-08-24 21:40:59 KST,72.03,2.2213
CEG,us,true,272.37,272.37,272.37,2026-08-24 21:39:56 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 21:39:56 KST,true,true,,2026-08-24 21:40:59 KST,272.88,
CELH,us,true,33.9025,33.9025,33.9025,2026-08-24 21:39:56 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 21:39:56 KST,true,true,,2026-08-24 21:40:59 KST,33.36,
COHR,us,true,273.76,273.76,273.76,2026-08-24 21:39:58 KST,KIS 해외 현재가 · NYS,KIS 해외 현재가 · NYS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 21:39:58 KST,true,true,,2026-08-24 21:40:59 KST,289.52,
COIN,us,true,189.54,189.54,189.54,2026-08-24 21:39:59 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 21:39:59 KST,true,true,,2026-08-24 21:40:59 KST,186.49,
COST,us,true,952.7331,952.7331,952.7331,2026-08-24 21:39:59 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 21:39:59 KST,true,true,,2026-08-24 21:40:59 KST,947.74,
