symbol,market,unsupported_data_type,failure_reason,recommended_action,updated_at
GOOGL,미국주식,orderbook,endpoint_not_configured,미국주식 현재가 API endpoint/파라미터/fallback 확인 (GOOGL),2026-05-22 17:37:28
GOOGL,미국주식,sector_flow,sector_sample_or_mapping,미국주식 현재가 API endpoint/파라미터/fallback 확인 (GOOGL),2026-05-22 17:37:28
INTC,미국주식,orderbook,endpoint_not_configured,미국주식 현재가 API endpoint/파라미터/fallback 확인 (INTC),2026-05-22 17:37:28
INTC,미국주식,sector_flow,sector_sample_or_mapping,미국주식 현재가 API endpoint/파라미터/fallback 확인 (INTC),2026-05-22 17:37:28
NVDA,미국주식,orderbook,endpoint_not_configured,미국주식 현재가 API endpoint/파라미터/fallback 확인 (NVDA),2026-05-22 17:37:28
NVDA,미국주식,sector_flow,sector_sample_or_mapping,미국주식 현재가 API endpoint/파라미터/fallback 확인 (NVDA),2026-05-22 17:37:28
PLTR,미국주식,orderbook,endpoint_not_configured,미국주식 현재가 API endpoint/파라미터/fallback 확인 (PLTR),2026-05-22 17:37:28
PLTR,미국주식,sector_flow,sector_sample_or_mapping,미국주식 현재가 API endpoint/파라미터/fallback 확인 (PLTR),2026-05-22 17:37:28
TSLA,미국주식,orderbook,endpoint_not_configured,미국주식 현재가 API endpoint/파라미터/fallback 확인 (TSLA),2026-05-22 17:37:28
TSLA,미국주식,sector_flow,sector_sample_or_mapping,미국주식 현재가 API endpoint/파라미터/fallback 확인 (TSLA),2026-05-22 17:37:28
