symbol,market,ok,currentPrice,current_price,last_price,priceTime,priceSource,source,priceSourceType,priceSourceFile,priceSourceDate,kis_quote_success,quote_available,error,updated_at,prevClose,changePct
AAOI,us,true,95.0767,95.0767,95.0767,2026-07-17 22:03:58 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:03:58 KST,true,true,,2026-07-17 22:05:30 KST,100.24,
AAPL,us,true,333.48,333.48,333.48,2026-07-17 22:03:59 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:03:59 KST,true,true,,2026-07-17 22:05:30 KST,333.26,
ACHR,us,true,4.3395,4.3395,4.3395,2026-07-17 22:04:01 KST,KIS 해외 현재가 · NYS,KIS 해외 현재가 · NYS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:01 KST,true,true,,2026-07-17 22:05:30 KST,4.49,
AI,us,true,8.91,8.91,8.91,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,9.14,-2.5164
ALAB,us,true,302.0707,302.0707,302.0707,2026-07-17 22:04:03 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:03 KST,true,true,,2026-07-17 22:05:30 KST,319.74,
AMAT,us,true,532.6,532.6,532.6,2026-07-17 22:04:03 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:03 KST,true,true,,2026-07-17 22:05:30 KST,560.93,
AMD,us,true,480.4,480.4,480.4,2026-07-17 22:04:04 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:04 KST,true,true,,2026-07-17 22:05:30 KST,500.94,
AMZN,us,true,245.3295,245.3295,245.3295,2026-07-17 22:04:05 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:05 KST,true,true,,2026-07-17 22:05:30 KST,249.89,
ANET,us,true,168.56,168.56,168.56,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,171.92,-1.9544
APP,us,true,423.5,423.5,423.5,2026-07-17 22:04:06 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:06 KST,true,true,,2026-07-17 22:05:30 KST,434.48,
ARM,us,true,250.61,250.61,250.61,2026-07-17 22:04:07 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:07 KST,true,true,,2026-07-17 22:05:30 KST,262.01,
ASML,us,true,1741.0,1741.0,1741.0,2026-07-17 22:04:08 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:08 KST,true,true,,2026-07-17 22:05:30 KST,1784.87,
ASTS,us,true,54.47,54.47,54.47,2026-07-17 22:04:08 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:08 KST,true,true,,2026-07-17 22:05:30 KST,55.01,
AVAV,us,true,146.01,146.01,146.01,2026-07-17 22:04:09 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:09 KST,true,true,,2026-07-17 22:05:30 KST,149.29,
AVGO,us,true,365.0,365.0,365.0,2026-07-17 22:04:09 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:09 KST,true,true,,2026-07-17 22:05:30 KST,374.45,
BBAI,us,true,2.92,2.92,2.92,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,3.14,-7.0064
BMNR,us,true,15.44,15.44,15.44,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,15.79,-2.2166
BTC-USD,us,true,62874.73046875,62874.73046875,62874.73046875,2026-07-17 22:04:12 KST,전일 종가 · OHLCV 2026-07-17,전일 종가 · OHLCV 2026-07-17,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:12 KST,true,true,,2026-07-17 22:05:30 KST,,
