market,mode,modeLabel,horizon,horizonLabel,symbol,name,decisionBucket,timingLabel,timingReason,expectedEntryPrice,newEntryDecision,holderDecision,buyTiming,sellTiming,entry,stop,target,probability,expectedPrice,opportunityScore,entryScore,riskScore,eventRiskScore,newsReliabilityScore,newsRiskPenalty,newsSentimentSource,finalRankScore,finalScore,baseScore,upsideScore,momentumScore,rrScore,qualityScore,expectedValue,evNegative,rrActual,maConvergence,roe,per,pbr,peg,debtRatio,operatingMargin,revenueGrowth,epsGrowth,finValueScore,finGrowthScore,finQualityScore,isUndervaluedGrowth,finReason,sector,instBuy5d,foreignBuy5d,supplySignal,supplyScoreAdj,surgeLabel,eventBadges,marketRegime,marketRegimeAdjust,executionStatus,exitStatus,pnlText,excludedFromReturn,sourceBucket,dataStatus,priceSource,currentPrice,generatedAt,correctionApplied,correctionConfidence,correctionSummary,appliedCorrectionVersion
kr,aggressive,공격,mid,중기,036930,주성엔지니어링,오늘 진입,즉시 진입,20일선 +0.6% — 최적 진입 구간,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료 / 보유기간 종료 시 재검토,"199,000원","176,314원","255,914원",68.5%,"202,682원",66.0,75.0,50.6,0.0,50.0,0.0,none,68.5,68.5,68.5,70.0,59.9,70.0,75.0,11.62,False,2.51,False,,,,,,,,,,,,False,,Semiconductor,,,NEUTRAL,0.0,눌림목매수 | 모멘텀강세,,횡보장,0.0,체결,,,False,ohlcv_quant,NORMAL,kis,199000.0,2026-06-11 16:30:27,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=)",2
kr,aggressive,공격,mid,중기,403870,HPSP,대기 관찰,1~2일 후 진입,20일선 +6.5% — ATR 기준 단기 눌림 가능,"53,900원",조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료 / 보유기간 종료 시 재검토,"55,000원","48,730원","70,730원",64.1%,"55,776원",78.6,55.0,51.2,0.0,50.0,0.0,none,64.1,64.1,64.1,80.6,75.6,55.6,75.0,11.09,False,2.51,False,,,,,,,,,,,,False,,Semiconductor,,,NEUTRAL,0.0,모멘텀강세,,횡보장,0.0,대기,,,False,ohlcv_quant,PARTIAL,ohlcv,55000.0,2026-06-11 16:30:27,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=)",2
kr,aggressive,공격,mid,중기,032830,삼성생명,오늘 진입,즉시 진입,20일선 +0.9% — 최적 진입 구간,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료 / 보유기간 종료 시 재검토,"368,000원","326,048원","473,248원",62.3%,"372,526원",55.0,75.0,54.2,0.0,50.0,0.0,none,62.3,62.3,62.3,58.0,50.5,70.0,75.0,10.88,False,2.51,False,4.763,18.0836,,1.51,36.457,-83.02,,187.2,53.0,70.0,46.0,False,EPS성장 187.2%,Insurance,,,NEUTRAL,0.0,눌림목매수 | 모멘텀강세,,횡보장,0.0,체결,,,False,ohlcv_quant,NORMAL,kis,368000.0,2026-06-11 16:30:27,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=)",2
kr,aggressive,공격,mid,중기,000660,SK하이닉스,오늘 진입,즉시 진입,20일선 -0.7% — 최적 진입 구간,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료 / 보유기간 종료 시 재검토,"2,048,000원","1,814,528원","2,633,728원",61.9%,"2,072,371원",53.4,75.0,60.0,0.0,50.0,0.0,none,61.9,61.9,61.9,56.7,48.4,70.0,75.0,10.83,False,2.51,False,61.172,5.3571,,2.93,13.282,71.54,198.1,396.6,75.0,90.0,100.0,False,PEG 2.93 고평가,Semiconductor,,,NEUTRAL,0.0,눌림목매수 | 모멘텀강세,,횡보장,0.0,체결,,,False,ohlcv_quant,NORMAL,kis,2048000.0,2026-06-11 16:30:27,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=)",2
kr,aggressive,공격,mid,중기,018260,삼성에스디에스,오늘 진입,즉시 진입,20일선 -1.8% — 최적 진입 구간,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료 / 보유기간 종료 시 재검토,"225,000원","199,350원","289,350원",61.6%,"227,610원",54.8,75.0,48.0,0.0,50.0,0.0,none,61.6,61.6,61.6,58.0,50.0,70.0,75.0,10.79,False,2.51,False,6.58,19.8734,,,8.232,2.34,-3.9,-56.3,53.0,35.0,73.0,False,,Technology,,,NEUTRAL,0.0,눌림목매수 | 모멘텀강세,,횡보장,0.0,체결,,,False,ohlcv_quant,NORMAL,kis,225000.0,2026-06-11 16:30:27,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=)",2
kr,aggressive,공격,mid,중기,011070,LG이노텍,대기 관찰,1~2일 후 진입,20일선 +6.5% — ATR 기준 단기 눌림 가능,"1,068,200원",조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료 / 보유기간 종료 시 재검토,"1,090,000원","965,740원","1,401,740원",61.6%,"1,102,644원",58.0,55.0,48.0,0.0,50.0,0.0,none,61.6,61.6,61.6,60.1,54.9,70.0,75.0,10.79,False,2.51,False,8.464,26.8546,,19.39,36.127,5.34,11.1,167.6,50.0,82.0,66.0,False,PEG 19.39 고평가,Telecom,,,NEUTRAL,0.0,모멘텀강세,,횡보장,0.0,대기,,,False,ohlcv_quant,NORMAL,kis,1090000.0,2026-06-11 16:30:27,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=)",2
kr,aggressive,공격,mid,중기,000810,삼성화재,오늘 진입,조건부 진입,점수·추세·진입가 조건 충족,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료 / 보유기간 종료 시 재검토,"616,000원","545,776원","792,176원",61.5%,"623,084원",56.6,55.0,56.3,0.0,50.0,0.0,none,61.5,61.5,61.5,59.2,52.6,70.0,75.0,10.78,False,2.51,False,10.952,10.3999,,,1.471,7.23,4.9,6.2,68.0,60.0,73.0,False,,Insurance,,,NEUTRAL,0.0,모멘텀강세,,횡보장,0.0,체결,,,False,ohlcv_quant,NORMAL,kis,616000.0,2026-06-11 16:30:27,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=)",2
kr,aggressive,공격,mid,중기,138040,메리츠금융지주,기다림,관망,점수·추세 조건 미충족,,조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료 / 보유기간 종료 시 재검토,"106,000원","96,786원","131,339원",61.0%,"107,166원",48.4,75.0,75.0,0.0,50.0,0.0,none,61.0,61.0,61.0,48.2,48.6,46.7,90.0,9.33,False,2.75,True,21.181,5.9412,,,,33.42,-0.7,-3.7,75.0,50.0,85.0,True,ROE 21.2% · 영업이익률 33.4%,Bank/Finance,,,NEUTRAL,0.0,이격도수렴 | 눌림목매수 | 저평가성장주,이격도수렴 | 저평가성장주,횡보장,0.0,대기,,,False,ohlcv_quant,PARTIAL,ohlcv,106000.0,2026-06-11 16:30:27,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=)",2
kr,aggressive,공격,mid,중기,010950,S-Oil,기다림,관망,점수·추세 조건 미충족,,조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료 / 보유기간 종료 시 재검토,"110,800원","99,457원","141,993원",60.7%,"111,986원",47.6,75.0,72.0,0.0,50.0,0.0,none,60.7,60.7,60.7,47.3,48.1,49.2,90.0,10.96,False,2.75,True,10.345,9.5643,,,87.527,13.77,-0.5,,68.0,50.0,63.0,False,,Oil/Chemical,,,NEUTRAL,0.0,이격도수렴 | 눌림목매수,이격도수렴,횡보장,0.0,대기,,,False,ohlcv_quant,NORMAL,kis,110800.0,2026-06-11 16:30:27,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=)",2
kr,aggressive,공격,mid,중기,090360,로보스타,대기 관찰,1~2일 후 진입,20일선 +5.1% — ATR 기준 단기 눌림 가능,"104,174원",조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료 / 보유기간 종료 시 재검토,"106,300원","94,182원","136,702원",60.2%,"107,384원",55.8,55.0,48.0,0.0,50.0,0.0,none,60.2,60.2,60.2,58.0,52.5,70.0,75.0,10.62,False,2.51,False,,,,,,,,,,,,False,,Robot,,,NEUTRAL,0.0,모멘텀강세,,횡보장,0.0,대기,,,False,ohlcv_quant,PARTIAL,ohlcv,106300.0,2026-06-11 16:30:27,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=)",2
