market,mode,modeLabel,horizon,horizonLabel,symbol,name,decisionBucket,timingLabel,timingReason,expectedEntryPrice,newEntryDecision,holderDecision,buyTiming,sellTiming,entry,stop,target,probability,expectedPrice,opportunityScore,entryScore,riskScore,eventRiskScore,newsReliabilityScore,newsRiskPenalty,newsSentimentSource,finalRankScore,finalScore,baseScore,upsideScore,momentumScore,rrScore,qualityScore,expectedValue,evNegative,rrActual,maConvergence,roe,per,pbr,peg,debtRatio,operatingMargin,revenueGrowth,epsGrowth,finValueScore,finGrowthScore,finQualityScore,isUndervaluedGrowth,finReason,sector,instBuy5d,foreignBuy5d,supplySignal,supplyScoreAdj,surgeLabel,eventBadges,marketRegime,marketRegimeAdjust,executionStatus,exitStatus,pnlText,excludedFromReturn,sourceBucket,dataStatus,priceSource,currentPrice,generatedAt
kr,conservative,보수,mid,중기,055550,055550,오늘 진입,수렴 진입,이격도 수렴 완성 — 최적 진입 타이밍,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료 / 보유기간 종료 시 재검토,"97,100원","89,804원","114,190원",75.6%,"99,586원",54.4,75.0,71.4,0.0,50.0,0.0,none,75.6,75.6,83.6,54.7,53.9,50.0,90.0,7.6,False,2.34,True,,,,,,,,,,,,False,,Bank/Finance,,,NEUTRAL,0.0,이격도수렴 | 눌림목매수 | 모멘텀강세,이격도수렴,약세장,-8.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,97100.0,2026-06-09 00:13:37
kr,conservative,보수,mid,중기,032640,032640,오늘 진입,수렴 진입,이격도 수렴 완성 — 최적 진입 타이밍,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료 / 보유기간 종료 시 재검토,"15,720원","14,102원","18,487원",74.7%,"16,108원",48.2,75.0,71.9,0.0,50.0,0.0,none,74.7,74.7,82.7,48.0,48.5,48.6,90.0,4.49,False,1.71,True,,,,,,,,,,,,False,,Telecom,,,NEUTRAL,0.0,이격도수렴 | 눌림목매수 | 거래대금증가,이격도수렴,약세장,-8.0,체결,,,False,ohlcv_quant,NORMAL,kis,15720.0,2026-06-09 00:13:37
kr,conservative,보수,mid,중기,010950,010950,오늘 진입,수렴 진입,이격도 수렴 완성 — 최적 진입 타이밍,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료 / 보유기간 종료 시 재검토,"108,500원","99,843원","127,596원",73.8%,"111,082원",45.5,75.0,70.6,0.0,50.0,0.0,none,73.8,73.8,81.8,45.0,46.3,47.8,90.0,7.28,False,2.21,True,,,,,,,,,,,,False,,Oil/Chemical,,,NEUTRAL,0.0,이격도수렴 | 눌림목매수,이격도수렴,약세장,-8.0,체결,,,False,ohlcv_quant,NORMAL,kis,108500.0,2026-06-09 00:13:37
kr,conservative,보수,mid,중기,105560,105560,오늘 진입,수렴 진입,이격도 수렴 완성 — 최적 진입 타이밍,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료 / 보유기간 종료 시 재검토,"151,500원","139,586원","178,164원",73.7%,"155,091원",46.5,75.0,68.9,0.0,50.0,0.0,none,73.7,73.7,81.7,46.1,47.1,50.0,90.0,7.32,False,2.24,True,,,,,,,,,,,,False,,Bank/Finance,,,NEUTRAL,0.0,이격도수렴 | 눌림목매수 | 거래대금증가,이격도수렴,약세장,-8.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,151500.0,2026-06-09 00:13:37
kr,conservative,보수,mid,중기,005930,005930,오늘 진입,즉시 진입,20일선 -1.8% — 최적 진입 구간,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료 / 보유기간 종료 시 재검토,"295,500원","262,071원","347,508원",68.6%,"300,996원",51.8,75.0,61.4,0.0,50.0,0.0,none,68.6,68.6,76.6,54.9,47.2,70.0,75.0,3.84,False,1.56,False,10.36,,,,29.94,13.07,,,,,,False,,Semiconductor,,,NEUTRAL,0.0,눌림목매수 | 모멘텀강세,,약세장,-8.0,체결,,,False,ohlcv_quant,NORMAL,kis,295500.0,2026-06-09 00:13:37
kr,conservative,보수,mid,중기,KOSPI,KOSPI,대기 관찰,다음 주 진입,"20일선 -5.7%, 중기 지지선 테스트 — 다음 주 진입","7,335원",조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료 / 보유기간 종료 시 재검토,"7,484원","6,882원","8,802원",67.8%,"7,618원",39.3,65.0,65.0,0.0,50.0,0.0,none,67.8,67.8,75.8,40.2,38.0,68.8,90.0,6.79,False,2.19,False,,,,,,,,,,,,False,,,,,NEUTRAL,0.0,눌림목매수,,약세장,-8.0,대기,,,False,ohlcv_quant,PARTIAL,ohlcv,7484.41,2026-06-09 00:13:37
kr,conservative,보수,mid,중기,086790,086790,대기 관찰,다음 주 진입,"20일선 -5.8%, 중기 지지선 테스트 — 다음 주 진입","110,152원",조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료 / 보유기간 종료 시 재검토,"112,400원","103,968원","132,182원",66.8%,"114,288원",37.7,65.0,69.5,0.0,50.0,0.0,none,66.8,66.8,74.8,36.5,39.5,50.0,90.0,6.94,False,2.35,False,,,,,,,,,,,,False,,Bank/Finance,,,NEUTRAL,0.0,눌림목매수,,약세장,-8.0,대기,,,False,ohlcv_quant,PARTIAL,ohlcv,112400.0,2026-06-09 00:13:37
kr,conservative,보수,mid,중기,017670,SK텔레콤,오늘 진입,조건부 진입,점수·추세·진입가 조건 충족,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료 / 보유기간 종료 시 재검토,"106,700원","92,214원","125,479원",65.2%,"108,322원",77.1,55.0,65.0,0.0,50.0,0.0,none,65.2,65.2,73.2,76.8,77.6,61.9,75.0,2.95,False,1.3,False,,,,,,,,,,,,False,,Telecom,,,NEUTRAL,0.0,거래대금증가 | 모멘텀강세,,약세장,-8.0,체결,,,False,ohlcv_quant,NORMAL,kis,106700.0,2026-06-09 00:13:37
kr,conservative,보수,mid,중기,034730,034730,오늘 진입,조건부 진입,점수·추세·진입가 조건 충족,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료 / 보유기간 종료 시 재검토,"572,000원","498,929원","672,672원",64.5%,"580,294원",44.9,75.0,63.9,0.0,50.0,0.0,none,64.5,64.5,72.5,47.3,41.2,70.0,75.0,3.14,False,1.38,False,,,,,,,,,,,,False,,Consumer Defensive,,,NEUTRAL,0.0,눌림목매수,,약세장,-8.0,체결,,,False,ohlcv_quant,NORMAL,kis,572000.0,2026-06-09 00:13:37
kr,conservative,보수,mid,중기,000810,000810,대기 관찰,눌림 대기,20일선 +16.4% 위 — 가격 조정 후 진입,"656,600원",조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료 / 보유기간 종료 시 재검토,"670,000원","606,464원","787,920원",64.0%,"679,380원",91.1,35.0,65.1,0.0,50.0,0.0,none,64.0,64.0,72.0,93.0,88.2,66.4,90.0,4.11,False,1.86,False,,,,,,,,,,,,False,,Insurance,,,NEUTRAL,0.0,모멘텀강세,,약세장,-8.0,대기,,,False,ohlcv_quant,NORMAL,kis,670000.0,2026-06-09 00:13:37
