market,mode,modeLabel,horizon,horizonLabel,symbol,name,decisionBucket,timingLabel,timingReason,expectedEntryPrice,newEntryDecision,holderDecision,buyTiming,sellTiming,entry,stop,target,probability,expectedPrice,opportunityScore,entryScore,riskScore,eventRiskScore,newsReliabilityScore,newsRiskPenalty,finalRankScore,finalScore,baseScore,upsideScore,momentumScore,rrScore,qualityScore,expectedValue,evNegative,rrActual,maConvergence,supplySignal,surgeLabel,eventBadges,marketRegime,marketRegimeAdjust,executionStatus,exitStatus,pnlText,excludedFromReturn,sourceBucket,dataStatus,priceSource,currentPrice,generatedAt,correctionApplied,correctionConfidence,correctionSummary,appliedCorrectionVersion,verifiedWinRate,winRateSampleCount,winRateConfidenceWeight,rsi14,volumeRatio20,distanceToMa20,atr14Pct,maFullAlign,mdd20,recentMomentum5,setupScore,setupBucket,setupReason,accumulationScore,convergenceScore,pullbackPreScore,sectorLeadScore,supplyPreScore,catalystScore,overextensionRisk,overextensionReasons,momentumContinuationScore,trendStrengthScore,relativeStrengthScore,nearHighScore,volumeConfirmationScore,sectorLeaderScore,supplyContinuationScore
us,aggressive,공격,short,단기,HPE,HPE,오늘 진입,즉시 진입,20일선 +2.0% — 최적 진입 구간,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$47.20,$44.00,$55.00,71.1%,$48.39,65.4,75.0,64.1,0,50,0,71.1,71.1,67.4,69.1,59.9,68.7,75.0,3.15,False,2.44,False,NEUTRAL,눌림목매수 | 모멘텀강세,,BULL,5.0,체결,,,False,ohlcv_quant,NORMAL,live,47.39,2026-07-16 08:55:22,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",256,45.9,52,0.52,49.0,0.11,2.0,5.54,True,-15.72,8.06,8.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,14.4,6.6,4.0,0.0,0.0,3.8,0.0
us,aggressive,공격,short,단기,JPM,JPMorgan,보류,과열 대기,볼린저 상단 돌파 — 추격 금지,,조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$345.59,$338.00,$369.00,69.4%,$353.68,70.9,55.0,70.0,0,50,0,69.4,69.4,65.8,76.2,63.0,55.9,90.0,1.14,False,3.08,False,NEUTRAL,모멘텀강세,,BULL,5.0,대기,,,False,ohlcv_quant,PARTIAL,ohlcv,346.95001220703125,2026-07-16 08:55:22,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",256,45.5,52,0.52,63.3,0.26,3.84,2.23,True,-2.54,4.94,7.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,3.0,0.0,0.0,0.0,0.0,0.0,,30.0,7.2,6.8,8.0,0.0,8.0,0.0
us,aggressive,공격,short,단기,ABNB,ABNB,오늘 진입,조건부 진입,점수·추세·진입가 조건 충족,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$149.31,$144.00,$163.00,68.4%,$152.66,69.7,55.0,78.2,0,50,0,68.4,68.4,64.9,74.6,62.3,50.0,90.0,1.46,False,2.58,False,NEUTRAL,모멘텀강세,,BULL,5.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,149.89999389648438,2026-07-16 08:55:22,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",256,45.3,52,0.52,57.3,0.12,3.44,3.01,True,-4.02,4.86,8.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,23.7,7.0,6.4,8.0,0.0,2.3,0.0
us,aggressive,공격,short,단기,DUOL,Duolingo,오늘 진입,조건부 진입,점수·추세·진입가 조건 충족,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$129.99,$121.00,$153.00,67.2%,$132.75,65.9,55.0,67.4,0,50,0,67.2,67.2,63.8,68.9,61.3,63.0,90.0,3.41,False,2.56,False,NEUTRAL,모멘텀강세,,BULL,5.0,체결,,,False,ohlcv_quant,NORMAL,live,130.5,2026-07-16 08:55:22,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",256,45.0,52,0.52,51.6,0.14,3.29,6.26,True,-12.98,5.24,11.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,3.0,4.0,0.0,0.0,0.0,0.0,,20.5,7.0,5.5,0.0,0.0,8.0,0.0
us,aggressive,공격,short,단기,TEM,Tempus AI,오늘 진입,즉시 진입,20일선 +2.5% — 최적 진입 구간,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$57.08,$52.00,$69.00,66.9%,$58.27,64.7,75.0,72.0,0,50,0,66.9,66.9,63.5,67.4,60.7,60.1,90.0,3.74,False,2.35,False,NEUTRAL,눌림목매수 | 모멘텀강세,,BULL,5.0,체결,,,False,ohlcv_quant,NORMAL,live,57.3,2026-07-16 08:55:22,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",256,44.9,52,0.52,61.5,0.11,2.45,7.14,True,-9.2,2.04,8.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,18.5,6.7,6.9,0.0,0.0,4.9,0.0
us,aggressive,공격,short,단기,BAC,Bank of America,보류,과열 대기,볼린저 상단 돌파 — 추격 금지,,조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$61.35,$60.00,$65.00,66.0%,$62.58,74.2,55.0,61.8,0,50,0,66.0,66.0,62.6,80.0,65.6,58.0,90.0,0.7,False,2.7,False,NEUTRAL,모멘텀강세,,BULL,5.0,대기,,,False,ohlcv_quant,PARTIAL,ohlcv,61.595001220703125,2026-07-16 08:55:22,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",256,44.7,52,0.52,69.7,0.31,5.35,2.07,True,-2.67,5.65,7.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,3.0,0.0,0.0,0.0,0.0,0.0,,31.5,7.6,7.9,8.0,0.0,8.0,0.0
us,aggressive,공격,short,단기,NVO,Novo Nordisk,대기 관찰,3~5일 후 진입,20일선 +5.8% — ATR 기준 4일 눌림 예상,$49.64,조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$50.45,$49.00,$54.00,62.8%,$51.30,69.8,55.0,71.3,0,50,0,62.8,62.8,59.7,72.3,66.1,56.6,90.0,0.74,False,2.45,False,NEUTRAL,모멘텀강세,,BULL,5.0,대기,,,False,ohlcv_quant,NORMAL,live,50.65,2026-07-16 08:55:22,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",256,44.0,52,0.52,68.3,0.22,5.83,2.42,True,-3.07,3.45,7.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,3.0,0.0,0.0,0.0,0.0,0.0,,24.7,7.7,9.3,0.0,0.0,7.7,0.0
us,aggressive,공격,short,단기,ESTC,Elastic,보류,과열 대기,볼린저 상단 돌파 — 추격 금지,,조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$62.00,$59.00,$71.00,62.2%,$63.00,66.8,55.0,60.0,0,50,0,62.2,62.2,59.1,69.3,63.1,59.8,90.0,2.91,False,3.0,False,NEUTRAL,모멘텀강세,,BULL,5.0,대기,,,False,ohlcv_quant,NORMAL,live,62.24,2026-07-16 08:55:22,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",256,43.9,52,0.52,63.8,0.14,5.15,4.99,True,-10.83,7.13,4.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.2,7.5,5.2,0.0,0.0,7.5,0.0
us,aggressive,공격,short,단기,V,Visa,오늘 진입,조건부 진입,점수·추세·진입가 조건 충족,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$355.93,$347.00,$383.00,62.0%,$361.61,64.2,55.0,60.2,0,50,0,62.0,62.0,58.9,66.0,61.6,50.0,80.0,1.18,False,3.03,False,NEUTRAL,모멘텀강세,,BULL,5.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,357.3299865722656,2026-07-16 08:55:22,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",256,43.8,52,0.52,70.5,0.18,4.06,2.52,True,-4.03,2.82,7.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,3.0,0.0,0.0,0.0,0.0,0.0,,29.8,7.2,6.6,8.0,0.0,8.0,0.0
us,aggressive,공격,short,단기,AMD,AMD,오늘 진입,즉시 진입,20일선 -1.1% — 최적 진입 구간,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$526.44,$482.00,$637.00,61.7%,$534.67,55.1,75.0,69.6,0,50,0,61.7,61.7,58.6,57.5,51.5,65.5,90.0,3.69,False,2.49,False,NEUTRAL,눌림목매수,,BULL,5.0,체결,,,False,ohlcv_quant,NORMAL,live,528.51,2026-07-16 08:55:22,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",256,43.8,52,0.52,51.9,0.22,-1.08,7.32,True,-11.15,2.72,14.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,0.0,10.0,0.0,0.0,0.0,0.0,,9.9,6.0,1.4,0.0,0.0,2.5,0.0
