market,mode,modeLabel,horizon,horizonLabel,symbol,name,decisionBucket,timingLabel,timingReason,expectedEntryPrice,newEntryDecision,holderDecision,buyTiming,sellTiming,entry,stop,target,probability,expectedPrice,opportunityScore,entryScore,riskScore,eventRiskScore,newsReliabilityScore,newsRiskPenalty,finalRankScore,finalScore,baseScore,upsideScore,momentumScore,rrScore,qualityScore,expectedValue,evNegative,rrActual,maConvergence,supplySignal,surgeLabel,eventBadges,marketRegime,marketRegimeAdjust,executionStatus,exitStatus,pnlText,excludedFromReturn,sourceBucket,dataStatus,priceSource,currentPrice,generatedAt,correctionApplied,correctionConfidence,correctionSummary,appliedCorrectionVersion,verifiedWinRate,winRateSampleCount,winRateConfidenceWeight,rsi14,volumeRatio20,distanceToMa20,atr14Pct,maFullAlign,mdd20,recentMomentum5,setupScore,setupBucket,setupReason,accumulationScore,convergenceScore,pullbackPreScore,sectorLeadScore,supplyPreScore,catalystScore,overextensionRisk,overextensionReasons,momentumContinuationScore,trendStrengthScore,relativeStrengthScore,nearHighScore,volumeConfirmationScore,sectorLeaderScore,supplyContinuationScore
us,aggressive,공격,swing,스윙,DUOL,Duolingo,대기 관찰,1~2일 후 진입,20일선 +6.1% — ATR 기준 단기 눌림 가능,$128.97,조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$131.71,$119.00,$168.00,82.4%,$135.87,87.9,55.0,67.4,0,50,0,82.4,82.4,77.1,92.1,81.5,61.6,90.0,9.25,False,2.86,False,NEUTRAL,모멘텀강세,,BULL,5.0,대기,,,False,ohlcv_quant,NORMAL,live,131.6,2026-07-08 22:24:45,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",194,51.5,39,0.39,54.7,0.69,6.09,6.22,True,-12.98,13.72,7.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,0.0,3.0,4.0,0.0,0.0,0.0,0.0,,30.8,7.8,15.0,0.0,0.0,8.0,0.0
us,aggressive,공격,swing,스윙,CRDO,Credo Technology,대기 관찰,진입 조건 대기,"점수 충족, 진입 구간 도달 대기",$236.33,조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$241.35,$222.00,$282.00,76.5%,$247.54,68.0,65.0,57.4,0,50,0,76.5,76.5,71.5,72.2,61.8,70.0,75.0,4.13,False,2.1,False,NEUTRAL,눌림목매수 | 모멘텀강세,,BULL,5.0,대기,,,False,ohlcv_quant,NORMAL,live,241.15,2026-07-08 22:24:45,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",194,49.9,39,0.39,47.4,0.72,-5.61,12.45,True,-21.33,0.29,14.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,0.0,10.0,0.0,0.0,0.0,0.0,,23.7,6.0,9.7,0.0,0.0,8.0,0.0
us,aggressive,공격,swing,스윙,DDOG,Datadog,대기 관찰,1~2일 후 진입,20일선 +7.0% — ATR 기준 단기 눌림 가능,$248.36,조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$253.64,$235.00,$308.00,71.0%,$258.76,67.7,55.0,68.0,0,50,0,71.0,71.0,66.4,70.7,63.3,70.0,90.0,6.35,False,2.92,False,NEUTRAL,모멘텀강세,,BULL,5.0,대기,,,False,ohlcv_quant,NORMAL,live,253.43,2026-07-08 22:24:45,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",194,48.5,39,0.39,66.8,1.11,7.03,4.77,True,-5.84,3.31,8.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,22.6,8.1,6.5,0.0,0.0,8.0,0.0
us,aggressive,공격,swing,스윙,SHOP,Shopify,대기 관찰,1~2일 후 진입,20일선 +6.8% — ATR 기준 단기 눌림 가능,$118.30,조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$120.81,$113.00,$145.00,70.5%,$123.19,70.4,55.0,77.1,0,50,0,70.5,70.5,65.9,71.8,68.2,49.9,90.0,6.09,False,3.1,False,NEUTRAL,모멘텀강세,,BULL,5.0,대기,,,False,ohlcv_quant,NORMAL,live,120.71,2026-07-08 22:24:45,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",194,48.4,39,0.39,62.8,1.17,6.8,4.43,False,-4.9,6.72,8.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,19.0,2.0,9.0,0.0,0.0,8.0,0.0
us,aggressive,공격,swing,스윙,BAC,Bank of America,대기 관찰,3~5일 후 진입,20일선 +5.0% — ATR 기준 4일 눌림 예상,$58.66,조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$59.91,$58.00,$65.00,70.5%,$61.09,71.3,55.0,62.5,0,50,0,70.5,70.5,65.9,76.7,63.3,56.5,80.0,2.2,False,2.66,False,NEUTRAL,모멘텀강세,,BULL,5.0,대기,,,False,ohlcv_quant,PARTIAL,ohlcv,59.86000061035156,2026-07-08 22:24:45,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",194,48.4,39,0.39,74.5,0.81,5.02,2.01,True,-2.08,3.42,3.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,30.8,7.5,7.3,8.0,0.0,8.0,0.0
us,aggressive,공격,swing,스윙,LLY,Eli Lilly,대기 관찰,3~5일 후 진입,20일선 +6.9% — ATR 기준 4일 눌림 예상,"$1,210.85",조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,"$1,236.59","$1,176.00","$1,414.00",69.8%,"$1,259.99",67.9,55.0,68.6,0,50,0,69.8,69.8,65.2,73.5,59.5,61.7,90.0,4.11,False,2.93,False,NEUTRAL,모멘텀강세,,BULL,5.0,대기,,,False,ohlcv_quant,NORMAL,live,1235.56,2026-07-08 22:24:45,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",194,48.2,39,0.39,69.5,0.88,6.88,3.21,True,-5.37,0.46,14.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,8.0,3.0,0.0,3.0,0.0,0.0,0.0,,20.9,8.1,4.8,8.0,0.0,0.0,0.0
us,aggressive,공격,swing,스윙,UNH,UNH,오늘 진입,조건부 진입,점수·추세·진입가 조건 충족,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$428.55,$413.00,$475.00,69.4%,$436.52,66.4,55.0,79.6,0,50,0,69.4,69.4,64.9,71.6,58.6,58.3,90.0,3.07,False,2.99,False,NEUTRAL,안정형,,BULL,5.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,428.19000244140625,2026-07-08 22:24:45,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",194,48.1,39,0.39,59.7,0.88,3.81,2.41,True,-2.87,1.99,16.6,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,8.0,0.0,4.0,4.6,0.0,0.0,0.0,,19.7,7.1,4.6,8.0,0.0,0.0,0.0
us,aggressive,공격,swing,스윙,CELH,Celsius,대기 관찰,1~2일 후 진입,20일선 +5.9% — ATR 기준 단기 눌림 가능,$30.86,조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$31.52,$29.00,$39.00,69.0%,$32.09,69.6,55.0,72.7,0,50,0,69.0,69.0,64.5,70.4,68.3,46.5,90.0,6.98,False,2.97,False,NEUTRAL,모멘텀강세,,BULL,5.0,대기,,,False,ohlcv_quant,NORMAL,live,31.49,2026-07-08 22:24:45,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",194,48.0,39,0.39,61.5,0.83,5.89,5.59,False,-8.57,6.41,12.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,8.0,0.0,4.0,0.0,0.0,0.0,0.0,,13.8,1.8,9.6,0.0,0.0,2.4,0.0
us,aggressive,공격,swing,스윙,ABNB,ABNB,대기 관찰,1~2일 후 진입,20일선 +5.8% — ATR 기준 단기 눌림 가능,$145.82,조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$148.92,$142.00,$168.00,68.8%,$151.60,67.6,55.0,78.2,0,50,0,68.8,68.8,64.3,71.9,61.1,50.0,90.0,3.46,False,2.76,False,NEUTRAL,모멘텀강세,,BULL,5.0,대기,,,False,ohlcv_quant,PARTIAL,ohlcv,148.8000030517578,2026-07-08 22:24:45,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",194,47.9,39,0.39,64.5,0.59,5.76,2.9,True,-3.96,1.11,11.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,8.0,3.0,0.0,0.0,0.0,0.0,0.0,,24.0,7.7,6.3,8.0,0.0,2.0,0.0
us,aggressive,공격,swing,스윙,JPM,JPMorgan,오늘 진입,조건부 진입,점수·추세·진입가 조건 충족,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$339.50,$327.00,$375.00,68.3%,$345.42,67.9,55.0,72.0,0,50,0,68.3,68.3,63.8,72.7,60.6,50.0,90.0,2.81,False,2.84,False,NEUTRAL,모멘텀강세,,BULL,5.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,339.2200012207031,2026-07-08 22:24:45,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",194,47.8,39,0.39,68.4,0.7,3.71,2.32,True,-2.47,2.98,3.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,27.9,7.1,5.8,8.0,0.0,7.0,0.0
us,aggressive,공격,swing,스윙,KO,KO,오늘 진입,수렴 진입,이격도 수렴 완성 — 최적 진입 타이밍,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$84.12,$81.00,$92.00,66.0%,$85.40,63.3,55.0,77.7,0,50,0,66.0,66.0,61.7,67.5,57.1,50.0,90.0,2.2,False,2.53,True,NEUTRAL,이격도수렴,이격도수렴,BULL,5.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,84.05000305175781,2026-07-08 22:24:45,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",194,47.2,39,0.39,63.5,0.85,3.26,2.03,True,-4.41,1.69,14.2,돌파대기,"박스권 상단 1.9% 이내, 변동성 수렴 — 돌파+거래량 확인 시 진입 검토",4.0,7.0,0.0,3.2,0.0,0.0,0.0,,18.7,7.0,3.7,8.0,0.0,0.0,0.0
us,aggressive,공격,swing,스윙,LMT,LMT,오늘 진입,수렴 진입,이격도 수렴 완성 — 최적 진입 타이밍,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$535.82,$512.00,$605.00,66.0%,$543.97,61.4,75.0,70.5,0,50,0,66.0,66.0,61.7,62.0,60.6,48.4,90.0,3.48,False,2.9,True,NEUTRAL,이격도수렴 | 눌림목매수 | 모멘텀강세,이격도수렴,BULL,5.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,535.3800048828125,2026-07-08 22:24:45,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",194,47.2,39,0.39,51.7,0.61,2.68,2.91,False,-10.4,6.63,12.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,4.0,4.0,0.0,0.0,0.0,0.0,,13.2,0.8,4.4,0.0,0.0,8.0,0.0
