market,mode,modeLabel,horizon,horizonLabel,primaryMode,primaryHorizon,profileReason,symbol,name,asOfDate,decisionBucket,timingLabel,timingReason,expectedEntryPrice,newEntryDecision,holderDecision,buyTiming,sellTiming,entry,stop,target,rawEntry,rawStop,rawTarget,rawModelScore,scoreComponentsJson,scoreWeightsJson,correctionInputContractVersion,probability,probabilityText,probabilityMeasured,probabilitySource,probabilitySampleCount,modelScore,expectedPrice,opportunityScore,entryScore,riskScore,eventRiskScore,newsReliabilityScore,newsRiskPenalty,finalRankScore,finalScore,baseScore,upsideScore,momentumScore,rrScore,qualityScore,expectedValue,evNegative,rrActual,maConvergence,supplySignal,surgeLabel,eventBadges,marketRegime,marketRegimeLabel,marketRegimeAdjust,executionStatus,exitStatus,pnlText,excludedFromReturn,sourceBucket,dataStatus,priceSource,currentPrice,generatedAt,correctionApplied,correctionConfidence,correctionSummary,appliedCorrectionVersion,modelVersion,codeVersion,verifiedWinRate,winRateSampleCount,winRateConfidenceWeight,rsi14,volumeRatio20,distanceToMa20,atr14Pct,maFullAlign,mdd20,recentMomentum5,setupScore,setupBucket,setupReason,accumulationScore,convergenceScore,pullbackPreScore,sectorLeadScore,supplyPreScore,catalystScore,overextensionRisk,overextensionReasons,momentumContinuationScore,trendStrengthScore,relativeStrengthScore,nearHighScore,volumeConfirmationScore,sectorLeaderScore,supplyContinuationScore
us,conservative,보수,mid,중기,conservative,mid,"stable RSI, near MA20",ABNB,ABNB,2026-08-31,오늘 진입,즉시 진입,20일선 +1.8% — 최적 진입 구간,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$183.22,$173.00,$212.00,183.22000122070312,173,212,86.1446,"{""entryScore"": 75.0, ""momentumScore"": 58.5, ""qualityScore"": 90.0, ""riskScore"": 78.4, ""rrScore"": 66.0, ""upsideScore"": 66.6}","{""entryScore"": 0.2, ""momentumScore"": 0.15, ""newsRiskPenalty"": 0.05, ""qualityScore"": 0.1, ""riskScore"": 0.35, ""rrScore"": 0.15, ""upsideScore"": 0.0}",correction-shadow-input-v1,37.4,실측 기반 37.4%,True,OBSERVED_WIN_RATE,39,86.1,$189.84,63.4,75.0,78.4,0,50,0,86.1,86.1,89.1,66.6,58.5,66.0,90.0,2.03,False,2.82,False,NEUTRAL,눌림목매수 | 모멘텀강세,,SIDE,횡보장,0.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,183.22000122070312,2026-09-01T07:16:15.111513+00:00,False,0.9,correction quarantined: no valid promotion lineage,582,mone-v36-deterministic-ranker-v1,1c9a9be4850eef9a98311cacbb64c49ffbf753ee,37.4,39,0.39,48.1,1.31,1.84,2.85,True,-3.82,-3.67,24.0,매집의심,가격은 조용한데 거래량/수급이 먼저 들어옴 — 변화 시작 전 관찰,15.0,5.0,4.0,0.0,0.0,0.0,0.0,,24.6,6.6,10.0,0.0,0.0,8.0,0.0
us,conservative,보수,mid,중기,conservative,mid,"stable RSI, near MA20, mid-term trend",DIS,DIS,2026-08-31,오늘 진입,즉시 진입,20일선 +1.7% — 최적 진입 구간,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$107.55,$103.00,$120.00,107.55000305175781,103,120,83.4691,"{""entryScore"": 75.0, ""momentumScore"": 53.3, ""qualityScore"": 90.0, ""riskScore"": 78.2, ""rrScore"": 55.1, ""upsideScore"": 56.2}","{""entryScore"": 0.2, ""momentumScore"": 0.15, ""newsRiskPenalty"": 0.05, ""qualityScore"": 0.1, ""riskScore"": 0.35, ""rrScore"": 0.15, ""upsideScore"": 0.0}",correction-shadow-input-v1,36.6,실측 기반 36.6%,True,OBSERVED_WIN_RATE,39,83.5,$111.15,55.0,75.0,78.2,0,50,0,83.5,83.5,86.6,56.2,53.3,55.1,90.0,1.21,False,2.74,False,NEUTRAL,눌림목매수 | 모멘텀강세,,SIDE,횡보장,0.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,107.55000305175781,2026-09-01T07:16:15.111513+00:00,False,0.9,correction quarantined: no valid promotion lineage,582,mone-v36-deterministic-ranker-v1,1c9a9be4850eef9a98311cacbb64c49ffbf753ee,36.6,39,0.39,59.4,0.93,1.72,2.06,True,-3.98,-2.77,15.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,8.0,3.0,4.0,0.0,0.0,0.0,0.0,,19.0,6.5,4.8,0.0,0.0,7.7,0.0
us,conservative,보수,mid,중기,conservative,mid,"stable RSI, near MA20, mid-term trend",JNJ,JNJ,2026-08-31,오늘 진입,수렴 진입,이격도 수렴 완성 — 최적 진입 타이밍,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$265.85,$256.00,$294.00,265.8500061035156,256,294,82.6129,"{""entryScore"": 75.0, ""momentumScore"": 49.8, ""qualityScore"": 90.0, ""riskScore"": 79.6, ""rrScore"": 50.0, ""upsideScore"": 51.4}","{""entryScore"": 0.2, ""momentumScore"": 0.15, ""newsRiskPenalty"": 0.05, ""qualityScore"": 0.1, ""riskScore"": 0.35, ""rrScore"": 0.15, ""upsideScore"": 0.0}",correction-shadow-input-v1,36.4,실측 기반 36.4%,True,OBSERVED_WIN_RATE,39,82.6,$274.52,50.8,75.0,79.6,0,50,0,82.6,82.6,85.8,51.4,49.8,50.0,90.0,1.15,False,2.86,True,NEUTRAL,이격도수렴 | 눌림목매수,이격도수렴,SIDE,횡보장,0.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,265.8500061035156,2026-09-01T07:16:15.111513+00:00,False,0.9,correction quarantined: no valid promotion lineage,582,mone-v36-deterministic-ranker-v1,1c9a9be4850eef9a98311cacbb64c49ffbf753ee,36.4,39,0.39,57.4,1.23,0.43,1.91,True,-2.79,-2.63,24.5,오늘진입가능,준비 신호 다수 충족 — 조건부 진입 검토 가능,7.0,7.0,10.0,0.5,0.0,0.0,0.0,,16.3,6.1,2.2,8.0,0.0,0.0,0.0
us,conservative,보수,mid,중기,conservative,mid,"stable RSI, near MA20",ABBV,ABBV,2026-08-31,오늘 진입,수렴 진입,이격도 수렴 완성 — 최적 진입 타이밍,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$256.42,$246.00,$286.00,256.4200134277344,246,286,82.0778,"{""entryScore"": 75.0, ""momentumScore"": 49.5, ""qualityScore"": 90.0, ""riskScore"": 78.3, ""rrScore"": 50.0, ""upsideScore"": 50.5}","{""entryScore"": 0.2, ""momentumScore"": 0.15, ""newsRiskPenalty"": 0.05, ""qualityScore"": 0.1, ""riskScore"": 0.35, ""rrScore"": 0.15, ""upsideScore"": 0.0}",correction-shadow-input-v1,36.2,실측 기반 36.2%,True,OBSERVED_WIN_RATE,39,82.1,$264.65,50.1,75.0,78.3,0,50,0,82.1,82.1,85.3,50.5,49.5,50.0,90.0,1.24,False,2.84,True,NEUTRAL,이격도수렴 | 눌림목매수,이격도수렴,SIDE,횡보장,0.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,256.4200134277344,2026-09-01T07:16:15.111513+00:00,False,0.9,correction quarantined: no valid promotion lineage,582,mone-v36-deterministic-ranker-v1,1c9a9be4850eef9a98311cacbb64c49ffbf753ee,36.2,39,0.39,57.6,0.95,0.71,2.1,True,-3.94,-3.06,17.4,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,0.0,7.0,10.0,0.4,0.0,0.0,0.0,,16.5,6.2,2.3,8.0,0.0,0.0,0.0
us,conservative,보수,mid,중기,conservative,mid,"stable RSI, near MA20, mid-term trend",CEG,Constellation Energy,2026-08-31,오늘 진입,수렴 진입,이격도 수렴 완성 — 최적 진입 타이밍,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$274.77,$259.00,$318.00,274.77,259,318,81.5427,"{""entryScore"": 75.0, ""momentumScore"": 50.9, ""qualityScore"": 90.0, ""riskScore"": 76.3, ""rrScore"": 50.0, ""upsideScore"": 52.7}","{""entryScore"": 0.2, ""momentumScore"": 0.15, ""newsRiskPenalty"": 0.05, ""qualityScore"": 0.1, ""riskScore"": 0.35, ""rrScore"": 0.15, ""upsideScore"": 0.0}",correction-shadow-input-v1,36.1,실측 기반 36.1%,True,OBSERVED_WIN_RATE,39,81.5,$283.44,52.0,75.0,76.3,0,50,0,81.5,81.5,84.8,52.7,50.9,50.0,90.0,1.66,False,2.74,True,NEUTRAL,이격도수렴 | 눌림목매수,이격도수렴,SIDE,횡보장,0.0,체결,,,False,ohlcv_quant,NORMAL,live,274.77,2026-09-01T07:16:15.111513+00:00,False,0.9,correction quarantined: no valid promotion lineage,582,mone-v36-deterministic-ranker-v1,1c9a9be4850eef9a98311cacbb64c49ffbf753ee,36.1,39,0.39,46.1,0.99,0.24,2.86,True,-5.55,0.49,26.0,오늘진입가능,준비 신호 다수 충족 — 조건부 진입 검토 가능,4.0,12.0,10.0,0.0,0.0,0.0,0.0,,6.5,6.1,0.4,0.0,0.0,0.0,0.0
us,conservative,보수,mid,중기,conservative,mid,"stable RSI, near MA20",UBER,Uber,2026-08-31,오늘 진입,수렴 진입,이격도 수렴 완성 — 최적 진입 타이밍,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$75.65,$70.00,$91.00,75.6500015258789,70,91,81.0076,"{""entryScore"": 75.0, ""momentumScore"": 47.9, ""qualityScore"": 90.0, ""riskScore"": 76.0, ""rrScore"": 50.0, ""upsideScore"": 48.9}","{""entryScore"": 0.2, ""momentumScore"": 0.15, ""newsRiskPenalty"": 0.05, ""qualityScore"": 0.1, ""riskScore"": 0.35, ""rrScore"": 0.15, ""upsideScore"": 0.0}",correction-shadow-input-v1,35.9,실측 기반 35.9%,True,OBSERVED_WIN_RATE,39,81.0,$78.00,48.5,75.0,76.0,0,50,0,81.0,81.0,84.3,48.9,47.9,50.0,90.0,2.16,False,2.72,True,NEUTRAL,이격도수렴 | 눌림목매수,이격도수렴,SIDE,횡보장,0.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,75.6500015258789,2026-09-01T07:16:15.111513+00:00,False,0.9,correction quarantined: no valid promotion lineage,582,mone-v36-deterministic-ranker-v1,1c9a9be4850eef9a98311cacbb64c49ffbf753ee,35.9,39,0.39,42.5,0.95,-0.72,3.59,True,-5.85,-4.59,20.8,오늘진입가능,준비 신호 다수 충족 — 조건부 진입 검토 가능,4.0,4.0,10.0,2.8,0.0,0.0,0.0,,8.8,6.0,2.8,0.0,0.0,0.0,0.0
us,conservative,보수,mid,중기,conservative,mid,"stable RSI, near MA20, mid-term trend",OXY,Occidental Petroleum,2026-08-31,오늘 진입,즉시 진입,20일선 +2.8% — 최적 진입 구간,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$60.18,$58.00,$67.00,60.18000030517578,58,67,79.4023,"{""entryScore"": 75.0, ""momentumScore"": 56.6, ""qualityScore"": 90.0, ""riskScore"": 76.9, ""rrScore"": 55.8, ""upsideScore"": 60.4}","{""entryScore"": 0.2, ""momentumScore"": 0.15, ""newsRiskPenalty"": 0.05, ""qualityScore"": 0.1, ""riskScore"": 0.35, ""rrScore"": 0.15, ""upsideScore"": 0.0}",correction-shadow-input-v1,35.5,실측 기반 35.5%,True,OBSERVED_WIN_RATE,39,79.4,$61.95,58.9,75.0,76.9,0,50,0,79.4,79.4,82.8,60.4,56.6,55.8,90.0,1.34,False,3.13,False,NEUTRAL,눌림목매수 | 모멘텀강세,,SIDE,횡보장,0.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,60.18000030517578,2026-09-01T07:16:15.111513+00:00,False,0.9,correction quarantined: no valid promotion lineage,582,mone-v36-deterministic-ranker-v1,1c9a9be4850eef9a98311cacbb64c49ffbf753ee,35.5,39,0.39,55.5,1.13,2.83,2.2,True,-5.06,0.12,18.6,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,8.0,4.0,2.6,0.0,0.0,0.0,,11.1,6.8,4.3,0.0,0.0,0.0,0.0
us,conservative,보수,mid,중기,conservative,mid,"stable RSI, near MA20",RIVN,Rivian,2026-08-31,오늘 진입,수렴 진입,이격도 수렴 완성 — 최적 진입 타이밍,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$16.06,$15.00,$20.00,16.059999465942383,15,20,79.0813,"{""entryScore"": 75.0, ""momentumScore"": 49.1, ""qualityScore"": 90.0, ""riskScore"": 71.2, ""rrScore"": 47.9, ""upsideScore"": 48.8}","{""entryScore"": 0.2, ""momentumScore"": 0.15, ""newsRiskPenalty"": 0.05, ""qualityScore"": 0.1, ""riskScore"": 0.35, ""rrScore"": 0.15, ""upsideScore"": 0.0}",correction-shadow-input-v1,35.4,실측 기반 35.4%,True,OBSERVED_WIN_RATE,39,79.1,$16.53,48.9,75.0,71.2,0,50,0,79.1,79.1,82.5,48.8,49.1,47.9,90.0,4.07,False,3.72,True,NEUTRAL,이격도수렴 | 눌림목매수,이격도수렴,SIDE,횡보장,0.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,16.059999465942383,2026-09-01T07:16:15.111513+00:00,False,0.9,correction quarantined: no valid promotion lineage,582,mone-v36-deterministic-ranker-v1,1c9a9be4850eef9a98311cacbb64c49ffbf753ee,35.4,39,0.39,47.5,1.09,0.53,4.35,False,-9.82,-3.25,12.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,4.0,4.0,0.0,0.0,0.0,0.0,,3.9,0.2,2.3,0.0,0.0,1.4,0.0
us,conservative,보수,mid,중기,conservative,mid,"stable RSI, near MA20, mid-term trend",HYG,HYG,2026-08-31,오늘 진입,수렴 진입,이격도 수렴 완성 — 최적 진입 타이밍,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$79.81,$73.00,$94.00,79.80999755859375,73,94,78.5462,"{""entryScore"": 75.0, ""momentumScore"": 50.6, ""qualityScore"": 90.0, ""riskScore"": 82.6, ""rrScore"": 50.0, ""upsideScore"": 58.8}","{""entryScore"": 0.2, ""momentumScore"": 0.15, ""newsRiskPenalty"": 0.05, ""qualityScore"": 0.1, ""riskScore"": 0.35, ""rrScore"": 0.15, ""upsideScore"": 0.0}",correction-shadow-input-v1,35.2,실측 기반 35.2%,True,OBSERVED_WIN_RATE,39,78.5,$82.09,55.5,75.0,82.6,0,50,0,78.5,78.5,82.0,58.8,50.6,50.0,90.0,0.39,False,2.08,True,NEUTRAL,이격도수렴 | 눌림목매수,이격도수렴,SIDE,횡보장,0.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,79.80999755859375,2026-09-01T07:16:15.111513+00:00,False,0.9,correction quarantined: no valid promotion lineage,582,mone-v36-deterministic-ranker-v1,1c9a9be4850eef9a98311cacbb64c49ffbf753ee,35.2,39,0.39,60.1,1.23,0.19,0.22,False,-0.33,0.14,30.5,돌파대기,"박스권 상단 0.5% 이내, 변동성 수렴 — 돌파+거래량 확인 시 진입 검토",11.0,9.0,10.0,0.5,0.0,0.0,0.0,,11.5,0.1,0.4,8.0,3.0,0.0,0.0
us,conservative,보수,mid,중기,conservative,mid,"stable RSI, mid-term trend",SNAP,SNAP,2026-08-31,오늘 진입,조건부 진입,점수·추세·진입가 조건 충족,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$5.55,$5.00,$7.00,5.550000190734863,5,7,72.6601,"{""entryScore"": 55.0, ""momentumScore"": 58.1, ""qualityScore"": 90.0, ""riskScore"": 68.9, ""rrScore"": 58.1, ""upsideScore"": 63.2}","{""entryScore"": 0.2, ""momentumScore"": 0.15, ""newsRiskPenalty"": 0.05, ""qualityScore"": 0.1, ""riskScore"": 0.35, ""rrScore"": 0.15, ""upsideScore"": 0.0}",correction-shadow-input-v1,33.6,실측 기반 33.6%,True,OBSERVED_WIN_RATE,39,72.7,$5.68,61.2,55.0,68.9,0,50,0,72.7,72.7,76.5,63.2,58.1,58.1,90.0,1.85,False,1.45,False,NEUTRAL,모멘텀강세,,SIDE,횡보장,0.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,5.550000190734863,2026-09-01T07:16:15.111513+00:00,False,0.9,correction quarantined: no valid promotion lineage,582,mone-v36-deterministic-ranker-v1,1c9a9be4850eef9a98311cacbb64c49ffbf753ee,33.6,39,0.39,50.8,1.01,3.16,5.62,True,-11.74,0.36,8.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,20.1,6.9,5.2,0.0,0.0,8.0,0.0
