market,mode,modeLabel,horizon,horizonLabel,symbol,name,decisionBucket,timingLabel,timingReason,expectedEntryPrice,newEntryDecision,holderDecision,buyTiming,sellTiming,entry,stop,target,probability,expectedPrice,opportunityScore,entryScore,riskScore,eventRiskScore,newsReliabilityScore,newsRiskPenalty,finalRankScore,finalScore,baseScore,upsideScore,momentumScore,rrScore,qualityScore,expectedValue,evNegative,rrActual,maConvergence,supplySignal,surgeLabel,eventBadges,marketRegime,marketRegimeAdjust,executionStatus,exitStatus,pnlText,excludedFromReturn,sourceBucket,dataStatus,priceSource,currentPrice,generatedAt,correctionApplied,correctionConfidence,correctionSummary,appliedCorrectionVersion,verifiedWinRate,winRateSampleCount,winRateConfidenceWeight,rsi14,volumeRatio20,distanceToMa20,atr14Pct,maFullAlign,mdd20,recentMomentum5,setupScore,setupBucket,setupReason,accumulationScore,convergenceScore,pullbackPreScore,sectorLeadScore,supplyPreScore,catalystScore,overextensionRisk,overextensionReasons,momentumContinuationScore,trendStrengthScore,relativeStrengthScore,nearHighScore,volumeConfirmationScore,sectorLeaderScore,supplyContinuationScore
us,conservative,보수,short,단기,HPE,HPE,오늘 진입,즉시 진입,20일선 +1.9% — 최적 진입 구간,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$47.11,$44.00,$55.00,78.4%,$48.65,71.5,75.0,64.1,0,50,0,78.4,78.4,79.2,75.8,65.1,69.8,75.0,3.7,False,2.54,False,NEUTRAL,눌림목매수 | 모멘텀강세,,SIDE,0.0,체결,,,False,ohlcv_quant,NORMAL,live,47.31,2026-07-13 23:28:52,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",230,47.5,55,0.55,48.4,0.79,1.88,5.75,True,-15.72,10.65,8.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,16.2,6.6,6.2,0.0,0.0,3.4,0.0
us,conservative,보수,short,단기,JPM,JPMorgan,오늘 진입,즉시 진입,20일선 +1.1% — 최적 진입 구간,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$333.76,$327.00,$354.00,76.4%,$344.01,55.7,75.0,80.0,0,50,0,76.4,76.4,77.4,57.0,53.8,55.4,90.0,1.02,False,2.99,False,NEUTRAL,눌림목매수,,SIDE,0.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,335.1499938964844,2026-07-13 23:28:52,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",230,47.1,55,0.55,54.5,0.58,1.05,1.98,True,-2.54,-0.76,16.0,돌파대기,"박스권 상단 2.5% 이내, 변동성 수렴 — 돌파+거래량 확인 시 진입 검토",4.0,8.0,4.0,0.0,0.0,0.0,0.0,,25.8,6.3,3.5,8.0,0.0,8.0,0.0
us,conservative,보수,short,단기,DELL,Dell,오늘 진입,즉시 진입,20일선 +2.3% — 최적 진입 구간,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$426.35,$391.00,$514.00,75.6%,$439.07,69.3,75.0,72.0,0,50,0,75.6,75.6,76.6,73.5,63.1,70.0,90.0,4.45,False,2.48,False,NEUTRAL,눌림목매수 | 모멘텀강세,,SIDE,0.0,체결,,,False,ohlcv_quant,NORMAL,live,428.12,2026-07-13 23:28:52,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",230,46.9,55,0.55,53.3,0.65,2.29,7.16,True,-9.16,4.83,8.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,22.2,6.7,7.5,0.0,0.0,8.0,0.0
us,conservative,보수,short,단기,ABNB,ABNB,오늘 진입,수렴 진입,이격도 수렴 완성 — 최적 진입 타이밍,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$144.11,$139.00,$158.00,74.9%,$148.32,56.0,75.0,78.2,0,50,0,74.9,74.9,76.0,57.1,54.4,50.0,90.0,1.85,False,2.72,True,NEUTRAL,이격도수렴 | 눌림목매수 | 모멘텀강세,이격도수렴,SIDE,0.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,144.7100067138672,2026-07-13 23:28:52,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",230,46.7,55,0.55,56.7,0.7,0.79,3.27,True,-4.02,-1.99,21.0,오늘진입가능,준비 신호 다수 충족 — 조건부 진입 검토 가능,4.0,7.0,10.0,0.0,0.0,0.0,0.0,,21.7,6.2,5.3,8.0,0.0,2.2,0.0
us,conservative,보수,short,단기,XOM,Exxon Mobil,오늘 진입,즉시 진입,20일선 +2.6% — 최적 진입 구간,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$142.11,$139.00,$151.00,71.0%,$145.70,54.9,75.0,74.1,0,50,0,71.0,71.0,72.4,54.7,55.2,45.7,90.0,0.92,False,2.86,False,NEUTRAL,눌림목매수 | 모멘텀강세,,SIDE,0.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,142.69590759277344,2026-07-13 23:28:52,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",230,45.9,55,0.55,59.0,0.54,2.59,2.05,False,-7.45,4.59,13.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,5.0,4.0,0.0,0.0,0.0,0.0,,3.1,0.8,2.3,0.0,0.0,0.0,0.0
us,conservative,보수,short,단기,TSLA,TSLA,기다림,관망,점수·추세 조건 미충족,,조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$392.16,$370.00,$449.00,70.9%,$402.03,41.9,75.0,72.5,0,50,0,70.9,70.9,72.3,41.2,43.0,49.7,90.0,2.81,False,2.56,True,NEUTRAL,이격도수렴 | 눌림목매수,이격도수렴,SIDE,0.0,대기,,,False,ohlcv_quant,NORMAL,live,393.7901,2026-07-13 23:28:52,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",230,45.9,55,0.55,47.8,0.72,-1.74,5.03,False,-8.76,-5.51,22.8,섹터후발,"섹터 전반 강세, 이 종목은 아직 후발 — 대장주 추세 확인 후 검토",8.0,4.0,4.0,6.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us,conservative,보수,short,단기,LLY,Eli Lilly,오늘 진입,즉시 진입,20일선 +1.8% — 최적 진입 구간,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,"$1,182.89","$1,138.00","$1,304.00",70.4%,"$1,212.03",52.5,75.0,77.9,0,50,0,70.4,70.4,71.8,53.9,50.3,59.7,90.0,1.85,False,2.7,False,NEUTRAL,눌림목매수,,SIDE,0.0,체결,,,False,ohlcv_quant,NORMAL,live,1187.81,2026-07-13 23:28:52,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",230,45.7,55,0.55,63.7,0.64,1.82,3.5,True,-4.29,-1.46,8.4,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,0.0,0.0,4.4,0.0,0.0,0.0,,7.4,6.5,0.9,0.0,0.0,0.0,0.0
us,conservative,보수,short,단기,BAC,Bank of America,오늘 진입,즉시 진입,20일선 +2.2% — 최적 진입 구간,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$58.99,$58.00,$62.00,67.0%,$60.24,56.5,75.0,79.8,0,50,0,67.0,67.0,68.7,58.1,54.2,57.3,90.0,0.61,False,3.01,False,NEUTRAL,눌림목매수,,SIDE,0.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,59.23500061035156,2026-07-13 23:28:52,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",230,45.0,55,0.55,60.7,0.62,2.24,1.88,True,-2.67,-1.11,11.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,3.0,4.0,0.0,0.0,0.0,0.0,,26.4,6.7,3.7,8.0,0.0,8.0,0.0
us,conservative,보수,short,단기,CVX,Chevron,오늘 진입,수렴 진입,이격도 수렴 완성 — 최적 진입 타이밍,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$179.21,$176.00,$190.00,66.7%,$182.97,58.2,55.0,69.2,0,50,0,66.7,66.7,68.4,58.1,58.3,46.2,90.0,0.95,False,3.36,True,NEUTRAL,이격도수렴 | 모멘텀강세,이격도수렴,SIDE,0.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,179.9600067138672,2026-07-13 23:28:52,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",230,44.9,55,0.55,57.4,0.6,3.36,2.01,False,-11.5,7.06,12.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,4.0,4.0,0.0,0.0,0.0,0.0,,4.5,1.0,3.5,0.0,0.0,0.0,0.0
us,conservative,보수,short,단기,UNH,UNH,오늘 진입,조건부 진입,점수·추세·진입가 조건 충족,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$428.93,$418.00,$460.00,65.1%,$437.22,67.1,55.0,79.6,0,50,0,65.1,65.1,66.9,72.2,59.4,57.2,90.0,1.05,False,2.84,False,NEUTRAL,모멘텀강세,,SIDE,0.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,430.7099914550781,2026-07-13 23:28:52,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",230,44.6,55,0.55,63.1,0.62,3.33,2.4,True,-2.87,3.04,11.4,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,8.0,3.0,0.0,0.4,0.0,0.0,0.0,,19.9,7.0,4.9,8.0,0.0,0.0,0.0
