market,mode,modeLabel,horizon,horizonLabel,symbol,name,decisionBucket,timingLabel,timingReason,expectedEntryPrice,newEntryDecision,holderDecision,buyTiming,sellTiming,entry,stop,target,probability,expectedPrice,opportunityScore,entryScore,riskScore,eventRiskScore,newsReliabilityScore,newsRiskPenalty,finalRankScore,finalScore,baseScore,upsideScore,momentumScore,rrScore,qualityScore,expectedValue,evNegative,rrActual,maConvergence,supplySignal,surgeLabel,eventBadges,marketRegime,marketRegimeAdjust,executionStatus,exitStatus,pnlText,excludedFromReturn,sourceBucket,dataStatus,priceSource,currentPrice,generatedAt,correctionApplied,correctionConfidence,correctionSummary,appliedCorrectionVersion,verifiedWinRate,winRateSampleCount,winRateConfidenceWeight,rsi14,volumeRatio20,distanceToMa20,atr14Pct,maFullAlign,mdd20,recentMomentum5,setupScore,setupBucket,setupReason,accumulationScore,convergenceScore,pullbackPreScore,sectorLeadScore,supplyPreScore,catalystScore,overextensionRisk,overextensionReasons,momentumContinuationScore,trendStrengthScore,relativeStrengthScore,nearHighScore,volumeConfirmationScore,sectorLeaderScore,supplyContinuationScore
us,conservative,보수,swing,스윙,ASML,ASML,오늘 진입,즉시 진입,20일선 +1.9% — 최적 진입 구간,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,"$1,858.55","$1,715.00","$2,319.00",84.7%,"$1,930.71",62.5,75.0,69.7,0,50,0,84.7,84.7,78.5,65.3,58.4,62.3,90.0,11.27,False,3.21,False,NEUTRAL,눌림목매수 | 모멘텀강세,,BULL,5.0,체결,,,False,ohlcv_quant,NORMAL,live,1866.01,2026-07-06 23:39:38,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",172,60.9,18,0.18,49.6,1.12,1.95,5.39,True,-11.06,3.42,8.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,18.9,6.6,4.5,0.0,0.0,7.8,0.0
us,conservative,보수,swing,스윙,TSLA,TSLA,오늘 진입,즉시 진입,20일선 +1.5% — 최적 진입 구간,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$402.89,$376.00,$489.00,83.4%,$418.04,57.2,75.0,72.5,0,50,0,83.4,83.4,77.3,57.6,56.7,49.4,90.0,9.52,False,3.2,False,NEUTRAL,눌림목매수 | 모멘텀강세,,BULL,5.0,체결,,,False,ohlcv_quant,NORMAL,live,404.51,2026-07-06 23:39:38,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",172,60.5,18,0.18,49.5,1.49,1.52,4.64,False,-8.76,6.6,15.9,섹터후발,"섹터 전반 강세, 이 종목은 아직 후발 — 대장주 추세 확인 후 검토",4.0,0.0,4.0,7.9,0.0,0.0,0.0,,6.8,0.5,3.3,0.0,3.0,0.0,0.0
us,conservative,보수,swing,스윙,GOOGL,GOOGL,오늘 진입,수렴 진입,이격도 수렴 완성 — 최적 진입 타이밍,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$357.41,$341.00,$412.00,83.0%,$370.70,57.8,75.0,71.5,0,50,0,83.0,83.0,76.9,58.4,57.0,49.1,90.0,6.64,False,3.33,True,NEUTRAL,이격도수렴 | 눌림목매수 | 모멘텀강세,이격도수렴,BULL,5.0,체결,,,False,ohlcv_quant,NORMAL,live,358.85,2026-07-06 23:39:38,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",172,60.4,18,0.18,51.0,0.68,0.24,3.31,False,-9.61,7.12,12.5,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,4.0,4.0,0.5,0.0,0.0,0.0,,3.7,0.1,3.6,0.0,0.0,0.0,0.0
us,conservative,보수,swing,스윙,AMZN,Amazon,오늘 진입,즉시 진입,20일선 +1.0% — 최적 진입 구간,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$241.24,$230.00,$280.00,82.8%,$250.16,53.4,75.0,73.7,0,50,0,82.8,82.8,76.7,53.4,53.4,45.8,90.0,7.08,False,3.45,False,NEUTRAL,눌림목매수 | 모멘텀강세,,BULL,5.0,체결,,,False,ohlcv_quant,NORMAL,live,242.21,2026-07-06 23:39:38,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",172,60.4,18,0.18,53.6,0.76,1.04,3.47,False,-7.73,4.49,20.0,섹터후발,"섹터 전반 강세, 이 종목은 아직 후발 — 대장주 추세 확인 후 검토",8.0,0.0,4.0,8.0,0.0,0.0,0.0,,2.5,0.3,2.2,0.0,0.0,0.0,0.0
us,conservative,보수,swing,스윙,UBER,Uber,오늘 진입,수렴 진입,이격도 수렴 완성 — 최적 진입 타이밍,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$72.08,$68.00,$85.00,82.8%,$74.75,43.4,75.0,76.6,0,50,0,82.8,82.8,76.7,42.6,44.5,48.3,90.0,7.8,False,3.17,True,NEUTRAL,이격도수렴 | 눌림목매수,이격도수렴,BULL,5.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,72.37000274658203,2026-07-06 23:39:38,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",172,60.4,18,0.18,56.4,0.61,0.7,3.97,False,-5.3,-5.03,16.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,8.0,4.0,4.0,0.0,0.0,0.0,0.0,,3.8,0.2,0.1,0.0,0.0,3.5,0.0
us,conservative,보수,swing,스윙,KO,KO,오늘 진입,수렴 진입,이격도 수렴 완성 — 최적 진입 타이밍,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$82.47,$80.00,$90.00,81.2%,$85.39,57.3,75.0,77.7,0,50,0,81.2,81.2,75.1,58.3,55.9,50.0,90.0,3.5,False,3.05,True,NEUTRAL,이격도수렴 | 눌림목매수,이격도수렴,BULL,5.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,82.80500030517578,2026-07-06 23:39:38,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",172,59.9,18,0.18,53.0,0.86,2.03,1.95,True,-4.41,0.21,16.4,돌파대기,"박스권 상단 2.1% 이내, 변동성 수렴 — 돌파+거래량 확인 시 진입 검토",4.0,7.0,4.0,1.4,0.0,0.0,0.0,,18.6,6.6,4.0,8.0,0.0,0.0,0.0
us,conservative,보수,swing,스윙,CAT,Caterpillar,오늘 진입,즉시 진입,20일선 +2.1% — 최적 진입 구간,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$982.61,$919.00,"$1,189.00",79.7%,"$1,015.89",55.3,75.0,71.6,0,50,0,79.7,79.7,73.7,56.8,53.0,58.2,90.0,9.1,False,3.24,False,NEUTRAL,눌림목매수,,BULL,5.0,체결,,,False,ohlcv_quant,NORMAL,live,986.56,2026-07-06 23:39:38,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",172,59.5,18,0.18,58.2,0.9,2.14,4.57,True,-9.52,-0.91,4.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,17.1,6.6,2.5,0.0,0.0,8.0,0.0
us,conservative,보수,swing,스윙,ETN,Eaton,오늘 진입,수렴 진입,이격도 수렴 완성 — 최적 진입 타이밍,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$415.61,$390.00,$499.00,79.2%,$429.47,55.6,75.0,72.7,0,50,0,79.2,79.2,73.2,55.9,55.2,50.0,90.0,8.63,False,3.26,True,NEUTRAL,이격도수렴 | 눌림목매수 | 모멘텀강세,이격도수렴,BULL,5.0,체결,,,False,ohlcv_quant,NORMAL,live,417.28,2026-07-06 23:39:38,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",172,59.4,18,0.18,57.2,1.01,2.55,4.34,True,-8.55,3.51,11.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,0.0,7.0,4.0,0.0,0.0,0.0,0.0,,24.4,6.8,1.8,8.0,0.0,7.8,0.0
us,conservative,보수,swing,스윙,META,META,오늘 진입,즉시 진입,20일선 +2.1% — 최적 진입 구간,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$584.07,$552.00,$691.00,78.1%,$602.89,55.0,75.0,71.5,0,50,0,78.1,78.1,72.1,54.9,55.2,45.0,90.0,7.79,False,3.33,False,NEUTRAL,눌림목매수 | 모멘텀강세,,BULL,5.0,체결,,,False,ohlcv_quant,NORMAL,live,586.42,2026-07-06 23:39:38,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",172,59.1,18,0.18,54.8,1.1,2.06,3.95,False,-9.55,6.72,15.4,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,8.0,0.0,4.0,3.4,0.0,0.0,0.0,,4.0,0.6,3.4,0.0,0.0,0.0,0.0
us,conservative,보수,swing,스윙,JPM,JPMorgan,오늘 진입,즉시 진입,20일선 +3.0% — 최적 진입 구간,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$334.06,$323.00,$372.00,77.3%,$344.54,60.7,75.0,80.0,0,50,0,77.3,77.3,71.3,62.1,58.5,50.0,90.0,4.56,False,3.43,False,NEUTRAL,눌림목매수,,BULL,5.0,체결,,,False,ohlcv_quant,PARTIAL,ohlcv,335.3999938964844,2026-07-06 23:39:38,True,0.9,"보정 적용 (confidence=0.90, strength=1.00, 주요실패=ENTRY_TOO_AGGRESSIVE,MISS_ENTRY_TOO_LOW,GOOD_SIGNAL_WEAK_EXIT)",172,58.9,18,0.18,64.3,0.82,3.0,2.4,True,-2.47,1.93,3.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,27.8,6.9,4.9,8.0,0.0,8.0,0.0
