시장,제목,3줄요약,출처,URL,게시시간,다음행동,종목코드,종목명
한국주식,코스피 7484로 폭락…미 연준 금리 인상 가능성에 ‘휘청’,코스피와 코스닥 지수가 8일 폭락하며 국내 증시에 먹구름이 드리워졌다. 극심한 변동성으로 각각 장중 20분간 매매거래가 정지되기도 했다. 지난 주말 미국 연방준비제도(Fed·연준)의 금리 인상 가능성이 커지며 인공지능(AI) 반도체주가 일제히 급락한 여파다. 이날 한국,한겨레,https://www.hani.co.kr/arti/economy/finance/1262504.html,2026-06-08T09:11:00Z,뉴스만으로 매수하지 말고 가격·수급·재무를 함께 확인,,종목
한국주식,"젠슨 황 ""정의선 제안으로 'AI 밸리' 새만금에 데이터센터 건립""","엔비디아 젠슨 황 CEO가 전북 새만금을 우리나라의 'AI 밸리'라고 언급하며 ""새만금에 엔비디아 데이터센터를 짓게 돼 기쁘다""고 밝혔습니다. 젠슨 황은 서울 양재동 현대차 사옥을...",MBC 뉴스,https://imnews.imbc.com/news/2026/econo/article/6828620_36932.html,2026-06-08T09:07:43Z,뉴스만으로 매수하지 말고 가격·수급·재무를 함께 확인,,종목
한국주식,인니 루피아보다 떨어진 원화 가치···원·달러 고공행진 “일시적 현상” 맞나,중동 전쟁 후 원화 가치가 인도네시아 루피아화보다도 떨어진 것으로 나타났다. 원·달러 환율이 1500원을 넘는데도 고환율을 외국인의 국내 주식 매각으로 인한 일시적 현상으로만 보는 정부의 판단이 안이한 것 아니냐는 지적도 나온다. 이날 서울 외환시장 원·달러 환율 주간 거래는 전 거래일보다 4.1원 내린 1535.0원으로 마감했다. 15거래일 연속 1...,경향신문,https://www.khan.co.kr/article/202606081807001,2026-06-08T09:07:00Z,뉴스만으로 매수하지 말고 가격·수급·재무를 함께 확인,,종목
한국주식,"하이닉스 본주 8% 떨어졌는데 레버리지는 50% 폭등, 무슨 일?",8일 SK하이닉스 주가가 8일 8% 가까이 떨어졌는데도 SK하이닉스를 기초자산으로 하는 ‘ACE SK하이닉스단일종목레버리지’ ETF(상장지수펀드)가 50% 가량 급등하는 일이 벌어졌다. 한국투자신탁운용의 ‘ACE SK하이닉스단일종목레버리지’는 이날 전장 대비 49.70% 오른 3만원에 거래를 마쳤다. 해당 종목의 주가는 이날 내내 하락세를 보이다가 장...,경향신문,https://www.khan.co.kr/article/202606081805001,2026-06-08T09:05:00Z,뉴스만으로 매수하지 말고 가격·수급·재무를 함께 확인,,종목
한국주식,채권시장도 살얼음판 … 韓국고채 3년물 금리 4% 육박,美금리인상 조짐·원화값 약세5년·10년물 금리 일제히 상승,매일경제,https://www.mk.co.kr/news/economy/12068695,2026-06-08T08:48:48Z,뉴스만으로 매수하지 말고 가격·수급·재무를 함께 확인,,종목
한국주식,30만전자·200만닉스 붕괴…전문가 코스피 7000까지 밀린다,"30만전자·200만닉스 붕괴…전문가 코스피 7000까지 밀린다, 코스피 7500 붕괴…시총 1000조 증발",한국경제,https://www.hankyung.com/article/2026060841071,2026-06-08T08:48:07Z,뉴스만으로 매수하지 말고 가격·수급·재무를 함께 확인,,종목
한국주식,"젠슨 황, 네이버 1784 방문…""한국·전 세계에 거대한 AI 클라우드 구축""(종합)","젠슨 황 엔비디아 최고경영자(CEO)가 8일 네이버 제2사옥 1784를 찾아 이해진 네이버 이사회 의장과 만나 글로벌 인공지능(AI) 인프라 협력 확대를 공식화했다.황 CEO는 이날 오후 경기 성남시 분당구 네이버[035420] 1784 사옥에 도착해 이 의장과 인사를 나눴다. 최수연 네이버 대표, 김유원 네이버클라우드 대표 등 네이버 경영진도 황 CEO를 맞았다. 이날 일정에는 황 CEO의 장녀인 매디슨 황 엔비디아 수석 이사도 동행했다.황 CEO는 이날 네이버의 생중계 라이브 '치지직'을 통해 ""양사의 파트너십은 저에게 오랜",연합인포맥스,https://news.einfomax.co.kr/news/articleView.html?idxno=4418918,2026-06-08T08:14:34Z,뉴스만으로 매수하지 말고 가격·수급·재무를 함께 확인,,종목
한국주식,"최태원-젠슨황 ""AI는 이제 시작 단계"" 한 목소리",최태원 SK그룹 회장이 “지금은 인공지능(AI) 시대의 시작 단계”라고 말했다. 젠슨황 엔비디아 최고경영자(CEO) 역시 “우리는 지금 전 세계를 위한 AI 인프라를 구축하는 초기 단계에 있다”고 입을 모았다.최 회장과 황 CEO는 8일 오전 SK서린사옥에서 AI팩토리를 비롯한 AI 인프라...,지디넷코리아,https://zdnet.co.kr/view/?no=20260608142502,2026-06-08T08:13:23Z,뉴스만으로 매수하지 말고 가격·수급·재무를 함께 확인,,종목
한국주식,"정의선, 젠슨황에 새만금 'AI 밸리' 협력 제안","정의선 현대자동차그룹 회장과 젠슨 황 엔비디아 최고경영자(CEO)가 서울 양재동 현대차그룹 본사에서 만나 새만금에 AI 밸리 구축 등 인공지능(AI)·로보틱스 프로젝트와 미래 모빌리티 협력 방안을 논의했다.양 측은 자율주행과 로봇, 제조 AI, 데이터센터를 아우르는 협력 확대에 공감대를 형...",지디넷코리아,https://zdnet.co.kr/view/?no=20260608163347,2026-06-08T08:08:27Z,뉴스만으로 매수하지 말고 가격·수급·재무를 함께 확인,,종목
한국주식,“코스피 급락 겁나는 일이지만”…골드만삭스가 전망한 한국 증시,미국 투자은행 골드만삭스의 아시아태평양 지역 주식 전략 책임자 티모시 모가 8일 한국 증시 급락에 대해 “기술적 조정일 뿐 이후 안정세를 찾고 다시 고점을 경신할 것으로 본다”고 진단했다. 모 애널리스트는 이날 블룸버그 TV와의 인터뷰에서 “장기 상승장 와중에 이런 급락세는 겁나는 일이긴 하지만 결국 기술적 조정인 것으로 확인될 것”이라며 “한국기업들의 근,매일경제,https://www.mk.co.kr/news/stock/12068602,2026-06-08T08:02:05Z,뉴스만으로 매수하지 말고 가격·수급·재무를 함께 확인,,종목
