종목코드,종목명,시장,판단,현재가,진입가,손절가,1차목표,손익비,권장수량,주문예상금액,분할계획,1R위험금액,수량근거,주의
277810,-,한국주식,확인 필요,-,"770,899원","700,084원",-,2.80,0,0원,1차 0 / 2차 0 / 3차 0,0원,진입가/현금/손절 기준 확인 필요,-
005930,-,한국주식,비중 축소 우선,-,-,-,-,1.45,0,0원,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 4.9% 이내 / 검증학습 -0.59% 진입가 보정
000660,-,한국주식,관망 우위,-,-,-,-,2.34,0,0원,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 5.2% 이내 / 검증학습 -0.59% 진입가 보정
003490,-,한국주식,돌파 확인 후 접근,-,-,-,-,1.51,0,0원,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 3.6% 이내
373220,-,한국주식,비중 축소 우선,-,-,-,-,1.45,0,0원,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 4.4% 이내 / 검증학습 -0.59% 진입가 보정
375500,-,한국주식,비중 축소 우선,-,-,-,-,3.60,0,0원,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,지지존 기반: 중기 강함 지지존 상단/중심 근사 / 예상시초가 기준 5.3% 이내
047810,-,한국주식,돌파 확인 후 접근,-,-,-,-,1.45,0,0원,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,지지존 기반: 단기 강함 지지존 상단/중심 근사 / 예상시초가 기준 4.3% 이내
015760,-,한국주식,관망 우위,-,-,-,-,3.05,0,0원,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 3.7% 이내
005380,-,한국주식,관망 우위,-,-,-,-,4.01,0,0원,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,지지존 기반: 단기 강함 지지존 상단/중심 근사 / 예상시초가 기준 5.9% 이내
009540,-,한국주식,관망 우위,-,-,-,-,1.82,0,0원,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,지지존 기반: 중기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 4.1% 이내
042700,-,한국주식,관망 우위,-,-,-,-,1.81,0,0원,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,지지존 기반: 중기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 6.5% 이내 / 검증학습 -0.59% 진입가 보정
007660,-,한국주식,돌파 확인 후 접근,-,-,-,-,1.45,0,0원,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 5.5% 이내
403870,-,한국주식,비중 축소 우선,-,-,-,-,1.81,0,0원,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 5.7% 이내 / 검증학습 -0.59% 진입가 보정
058470,-,한국주식,관망 우위,-,-,-,-,1.45,0,0원,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 4.7% 이내 / 검증학습 -0.59% 진입가 보정
095340,-,한국주식,관망 우위,-,-,-,-,1.78,0,0원,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 5.9% 이내 / 검증학습 -0.59% 진입가 보정
067310,-,한국주식,관망 우위,-,-,-,-,1.45,0,0원,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 6.5% 이내
036930,-,한국주식,돌파 확인 후 접근,-,-,-,-,1.45,0,0원,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,지지존 기반: 단기 강함 지지존 상단/중심 근사 / 예상시초가 기준 6.5% 이내 / 검증학습 -0.59% 진입가 보정
000990,-,한국주식,관망 우위,-,-,-,-,1.63,0,0원,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 6.5% 이내
009150,-,한국주식,돌파 확인 후 접근,-,-,-,-,1.50,0,0원,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,지지존 기반: 단기 강함 지지존 상단/중심 근사 / 예상시초가 기준 5.6% 이내
011070,-,한국주식,돌파 확인 후 접근,-,-,-,-,1.50,0,0원,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,지지존 기반: 단기 강함 지지존 상단/중심 근사 / 예상시초가 기준 5.6% 이내
267260,-,한국주식,비중 축소 우선,-,-,-,-,1.38,0,0원,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 5.4% 이내
010120,-,한국주식,관망 우위,-,-,-,-,4.13,0,0원,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 6.3% 이내 / 검증학습 -0.59% 진입가 보정
298040,-,한국주식,비중 축소 우선,-,-,-,-,4.07,0,0원,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 5.5% 이내 / 검증학습 -0.59% 진입가 보정
006260,-,한국주식,관망 우위,-,-,-,-,1.45,0,0원,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 6.5% 이내 / 검증학습 -0.59% 진입가 보정
