종목코드,종목명,시장,보유수량,평단가,현재가,수익률,판단,권장매도수량,예상회수금액,사유
ASTS,ASTS,미국주식,34주,$81.93,-,-,보유 점검,0,-,-
BMNR,BMNR,미국주식,211주,$22.75,-,-,보유 점검,0,-,-
CAT,CAT,미국주식,5주,$782.78,-,-,보유 점검,0,-,-
CRCL,CRCL,미국주식,30주,$94.55,-,-,보유 점검,0,-,-
INTC,INTC,미국주식,65주,$55.29,-,-,보유 점검,0,-,-
LITE,LITE,미국주식,5주,$869.00,-,-,보유 점검,0,-,-
NBIS,NBIS,미국주식,22주,$159.00,-,-,보유 점검,0,-,-
RKLB,RKLB,미국주식,21주,$67.50,-,-,보유 점검,0,-,-
SNDK,SNDK,미국주식,5주,$791.60,-,-,보유 점검,0,-,-
AAOI,AAOI,미국주식,11주,$174.64,-,-,보유 점검,0,-,-
SIMO,SIMO,미국주식,9주,$244.21,-,-,보유 점검,0,-,-
