종목코드,종목명,시장,가치평가,가치점수,핵심 KPI,판단근거
403870,HPSP,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
10120,LS ELECTRIC,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
298040,효성중공업,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
12330,현대모비스,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
660,SK하이닉스,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
42700,한미반도체,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
5490,POSCO홀딩스,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
329180,HD현대중공업,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
28670,팬오션,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
17670,SK텔레콤,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
34020,두산에너빌리티,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
78930,GS,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
9540,HD한국조선해양,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
11200,HMM,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
247540,에코프로비엠,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
108320,LX세미콘,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
10950,S-Oil,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
278470,에이피알,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
990,DB하이텍,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
