시장,종목코드,종목명,전략,상태,거래수,승률,평균수익률,평균이익,평균손실,초보자 해석
한국주식,403870,HPSP,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,6,66.7%,+6.58%,+12.51%,-5.27%,검증 가능
한국주식,131970,두산테스나,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,6,66.7%,+7.80%,+14.46%,-5.52%,검증 가능
한국주식,222800,심텍,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,8,50.0%,+4.43%,+14.94%,-6.08%,검증 가능
한국주식,058470,리노공업,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,7,71.4%,+6.44%,+12.11%,-7.74%,검증 가능
한국주식,095340,ISC,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,6,16.7%,-4.38%,+14.89%,-8.23%,검증 가능
한국주식,017670,SK텔레콤,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,8,50.0%,+2.59%,+6.85%,-1.66%,검증 가능
한국주식,375500,DL이앤씨,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,5,20.0%,-2.74%,+12.40%,-6.52%,검증 가능
한국주식,000990,DB하이텍,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,6,50.0%,+3.03%,+12.24%,-6.18%,검증 가능
한국주식,006260,LS,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,6,50.0%,+3.85%,+13.55%,-5.86%,검증 가능
한국주식,012450,한화에어로스페이스,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,7,28.6%,-0.86%,+15.30%,-7.32%,검증 가능
한국주식,329180,HD현대중공업,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,9,44.4%,+0.38%,+11.88%,-8.83%,검증 가능
한국주식,032640,LG유플러스,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,7,71.4%,+3.91%,+7.19%,-4.28%,검증 가능
한국주식,005930,삼성전자,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,4,75.0%,+7.37%,+11.54%,-5.16%,검증 가능
한국주식,000660,SK하이닉스,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,5,60.0%,+4.98%,+12.48%,-6.28%,검증 가능
한국주식,대한항공,대한항공,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,가격 데이터 부족,0,-,-,-,-,가격 데이터가 더 쌓이면 계산됩니다.
한국주식,삼성에스디에스,삼성에스디에스,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,가격 데이터 부족,0,-,-,-,-,가격 데이터가 더 쌓이면 계산됩니다.
한국주식,알테오젠,알테오젠,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,가격 데이터 부족,0,-,-,-,-,가격 데이터가 더 쌓이면 계산됩니다.
한국주식,하나금융지주,하나금융지주,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,가격 데이터 부족,0,-,-,-,-,가격 데이터가 더 쌓이면 계산됩니다.
미국주식,NVDA,NVIDIA,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,7,42.9%,-1.21%,+5.67%,-6.37%,검증 가능
미국주식,GOOGL,Alphabet,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,4,100.0%,+11.19%,+11.19%,+0.00%,검증 가능
미국주식,TSLA,Tesla,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,6,33.3%,-0.79%,+11.06%,-6.72%,검증 가능
미국주식,PLTR,Palantir,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,6,33.3%,-0.35%,+10.19%,-5.61%,검증 가능
미국주식,INTC,Intel,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,7,42.9%,+2.64%,+14.40%,-6.18%,검증 가능
미국주식,LITE,Lumentum,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,3,66.7%,+5.04%,+13.25%,-11.37%,검증 가능
미국주식,SNDK,SanDisk,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,4,50.0%,+2.21%,+11.64%,-7.23%,검증 가능
미국주식,CAT,Caterpillar,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,5,80.0%,+8.20%,+11.51%,-5.00%,검증 가능
미국주식,CRCL,Circle,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,6,16.7%,-4.67%,+10.24%,-7.65%,검증 가능
미국주식,NBIS,Nebius,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,9,33.3%,+0.75%,+17.40%,-7.58%,검증 가능
미국주식,SMCI,Super Micro Computer,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,5,20.0%,-2.70%,+14.04%,-6.89%,검증 가능
미국주식,COST,Costco,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,6,33.3%,-0.37%,+5.58%,-3.35%,검증 가능
미국주식,AMZN,Amazon,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,6,83.3%,+6.36%,+8.66%,-5.15%,검증 가능
미국주식,TSM,TSMC,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,6,66.7%,+4.60%,+9.72%,-5.63%,검증 가능
미국주식,NET,Cloudflare,MA10 상향돌파 후 20거래일/손절-5%/목표+10%,OK,7,28.6%,-1.95%,+9.14%,-6.38%,검증 가능
