우선순위,행동,종목,종목코드,시장,원점수,보정점수,보정,손익비,기준가,손절가,목표가,가점근거,감점근거,이유,초보자 안내,source_file
중간,소액/분할만,HPSP (403870),403870,한국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,두산테스나 (131970),131970,한국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,심텍 (222800),222800,한국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,리노공업 (058470),058470,한국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,ISC (095340),095340,한국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,SK텔레콤 (017670),017670,한국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,DL이앤씨 (375500),375500,한국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,DB하이텍 (000990),000990,한국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,LS (006260),006260,한국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,한화에어로스페이스 (012450),012450,한국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,HD현대중공업 (329180),329180,한국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
