구분,종목,시장,보유수량,평단가,현재가,수익률,권장행동,권장수량,예상금액,초보자 안내
보유/매도,SanDisk,미국주식,5,791.59,-,-,보유 점검,0,-,현재가 미수신입니다. run_intraday_refresh 또는 GitHub 동기화 후 다시 확인하세요.
보유/매도,Nebius,미국주식,22,159.0,-,-,보유 점검,0,-,현재가 미수신입니다. run_intraday_refresh 또는 GitHub 동기화 후 다시 확인하세요.
보유/매도,Circle,미국주식,30,94.55,-,-,보유 점검,0,-,현재가 미수신입니다. run_intraday_refresh 또는 GitHub 동기화 후 다시 확인하세요.
보유/매도,BMNR,미국주식,211,22.75,-,-,보유 점검,0,-,현재가 미수신입니다. run_intraday_refresh 또는 GitHub 동기화 후 다시 확인하세요.
보유/매도,두산테스나,한국주식,30,178200.0,-,-,보유 점검,0,-,현재가 미수신입니다. run_intraday_refresh 또는 GitHub 동기화 후 다시 확인하세요.
보유/매도,심텍,한국주식,55,98200.0,-,-,보유 점검,0,-,현재가 미수신입니다. run_intraday_refresh 또는 GitHub 동기화 후 다시 확인하세요.
보유/매도,,한국주식,0,-,-,-,보유 점검,0,-,현재가 미수신입니다. run_intraday_refresh 또는 GitHub 동기화 후 다시 확인하세요.
보유/매도,,한국주식,0,-,-,-,보유 점검,0,-,현재가 미수신입니다. run_intraday_refresh 또는 GitHub 동기화 후 다시 확인하세요.
보유/매도,,한국주식,0,-,-,-,보유 점검,0,-,현재가 미수신입니다. run_intraday_refresh 또는 GitHub 동기화 후 다시 확인하세요.
보유/매도,,한국주식,0,-,-,-,보유 점검,0,-,현재가 미수신입니다. run_intraday_refresh 또는 GitHub 동기화 후 다시 확인하세요.
보유/매도,AST SpaceMobile (ASTS),미국주식,0,81.93,-,-,보유 점검,0,-,현재가 미수신입니다. run_intraday_refresh 또는 GitHub 동기화 후 다시 확인하세요.
보유/매도,Caterpillar (CAT),미국주식,0,782.78,-,-,보유 점검,0,-,현재가 미수신입니다. run_intraday_refresh 또는 GitHub 동기화 후 다시 확인하세요.
보유/매도,Intel (INTC),미국주식,0,55.29,-,-,보유 점검,0,-,현재가 미수신입니다. run_intraday_refresh 또는 GitHub 동기화 후 다시 확인하세요.
보유/매도,Lumentum (LITE),미국주식,0,869.0,-,-,보유 점검,0,-,현재가 미수신입니다. run_intraday_refresh 또는 GitHub 동기화 후 다시 확인하세요.
보유/매도,Rocket Lab (RKLB),미국주식,0,67.5,-,-,보유 점검,0,-,현재가 미수신입니다. run_intraday_refresh 또는 GitHub 동기화 후 다시 확인하세요.
보유/매도,AAOI (AAOI),미국주식,0,174.64,-,-,보유 점검,0,-,현재가 미수신입니다. run_intraday_refresh 또는 GitHub 동기화 후 다시 확인하세요.
보유/매도,SIMO (SIMO),미국주식,0,244.21,-,-,보유 점검,0,-,현재가 미수신입니다. run_intraday_refresh 또는 GitHub 동기화 후 다시 확인하세요.
