시장,종목,위험 구분,초보자 해석,핵심 사유,권장 행동
미국주식,Alphabet (GOOGL),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Amazon (AMZN),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Caterpillar (CAT),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Circle (CRCL),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Cloudflare (NET),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Costco (COST),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Energy ETF (XLE),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Intel (INTC),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Lumentum (LITE),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,NVIDIA (NVDA),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Nebius (NBIS),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Palantir (PLTR),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Riot Platforms (RIOT),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Russell 2000 ETF (IWM),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,SanDisk (SNDK),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Super Micro Computer (SMCI),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,TSMC (TSM),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Tesla (TSLA),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
한국주식,DB하이텍 (000990),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
한국주식,DL이앤씨 (375500),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
한국주식,HD현대중공업 (329180),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
한국주식,HPSP (403870),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
한국주식,ISC (095340),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
한국주식,LG유플러스 (032640),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
한국주식,LS (006260),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
한국주식,SK텔레콤 (017670),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
한국주식,SK하이닉스 (000660),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
한국주식,두산테스나 (131970),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
한국주식,리노공업 (058470),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
한국주식,삼성전자 (005930),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
한국주식,심텍 (222800),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
한국주식,한화에어로스페이스 (012450),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
