시장,종목,보유수량,평단가,현재가,수익률,권장행동,권장수량,예상금액,초보자 안내,현재가 출처
미국주식,AAOI (AAOI),11주,$174.64,$181.49,3.92%,보유 유지,0주,-,보유 유지 가능 구간입니다. 실제 주문 전 증권사 현재가와 비교하세요.,실시간 fallback
미국주식,AST,0주,$81.93,-,-,보유 점검,0주,-,현재가가 아직 미수신입니다. GitHub 동기화 또는 장중 갱신 후 다시 확인하세요. 행은 삭제하지 않고 보유 정보는 유지했습니다.,미수신
미국주식,AST SpaceMobile (ASTS),34주,$81.93,$105.86,29.21%,일부 익절 검토,8주,$846.88,수익 구간입니다. 목표가 근처면 일부 익절을 검토할 수 있습니다.,실시간 fallback
미국주식,ASTS (ASTS),34주,$81.93,$105.86,29.21%,일부 익절 검토,8주,$846.88,수익 구간입니다. 목표가 근처면 일부 익절을 검토할 수 있습니다.,실시간 fallback
미국주식,BMNR (BMNR),211주,$22.75,$18.88,-17.00%,손절/축소 검토,63주,"$1,189.44",손실 구간입니다. 손절 기준 이탈 여부를 먼저 확인하고 성급한 추가매수는 피하세요.,실시간 fallback
미국주식,CAT (CAT),5주,$782.78,$879.89,12.41%,일부 익절 검토,1주,$879.89,수익 구간입니다. 목표가 근처면 일부 익절을 검토할 수 있습니다.,실시간 fallback
미국주식,CATERPILLAR,0주,$782.78,-,-,보유 점검,0주,-,현재가가 아직 미수신입니다. GitHub 동기화 또는 장중 갱신 후 다시 확인하세요. 행은 삭제하지 않고 보유 정보는 유지했습니다.,미수신
미국주식,CIRCLE,30주,$94.55,-,-,보유 점검,0주,-,현재가가 아직 미수신입니다. GitHub 동기화 또는 장중 갱신 후 다시 확인하세요. 행은 삭제하지 않고 보유 정보는 유지했습니다.,미수신
미국주식,CRCL (CRCL),30주,$94.55,$113.12,19.64%,일부 익절 검토,7주,$791.84,수익 구간입니다. 목표가 근처면 일부 익절을 검토할 수 있습니다.,실시간 fallback
미국주식,Caterpillar (CAT),5주,$782.78,$879.89,12.41%,일부 익절 검토,1주,$879.89,수익 구간입니다. 목표가 근처면 일부 익절을 검토할 수 있습니다.,실시간 fallback
미국주식,Circle (CRCL),30주,$94.55,$111.62,18.05%,일부 익절 검토,7주,$781.34,수익 구간입니다. 목표가 근처면 일부 익절을 검토할 수 있습니다.,저장 현재가
미국주식,INTC (INTC),65주,$55.29,$119.84,116.75%,일부 익절 검토,16주,"$1,917.44",수익 구간입니다. 목표가 근처면 일부 익절을 검토할 수 있습니다.,실시간 fallback
미국주식,INTEL,0주,$55.29,-,-,보유 점검,0주,-,현재가가 아직 미수신입니다. GitHub 동기화 또는 장중 갱신 후 다시 확인하세요. 행은 삭제하지 않고 보유 정보는 유지했습니다.,미수신
미국주식,Intel (INTC),65주,$55.29,$119.84,116.75%,일부 익절 검토,16주,"$1,917.44",수익 구간입니다. 목표가 근처면 일부 익절을 검토할 수 있습니다.,실시간 fallback
미국주식,LITE (LITE),5주,$869.00,$946.90,8.96%,보유 유지,0주,-,보유 유지 가능 구간입니다. 실제 주문 전 증권사 현재가와 비교하세요.,실시간 fallback
미국주식,LUMENTUM,0주,$869.00,-,-,보유 점검,0주,-,현재가가 아직 미수신입니다. GitHub 동기화 또는 장중 갱신 후 다시 확인하세요. 행은 삭제하지 않고 보유 정보는 유지했습니다.,미수신
미국주식,Lumentum (LITE),5주,$869.00,$946.90,8.96%,보유 유지,0주,-,보유 유지 가능 구간입니다. 실제 주문 전 증권사 현재가와 비교하세요.,실시간 fallback
