시장,종목코드,종목명,내러티브,매수판단 영향,주의
미국주식,Alphabet (GOOGL),Alphabet (GOOGL),Alphabet (GOOGL)(Alphabet (GOOGL))은 미국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
미국주식,Amazon (AMZN),Amazon (AMZN),Amazon (AMZN)(Amazon (AMZN))은 미국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
미국주식,Caterpillar (CAT),Caterpillar (CAT),Caterpillar (CAT)(Caterpillar (CAT))은 미국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
미국주식,Circle (CRCL),Circle (CRCL),Circle (CRCL)(Circle (CRCL))은 미국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
미국주식,Cloudflare (NET),Cloudflare (NET),Cloudflare (NET)(Cloudflare (NET))은 미국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
미국주식,Costco (COST),Costco (COST),Costco (COST)(Costco (COST))은 미국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
미국주식,Intel (INTC),Intel (INTC),Intel (INTC)(Intel (INTC))은 미국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
미국주식,Lumentum (LITE),Lumentum (LITE),Lumentum (LITE)(Lumentum (LITE))은 미국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
미국주식,NVIDIA (NVDA),NVIDIA (NVDA),NVIDIA (NVDA)(NVIDIA (NVDA))은 미국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
미국주식,Nebius (NBIS),Nebius (NBIS),Nebius (NBIS)(Nebius (NBIS))은 미국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
미국주식,Palantir (PLTR),Palantir (PLTR),Palantir (PLTR)(Palantir (PLTR))은 미국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
미국주식,Riot Platforms (RIOT),Riot Platforms (RIOT),Riot Platforms (RIOT)(Riot Platforms (RIOT))은 미국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
미국주식,SanDisk (SNDK),SanDisk (SNDK),SanDisk (SNDK)(SanDisk (SNDK))은 미국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
미국주식,Super Micro Computer (SMCI),Super Micro Computer (SMCI),Super Micro Computer (SMCI)(Super Micro Computer (SMCI))은 미국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
미국주식,TSMC (TSM),TSMC (TSM),TSMC (TSM)(TSMC (TSM))은 미국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
미국주식,Tesla (TSLA),Tesla (TSLA),Tesla (TSLA)(Tesla (TSLA))은 미국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
한국주식,DB하이텍 (000990),DB하이텍 (000990),DB하이텍 (000990)(DB하이텍 (000990))은 한국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
한국주식,DL이앤씨 (375500),DL이앤씨 (375500),DL이앤씨 (375500)(DL이앤씨 (375500))은 한국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
한국주식,HD현대중공업 (329180),HD현대중공업 (329180),HD현대중공업 (329180)(HD현대중공업 (329180))은 한국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
한국주식,HPSP (403870),HPSP (403870),HPSP (403870)(HPSP (403870))은 한국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
한국주식,ISC (095340),ISC (095340),ISC (095340)(ISC (095340))은 한국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
한국주식,LG유플러스 (032640),LG유플러스 (032640),LG유플러스 (032640)(LG유플러스 (032640))은 한국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
한국주식,LS (006260),LS (006260),LS (006260)(LS (006260))은 한국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
한국주식,SK텔레콤 (017670),SK텔레콤 (017670),SK텔레콤 (017670)(SK텔레콤 (017670))은 한국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
한국주식,SK하이닉스 (000660),SK하이닉스 (000660),SK하이닉스 (000660)(SK하이닉스 (000660))은 한국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
한국주식,두산테스나 (131970),두산테스나 (131970),두산테스나 (131970)(두산테스나 (131970))은 한국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
한국주식,리노공업 (058470),리노공업 (058470),리노공업 (058470)(리노공업 (058470))은 한국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
한국주식,삼성전자 (005930),삼성전자 (005930),삼성전자 (005930)(삼성전자 (005930))은 한국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
한국주식,심텍 (222800),심텍 (222800),심텍 (222800)(심텍 (222800))은 한국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
한국주식,한화에어로스페이스 (012450),한화에어로스페이스 (012450),한화에어로스페이스 (012450)(한화에어로스페이스 (012450))은 한국주식 기준으로 후보/위험/재무 데이터를 종합해 확인합니다.,관망 또는 진입가 대기,매수 위험·제외 목록에 포함된 이력이 있습니다.
