시장,종목,종목코드,재무상태,PER,PBR,ROE,매출성장률,부채비율,가치평가,KPI,초보자 해석,다음 행동
미국주식,Alphabet (GOOGL),GOOGL,재무 데이터 부족,-,-,-,-,-,데이터 필요,확인 필요,단기 매매 후보로는 볼 수 있지만 장기 보유 판단은 아직 보류합니다.,DART/Finnhub/yfinance 재무 갱신 후 재확인
미국주식,Amazon (AMZN),AMZN,재무 데이터 부족,-,-,-,-,-,데이터 필요,확인 필요,단기 매매 후보로는 볼 수 있지만 장기 보유 판단은 아직 보류합니다.,DART/Finnhub/yfinance 재무 갱신 후 재확인
미국주식,Caterpillar (CAT),CAT,재무 데이터 부족,-,-,-,-,-,데이터 필요,확인 필요,단기 매매 후보로는 볼 수 있지만 장기 보유 판단은 아직 보류합니다.,DART/Finnhub/yfinance 재무 갱신 후 재확인
미국주식,Circle (CRCL),CRCL,재무 데이터 부족,-,-,-,-,-,데이터 필요,확인 필요,단기 매매 후보로는 볼 수 있지만 장기 보유 판단은 아직 보류합니다.,DART/Finnhub/yfinance 재무 갱신 후 재확인
미국주식,Cloudflare (NET),NET,재무 데이터 부족,-,-,-,-,-,데이터 필요,확인 필요,단기 매매 후보로는 볼 수 있지만 장기 보유 판단은 아직 보류합니다.,DART/Finnhub/yfinance 재무 갱신 후 재확인
미국주식,Costco (COST),COST,재무 데이터 부족,-,-,-,-,-,데이터 필요,확인 필요,단기 매매 후보로는 볼 수 있지만 장기 보유 판단은 아직 보류합니다.,DART/Finnhub/yfinance 재무 갱신 후 재확인
미국주식,Intel (INTC),INTC,재무 데이터 부족,-,-,-,-,-,데이터 필요,확인 필요,단기 매매 후보로는 볼 수 있지만 장기 보유 판단은 아직 보류합니다.,DART/Finnhub/yfinance 재무 갱신 후 재확인
미국주식,Lumentum (LITE),LITE,재무 데이터 부족,-,-,-,-,-,데이터 필요,확인 필요,단기 매매 후보로는 볼 수 있지만 장기 보유 판단은 아직 보류합니다.,DART/Finnhub/yfinance 재무 갱신 후 재확인
미국주식,NVIDIA (NVDA),NVDA,재무 데이터 부족,-,-,-,-,-,데이터 필요,확인 필요,단기 매매 후보로는 볼 수 있지만 장기 보유 판단은 아직 보류합니다.,DART/Finnhub/yfinance 재무 갱신 후 재확인
미국주식,Nebius (NBIS),NBIS,재무 데이터 부족,-,-,-,-,-,데이터 필요,확인 필요,단기 매매 후보로는 볼 수 있지만 장기 보유 판단은 아직 보류합니다.,DART/Finnhub/yfinance 재무 갱신 후 재확인
미국주식,Palantir (PLTR),PLTR,재무 데이터 부족,-,-,-,-,-,데이터 필요,확인 필요,단기 매매 후보로는 볼 수 있지만 장기 보유 판단은 아직 보류합니다.,DART/Finnhub/yfinance 재무 갱신 후 재확인
미국주식,Riot Platforms (RIOT),RIOT,재무 데이터 부족,-,-,-,-,-,데이터 필요,확인 필요,단기 매매 후보로는 볼 수 있지만 장기 보유 판단은 아직 보류합니다.,DART/Finnhub/yfinance 재무 갱신 후 재확인
